query,type,score,passed,n_metrics,n_passed,error
Xeon_network_consumption,aggregate,0.25,False,4,1,
avg_platform_power_c0_freq_temp_by_chassis,aggregate,0.0,False,6,0,
battery_on_duration_cpu_family_gen,aggregate,0.0,False,3,0,
battery_power_on_geographic_summary,aggregate,0.5,True,4,2,
display_devices_connection_type_resolution_durations_ac_dc,aggregate,0.0,False,4,0,
display_devices_vendors_percentage,distribution,1.0,True,1,1,
mods_blockers_by_osname_and_codename,aggregate,0.25,False,4,1,
most_popular_browser_in_each_country_by_system_count,ranking_categorical,1.0,True,1,1,
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,0.2727272727272727,False,11,3,
persona_web_cat_usage_analysis,aggregate,0.1935483870967742,False,31,6,
pkg_power_by_country,aggregate,0.3333333333333333,False,3,1,
popular_browsers_by_count_usage_percentage,distribution,0.6666666666666666,True,3,2,
ram_utilization_histogram,histogram,0.0,False,1,0,
ranked_process_classifications,ranking_numeric,,,0,0,synth CSV not found
server_exploration_1,row_level,0.42857142857142855,False,7,3,
top_10_applications_by_app_type_ranked_by_focal_time,ranking_numeric,0.0,False,1,0,
top_10_applications_by_app_type_ranked_by_system_count,ranking_numeric,1.0,True,2,2,
top_10_applications_by_app_type_ranked_by_total_detections,ranking_numeric,1.0,True,2,2,
top_10_processes_per_user_id_ranked_by_total_power_consumption,ranking_numeric,,,0,0,synth CSV not found
top_20_most_power_consuming_processes_by_avg_power_consumed,ranking_numeric,,,0,0,synth CSV not found
top_mods_blocker_types_durations_by_osname_and_codename,aggregate,0.0,False,4,0,
userwait_top_10_wait_processes,ranking_numeric,0.0,False,1,0,
userwait_top_10_wait_processes_wait_type_ac_dc,ranking_numeric,0.0,False,1,0,
userwait_top_20_wait_processes_compare_ac_dc_unknown_durations,ranking_numeric,0.0,False,1,0,
