query,type,score,passed,n_metrics,n_passed,error
Xeon_network_consumption,aggregate,0.0,False,4,0,
avg_platform_power_c0_freq_temp_by_chassis,aggregate,0.0,False,6,0,
battery_on_duration_cpu_family_gen,aggregate,,,0,0,synth CSV not found
battery_power_on_geographic_summary,aggregate,0.0,False,4,0,
display_devices_connection_type_resolution_durations_ac_dc,aggregate,,,0,0,synth CSV not found
display_devices_vendors_percentage,distribution,,,0,0,synth CSV not found
mods_blockers_by_osname_and_codename,aggregate,,,0,0,synth CSV not found
most_popular_browser_in_each_country_by_system_count,ranking_categorical,0.0,False,1,0,
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,,,0,0,synth CSV not found
persona_web_cat_usage_analysis,aggregate,0.03225806451612903,False,31,1,
pkg_power_by_country,aggregate,0.0,False,3,0,
popular_browsers_by_count_usage_percentage,distribution,0.6666666666666666,True,3,2,
ram_utilization_histogram,histogram,0.5,True,2,1,
server_exploration_1,row_level,,,0,0,synth CSV not found
top_10_applications_by_app_type_ranked_by_focal_time,ranking_numeric,,,0,0,synth CSV not found
top_10_applications_by_app_type_ranked_by_system_count,ranking_numeric,,,0,0,synth CSV not found
top_10_applications_by_app_type_ranked_by_total_detections,ranking_numeric,,,0,0,synth CSV not found
top_mods_blocker_types_durations_by_osname_and_codename,aggregate,,,0,0,synth CSV not found
userwait_top_10_wait_processes,ranking_numeric,,,0,0,synth CSV not found
userwait_top_10_wait_processes_wait_type_ac_dc,ranking_numeric,,,0,0,synth CSV not found
userwait_top_20_wait_processes_compare_ac_dc_unknown_durations,ranking_numeric,,,0,0,synth CSV not found
