query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.375,False,"3/8 real groups matched, 3 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,0.9939548942106486,False,"median RE=0.9940, mean RE=0.9462, n_groups=3"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,0.9999999981140152,False,"median RE=1.0000, mean RE=1.0000, n_groups=3"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,0.9999999980414599,False,"median RE=1.0000, mean RE=1.0000, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,0.42857142857142855,False,"3/4 real groups matched, 6 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,median_relative_error,0.8135593220338984,False,"median RE=0.8136, mean RE=0.7214, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,median_relative_error,3.33021183196163,False,"median RE=3.3302, mean RE=2.7784, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,median_relative_error,0.38260414142127996,False,"median RE=0.3826, mean RE=0.5181, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,median_relative_error,0.9989958265124802,False,"median RE=0.9990, mean RE=0.9767, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,median_relative_error,0.3559747932300442,False,"median RE=0.3560, mean RE=0.3142, n_groups=3"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.0,False,"0/37 real groups matched, 0 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,relative_error,inf,False,no overlapping groups
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,relative_error,inf,False,no overlapping groups
battery_power_on_geographic_summary,aggregate,avg_duration,relative_error,inf,False,no overlapping groups
most_popular_browser_in_each_country_by_system_count,ranking_categorical,browser,categorical_accuracy,0.2549019607843137,False,13/51 countries correct (15 overlapping)
persona_web_cat_usage_analysis,aggregate,group_coverage,jaccard,0.5833333333333334,True,"7/11 real groups matched, 8 synth groups total"
persona_web_cat_usage_analysis,aggregate,number_of_systems,median_relative_error,0.9905012421452579,False,"median RE=0.9905, mean RE=0.9365, n_groups=7"
persona_web_cat_usage_analysis,aggregate,days,median_relative_error,0.9998632042612925,False,"median RE=0.9999, mean RE=0.9990, n_groups=7"
persona_web_cat_usage_analysis,aggregate,content_creation_photo_edit_creation,median_relative_error,115.37990481740482,False,"median RE=115.3799, mean RE=151.6424, n_groups=4"
persona_web_cat_usage_analysis,aggregate,content_creation_video_audio_edit_creation,median_relative_error,281.59999999999997,False,"median RE=281.6000, mean RE=621.3937, n_groups=4"
persona_web_cat_usage_analysis,aggregate,content_creation_web_design_development,median_relative_error,15.64020039246001,False,"median RE=15.6402, mean RE=25.9887, n_groups=4"
persona_web_cat_usage_analysis,aggregate,education,median_relative_error,1.0,False,"median RE=1.0000, mean RE=2.3476, n_groups=4"
persona_web_cat_usage_analysis,aggregate,entertainment_music_audio_streaming,median_relative_error,3.315602836879433,False,"median RE=3.3156, mean RE=159.5509, n_groups=4"
persona_web_cat_usage_analysis,aggregate,entertainment_other,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.9953, n_groups=4"
persona_web_cat_usage_analysis,aggregate,entertainment_video_streaming,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.9839, n_groups=4"
persona_web_cat_usage_analysis,aggregate,finance,median_relative_error,1.0,False,"median RE=1.0000, mean RE=1.0000, n_groups=4"
persona_web_cat_usage_analysis,aggregate,games_other,median_relative_error,1.0,False,"median RE=1.0000, mean RE=6.0550, n_groups=4"
persona_web_cat_usage_analysis,aggregate,games_video_games,median_relative_error,1.0,False,"median RE=1.0000, mean RE=55.1103, n_groups=4"
persona_web_cat_usage_analysis,aggregate,mail,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.8452, n_groups=4"
persona_web_cat_usage_analysis,aggregate,news,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.8354, n_groups=4"
persona_web_cat_usage_analysis,aggregate,unclassified,median_relative_error,1.0,False,"median RE=1.0000, mean RE=1.0000, n_groups=4"
persona_web_cat_usage_analysis,aggregate,private,median_relative_error,0.9944849504580295,False,"median RE=0.9945, mean RE=0.9863, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_crm,median_relative_error,inf,False,"median RE=inf, mean RE=inf, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_other,median_relative_error,1.0,False,"median RE=1.0000, mean RE=1.3013, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_presentations,median_relative_error,1.2553191489361701,False,"median RE=1.2553, mean RE=4.6999, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_programming,median_relative_error,1.0,False,"median RE=1.0000, mean RE=8.9837, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_project_management,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.9847, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_spreadsheets,median_relative_error,1.0,False,"median RE=1.0000, mean RE=2.6641, n_groups=4"
persona_web_cat_usage_analysis,aggregate,productivity_word_processing,median_relative_error,1.0,False,"median RE=1.0000, mean RE=3.6785, n_groups=4"
persona_web_cat_usage_analysis,aggregate,recreation_travel,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.8167, n_groups=4"
persona_web_cat_usage_analysis,aggregate,reference,median_relative_error,1.0,False,"median RE=1.0000, mean RE=1.0000, n_groups=4"
persona_web_cat_usage_analysis,aggregate,search,median_relative_error,0.981979230299328,False,"median RE=0.9820, mean RE=0.9179, n_groups=4"
persona_web_cat_usage_analysis,aggregate,shopping,median_relative_error,1.0,False,"median RE=1.0000, mean RE=0.8833, n_groups=4"
