vendor_name,number_of_systems,total_number_of_systems,percentage_of_systems
Other,100060,104643,95.62
LG,13672,104643,13.07
HP,8294,104643,7.93
Dell,13189,104643,12.6
Acer,2425,104643,2.32
Philips,1434,104643,1.37
MI ,1131,104643,1.08
Oneplus,11,104643,0.01
Lenovo,11,104643,0.01
VIZIO,1,104643,0.0
Sony,3478,104643,3.32
Asus,3216,104643,3.07
Samsung,10186,104643,9.73
BenQ,4163,104643,3.98
MSI,1070,104643,1.02
TCL,198,104643,0.19
Hisense,537,104643,0.51
Redmi,105,104643,0.1
AOC,94,104643,0.09
Viewsonic,187,104643,0.18
Sansui,1,104643,0.0
