countryname_normalized,number_of_systems,avg_pkg_power_consumed
South Africa,1,1600.5523571428573
Russian Federation,23,141.2433657740287
United States of America,68,72.8390869663463
Belgium,2,27.52741032416931
Mexico,7,21.40753832222815
Singapore,1,19.788674999999998
Malaysia,2,16.3792994643455
Sweden,10,10.860080482732108
Chile,3,10.522852921523729
Hong Kong,1,8.842867132867134
Brazil,23,8.413183395073263
Germany,18,8.037615533767692
Austria,2,7.674700422553385
China,11,6.952479002802836
Czech Republic,1,6.747504555343279
"Korea, Republic of",14,5.909555307044474
Spain,8,4.2379704060325905
Hungary,2,4.094657111590722
Bangladesh,3,4.018684576661355
Australia,5,3.5638998706065212
Turkey,11,3.440818164259477
France,9,3.314796833938539
Other,63,3.1622294683074763
Canada,10,3.1412295605025475
United Arab Emirates,1,2.814963503649635
Ecuador,1,2.778605746585021
India,16,2.5483229107336887
Poland,3,2.3642651558054664
"Taiwan, Province of China",8,2.179854465023815
Portugal,2,2.1601915107371594
Netherlands,11,2.1343542333353844
Romania,4,2.07249552509935
Ukraine,2,1.978031832632189
Norway,2,1.8953342355841272
Viet Nam,6,1.885991715357803
Peru,1,1.8790426758938872
Japan,11,1.8221266230823652
Saudi Arabia,1,1.8026471408647144
United Kingdom of Great Britain and Northern Ireland,21,1.5893292520637368
Thailand,3,1.5617094277025156
Italy,6,1.5177508422177028
Indonesia,3,1.1761640546974896
Colombia,2,1.174911316753422
Philippines,1,0.8503384794165166
Switzerland,3,0.79734993482884
Denmark,2,0.7953073955983808
Israel,2,0.43974157399619973
