ram_gb,count(DISTINCT guid),avg_percentage_used
1.0,3,81.0
2.0,354,67.0
3.0,118,73.0
4.0,6052,71.0
5.0,24,66.0
6.0,816,61.0
7.0,6,49.0
8.0,13088,60.0
9.0,4,55.0
10.0,83,48.0
12.0,1330,50.0
13.0,1,40.0
14.0,5,63.0
16.0,9484,47.0
18.0,3,55.0
20.0,119,47.0
21.0,1,40.0
22.0,2,43.0
24.0,317,41.0
28.0,8,53.0
32.0,2227,37.0
36.0,4,26.0
40.0,22,40.0
48.0,54,35.0
52.0,1,20.0
56.0,1,9.0
60.0,1,42.0
64.0,357,29.0
72.0,3,69.0
80.0,2,29.0
96.0,6,23.0
128.0,48,31.0
192.0,2,20.0
256.0,6,69.0
320.0,1,34.0
512.0,2,36.0
