guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
004fec3ca0564946aef8001107a13e48,579869.0,147891214405.0,409722912040.0,Notebook,Notebook,Not Applicable,8.0,Win11,2
00f2731bfc724e20b170c9c7642141d7,1937710.0,310517645325.0,1799490898135.0,Desktop,Gigabyte,To be filled by O.E.M.,16.0,Win10,4
00f431ecd15343f7a6e0afa5ded1151a,212624.0,144634309050.0,694834174890.0,Notebook,Samsung,950XED,16.0,Win11,12
011332c7d53d4f2cb3273ac83519e4f7,9469850.0,277432894665.0,297115448170.0,Intel NUC/STK,Intel,NUC8i5BEK,16.0,Win11,4
01ccce0d37784a44a9cc610005fc64c6,10317976.0,27307335515.0,30403068370.0,Intel NUC/STK,Intel,NUC6CAYH,8.0,Win10,4
01f5df1cd4bd4d9b8d11229aa6e1449d,1031628.0,228772937400.0,330980173495.0,Notebook,Hasee,Not Applicable,8.0,Win10,4
025fe48f434c4deea257f91b8afcf844,1423563.0,690927065675.0,1123980991835.0,Notebook,Lenovo,ThinkPad E450,8.0,Win10,2
026314a049a24373bf33b4ee949b43be,8347540.0,490397084155.0,703079609595.0,Notebook,Lenovo,Lenovo ideapad 510-15ISK,12.0,Win10,2
02a2f361c52a4e97aca73ce3f6b9eb56,5615936.0,91367964630.0,474647444920.0,Intel NUC/STK,Intel,NUC8i5BEK,8.0,Win10,4
02fabd6078fc4b979f0cdd33e32e9944,211310.0,52104263930.0,2226189102460.0,Desktop,Unknown,Unknown,16.0,Win10,4
03712d156e614f40a714d8bab8088a86,3212685.0,587219770205.0,1481612007440.0,Intel NUC/STK,Intel,NUC8i7HVK,32.0,Win11,4
03eb60acb6c644d696380f7ce289adcc,1590158.0,1324145276790.0,2715904790030.0,Desktop,Intel,To be filled by O.E.M.,16.0,Win10,4
03f1b8bc884a4e2f8baaf76fb021d045,1947697.0,3218537509690.0,15443184845075.0,Notebook,HP,HP ENVY Laptop 13-aq1xxx,8.0,Win10,4
043bdf18f6564696927e7adf4f43d44b,106892.0,41888146340.0,45376738785.0,Notebook,Toshiba,Satellite P55W-C,8.0,Win10,2
043ee4de607448e99c15dd5dfe346b27,2551660.0,158794822580.0,252649720860.0,Desktop,Asus,System Product Name,16.0,Win11,10
04931d9e7d8c466796cff1c9ad1075c6,7527210.0,204741551285.0,1284851864995.0,Desktop,HP,500-281,8.0,Win10,2
04d3850e554f45498c71f5249bb91fd9,224702.0,76744832440.0,161803650750.0,Notebook,Asus,K501UW,8.0,Win10,2
04da336f14dd4f1d9e5624fa3620796a,38374.0,6630503665.0,16513284305.000002,Notebook,Asus,X550CL,4.0,Win10,2
05004089c73944b09ec8a7502367f2ae,1869389.0,135128486940.0,154913918010.0,2 in 1,Microsoft Corporation,Surface Book 2,16.0,Win10,4
05670b05c21646fe85b64bb0f075682e,3746069.0,1439726866745.0,1981657101275.0,Desktop,HP,HP Pavilion All-in-One 27-xa0xxx,16.0,Win10,6
057757fa9ed641668ba62fed1210aef9,4130226.0,42185244120.0,42801819420.0,Desktop,Asus,System Version,8.0,Win10,4
05c069da4a3044e49a67df18bbf42f72,3663216.0,148811000210.0,417176185240.0,Notebook,Acer,Nitro AN515-58,16.0,Win11,12
05cb4785ac124c89aabcad378929df3a,162614.0,108772976045.0,151256214505.0,2 in 1,HP,HP Spectre x360 Convertible 13-ac0XX,8.0,Win10,2
063676fbda164b31be2cedf0acdf8afb,1170190.0,317898367365.0,511214444330.0,Notebook,Asus,VivoBook_ASUSLaptop X513EAN_K513EA,16.0,Win10,4
0678a49dc9844f66a2da89acd02a773b,2316838.0,72719929250.0,1294783734440.0,Desktop,Unknown,To Be Filled By O.E.M.,64.0,Win10,n/a
069b25048e694f798c74fa3d16699272,339204.0,198802758525.0,790091686730.0,Notebook,Lenovo,Lenovo ideapad 320S-14IKB,8.0,Win11,4
070bd0e382e1445bafd99b542a5f1385,3534054.0,716901777035.0,3318344476960.0,Notebook,HANSUNG COMPUTER,Not Applicable,16.0,Win10,6
0750d39655f14143b38a8f5ab4894ffc,1681394.0,329995385305.0,472450192245.0,Desktop,Unknown,Other,8.0,Win10,4
077b661feb7f46328f4b4be90d6b4c07,8154207.0,55154044555.0,137026869555.0,Notebook,Acer,Aspire E5-571G,4.0,Win10,2
07bed72085ef48b18ea44580d44d65a8,5636764.0,521482655835.0,1290699866615.0,Desktop,Gigabyte,Z390 I AORUS PRO WIFI,32.0,Win11,6
080d1400cfbb4d1485e3dd4532cef616,16952.0,66685575.0,826287510.0,Desktop,HP,HP ProDesk 600 G1 TWR,32.0,Win10,4
0849dd863ef84c7897fe755cbd43175a,2785948.0,238551508220.0,664585154970.0,Notebook,Lenovo,Lenovo ThinkBook 15-IML,16.0,Win10,4
097b6cc234cc4055ab2e81f8f4a6fb0d,216942.0,58216641929.99999,75680247270.0,Desktop,HP,HP Z440 Workstation,8.0,Win10,4
0ac9a2ab7def42589cd319a1fa351f7f,1525186.0,1272996830635.0,4387617699395.0,Notebook,Lenovo,Lenovo IdeaPad Y510P,12.0,Win11,4
0b50fe29a2ac48d59bc4e8c71d7aca86,3601561.0,153038648440.0,167412939360.0,Notebook,Fujitsu,FMVS09001,8.0,Win10,2
0b5af016f9364d498732f4b84dea1902,684014.0,706895594525.0,2659428703455.0,Desktop,Gigabyte,B550I AORUS PRO AX,32.0,Win11,n/a
0bb28821bf954b38b9ad58ef9ce4eadf,2271474.0,866922223965.0,2217221212560.0,Desktop,Gigabyte,Default string,8.0,Win11,2
0c6060ee0bef4f8dbdb4ed5d9b823047,127870.0,11647352190.0,25202473670.0,Desktop,Unknown,To Be Filled By O.E.M.,16.0,Win10,4
0c76cfb3c06140e5824254952587bfbd,1350.0,3440288825.0,7505941150.0,Desktop,GPD,Default string,16.0,Win10,4
0cdea581e5f5457b8bf99973c78063ca,691730.0,11051443900.0,86830680300.0,Desktop,Microsoft Corporation,Virtual Machine,8.0,Win10,n/a
0d0deab497194696b494f46bbc8f870e,5940400.0,759707720225.0,1065367937675.0,Desktop,Fujitsu,ESPRIMO E720,16.0,Win10,4
0d3783f90e824b0888c0df3fa44009a9,9111052.0,695582373320.0,794630809485.0,Desktop,Dell,OptiPlex 3080,8.0,Win Server,6
0d910ca9f4aa4642a0e0263fd1798402,96848.0,7071268095.0,30569368709.999996,Desktop,Gigabyte,To be filled by O.E.M.,8.0,Win10,4
0dd0c91584f441b989e9e7c985cd28f8,193460.0,24269269325.0,53923334755.0,Notebook,HP,HP ENVY Laptop 13-ad0xx,8.0,Win10,2
0e13167bea5144229c3823779f4fe420,158458.0,30181994985.0,32416086315.0,Notebook,Lenovo,Lenovo ideapad 120S-14IAP,4.0,Win10,4
0f0ec266222a46e0a24bad57b0918896,1481242.0,383844462305.0,506046997025.0,Notebook,Asus,VivoBook_ASUSLaptop X512JA_F512JA,8.0,Win11,2
0f2738278afd47fba4f0588035464a2f,6115336.0,1151324181965.0,3690183052165.0,Desktop,Gigabyte,Default string,64.0,Win10,10
0f8993997a3d40f8a169937de77592f0,5642666.0,1318175366410.0,1601031825525.0,Desktop,Lenovo,ThinkCentre M73,6.0,Win10,2
0ffffc709b234d29b39a631ead0f2add,118761.0,9622617690.0,12070908885.0,Notebook,Acer,TravelMate P214-53,8.0,Win10,4
109b66f15bee48078b1c8960f1779a51,5997246.0,4386143973405.0,14624966980320.0,Desktop,MSI,MS-7B98,32.0,Win10,6
10bbb8d49e8b433daf8b6f2d6cd49fc9,2971915.0,151991771220.0,224115479820.0,Notebook,Dell,Inspiron N5010,3.0,Win10,2
119811333ef0475683b927680caaad3e,2044542.0,2452141789875.0,44097368635130.0,Desktop,MSI,MS-7A70,24.0,Win10,4
12cff0aa0ef244c09a930d70846ccd67,40307.0,1716346984.9999998,4671684545.0,Notebook,Acer,Other,4.0,Win10,2
12e8df0669e549e1956a23bf9f9fa0ee,251454.0,38344853295.0,269103175295.0,Desktop,LG,Other,8.0,Win11,8
134c34c66f30465cb32b7af038dec544,240314.0,5313213815.0,11403574410.0,Notebook,Dell,Latitude 5411,16.0,Win10,6
13687f839bc445adbd7e1f2f020b90f0,808238.0,59854797730.0,103418636160.0,Notebook,HP,HP Pavilion Laptop 15-cs3xxx,8.0,Win11,4
1382f1cc62a043b7a2c76d5e2b375149,1141376.0,44049806285.0,46677763525.0,Desktop,MSI,MS-7B18,48.0,Win10,6
13c136cceb5d4418a5adfa47c94d59bc,1107876.0,332825988535.0,567595907130.0,Desktop,Gigabyte,B560 DS3H AC-Y1,16.0,Win10,8
1435e10ba22043a7a50a4c8e31e84000,33124.0,19853208945.0,34168152695.0,2 in 1,HP,HP EliteBook x360 1030 G3,8.0,Win10,4
1454b77883ab45979a237139c1cd7e52,5190216.0,1517975087515.0,1959555640835.0,Desktop,Asus,System Product Name,16.0,Win11,6
160c08e666b145588b11af0dbaa632c7,552142.0,96879086645.0,137384496815.0,Desktop,Other,System Version,8.0,Win10,4
1629d3b09ad94ecfb8b83c289568c98f,189210.0,85020220630.0,132678549875.0,Notebook,Acer,Predator G9-591,48.0,Win10,4
163ef2782ccb4b1e875d954a383931bf,604956.0,49647116040.0,1373657023135.0,Notebook,Fujitsu,LIFEBOOK A357,8.0,Win10,2
164949807d464a2d96db4a53b139be2e,1553946.0,28943935810605.0,246268452041695.0,Notebook,Dell,Vostro 15 3510,8.0,Win11,4
16b85d19f9d5418f85c8026a52859290,2987082.0,1210326404570.0,2119918602230.0,Notebook,HP,HP ProBook 450 G5,8.0,Win10,4
16e6d73da94a4c8e9042095ee810b660,109850.0,503627378240.0,507293563640.0,Desktop,Asus,System Product Name,64.0,Win11,16
16ed7f3bf1b544ce9e6e03573355a389,826989.0,91445537665.0,129929368920.0,Notebook,Asus,Strix GL504GM_GL504GM,32.0,Win10,6
