os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,22H2,Low Power Phase,PDC Phase,low,4257,5.382155356028606,841435
Win10,22H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),Fx Device,low,371,46.06673112846885,54667
Win10,22H2,PLM Phase,PDC Phase,low,3257,1.1416965975791917,79561
Win10,22H2,NCSI,Activator,low,2276,63.87846672408523,58634
Win10,22H2,Intel(R) PCI Express Root Port #1 - A338 (\_SB.PCI0.RP01),Fx Device,moderate,16,563.8407857142857,434
Win10,22H2,BI,Activator,moderate,2296,214.75497302003552,58347
Win10,22H2,Unregistered Device \_SB.PCI0.CNVW,Fx Device,high,91,2905.002763764262,15424
Win10,22H2,Unregistered Device \_SB.PCI0.HDAS,Fx Device,high,54,3419.4873147302897,964
Win10,22H2,Unregistered Device \_SB.PCI0.HECI,Fx Device,high,57,3436.5929303121,2339
Win10,22H2,Maintenance Phase,PDC Phase,moderate,320,152.01709559939295,659
Win10,22H2,Universal Telemetry Client,Activator,low,1322,78.81838774661583,11303
Win10,22H2,Lock Screen,Activator,low,1045,11.180959800736408,4617
Win10,22H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,moderate,912,178.12826885324034,23065
Win10,21H2,No CS Phase,PDC Phase,high,4993,6472.175039620607,467560
Win10,21H2,PLM Phase,PDC Phase,low,2878,0.9687984801348262,61716
Win10,21H2,Low Power Phase,PDC Phase,low,3986,5.388882534999502,511148
Win10,21H2,WP OmaDmClient Client,Activator,high,463,1364.9130922715183,11270
Win10,21H2,Intel(R) Ethernet Connection (7) I219-LM (\_SB.PCI0.GLAN),Fx Device,low,19,20.677467432150287,1437
Win10,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,low,1025,41.11674937521929,54179
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,1613,42.03407451327837,86908
Win10,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,high,515,2483.9882125975073,27434
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,high,1158,1966.2456340501544,83888
Win10,21H2,Intel(R) PCI Express Root Port #1 - A338 (\_SB.PCI0.RP01),Fx Device,low,38,35.65688959007549,1854
Win10,21H2,BI,Activator,moderate,1819,194.4905128808171,30231
Win10,21H2,WU,Activator,low,1600,107.07026876799395,10073
Win10,21H2,DAM Phase,PDC Phase,low,2872,1.1151352883395456,48866
Win10,21H2,WP OmaDmClient Client,Activator,low,365,303.42530694876615,4821
Win10,21H2,Maintenance Phase,PDC Phase,high,2881,4175.596776752393,67181
Win10,21H2,No CS Phase,PDC Phase,low,1767,38.40592517313204,17761
Win10,21H2,WNS,Activator,high,975,901.9163934624231,15648
Win10,21H2,NCSI,Activator,moderate,597,169.3446225053841,5572
Win10,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,1192,29.07242502572977,126314
Win10,21H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,615,24.169544952566277,28777
Win10,21H2,PLM Phase,PDC Phase,high,534,261.05511582568806,872
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,low,1371,36.80682485271221,57201
Win10,21H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,low,1252,20.304287893915674,70510
Win10,21H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,low,622,50.31266886682558,36058
Win10,21H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PC00.CNVW),Fx Device,low,33,52.59479445012272,9784
Win10,21H2,Standard NVM Express Controller (\_SB.PC00.RP09.PXSX),Fx Device,low,228,19.82933905573397,28636
Win10,21H2,DHCP,Activator,high,922,1184.3138500843013,32028
Win10,21H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PC00.CNVW),Fx Device,high,7,449.98770999999994,100
Win11,21H2,Maintenance Phase,PDC Phase,low,605,8.313701203558375,1911
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,2134,65.2847612826946,345928
Win11,22H2,Low Power Phase,PDC Phase,low,7100,5.37186129870403,1193637
Win11,22H2,PLM Phase,PDC Phase,low,5545,0.7896735382735942,96581
Win11,22H2,BI,Activator,low,6190,160.84968282078322,493643
Win11,22H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,1608,34.96079843696803,176196
Win11,22H2,WP Location Client,Activator,low,4489,32.10848102007461,402304
Win11,22H2,Notifications forwarding and actions,Activator,low,2969,78.3204981619958,14309
Win11,22H2,BI,Activator,high,5023,6450.417163185744,274665
Win11,22H2,DAM Phase,PDC Phase,high,291,344.85464262295085,610
Win11,22H2,PDC Suspend/Resume and Network-Refresh Activator,Activator,low,4718,2.7352514820453946,302791
Win11,22H2,DAM Phase,PDC Phase,low,5802,0.8718721347663079,89696
Win11,22H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),Fx Device,low,2589,28.542480501951577,137583
Win10,21H2,DHCP,Activator,low,1994,89.29591321439112,33910
Win11,22H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,low,107,142.62635343972815,14725
Win11,22H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM0),Fx Device,low,168,91.10966238878095,16971
Win11,22H2,No CS Phase,PDC Phase,moderate,1512,318.94217566539936,5260
Win11,22H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM1),Fx Device,high,28,2124.400403880866,1108
Win11,22H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM1),Fx Device,low,45,75.19473929882514,5448
Win11,22H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM0),Fx Device,high,120,1770.3492613682095,4473
Win11,22H2,Maintenance Phase,PDC Phase,moderate,680,164.1672257142857,1050
Win11,22H2,Update Orchestrator Client,Activator,moderate,4152,908.8724672669708,29041
Win10,21H2,BITS Service,Activator,low,620,70.8019905877518,2433
Win11,22H2,Lock Screen,Activator,low,5255,11.816282877204532,48707
Win11,22H2,Intel(R) TypeC PCIe - 462F (\_SB.PC00.TRP2),Fx Device,moderate,1,225.5377,19
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,moderate,222,544.2200585267409,1982
Win11,22H2,WU,Activator,moderate,3713,574.2109297063782,13657
Win11,22H2,Intel(R) PEG60 - 464D (\_SB.PC00.PEG0),Fx Device,high,78,1473.8886143542957,4166
Win10,21H2,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),Fx Device,low,104,45.241312421335664,16367
Win10,21H2,WNS,Activator,low,1840,69.37702349498159,50913
Win11,22H2,WNS,Activator,moderate,1745,651.5887124125231,13575
Win10,22H2,Intel(R) UHD Graphics (\_SB.PCI0.GFX0),Fx Device,low,924,39.92002603030559,113049
Win10,22H2,WU,Activator,high,2205,2815.2031622012923,44065
Win10,21H2,Intel(R) Serial IO UART Host Controller - 34A8 (\_SB.PCI0.UA00),Fx Device,low,169,14.25019797698365,16510
Win10,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,moderate,300,192.00661237433732,5471
Win10,21H2,WP Location Client,Activator,high,69,1070.0836743634763,1139
Win10,21H2,WP Location Client,Activator,low,699,35.256083946209756,8403
Win10,21H2,WU,Activator,high,1685,3706.3507754160028,29808
Win11,21H2,Lock Screen,Activator,low,1468,10.349235132789458,5761
Win11,21H2,PDC Suspend/Resume and Network-Refresh Activator,Activator,low,1722,2.2964987566559456,36997
Win11,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PC00.HDAS),Fx Device,low,243,43.40825711808564,5767
Win11,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,821,75.88303365115844,38281
Win11,21H2,Maintenance Phase,PDC Phase,high,2267,2331.731086936996,28952
Win11,21H2,PLM Phase,PDC Phase,low,1726,0.5414896065045661,13037
Win11,21H2,WNS,Activator,low,2538,56.49615322487478,83104
Win10,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,low,56,16.235208288249293,4621
Win10,21H2,Image Download Manager,Activator,moderate,778,251.9435507782459,5461
Win10,21H2,Universal Telemetry Client,Activator,high,144,507.15819485165827,1146
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,low,370,42.0003925271739,8096
Win10,22H2,DHCP,Activator,low,2353,96.01394121527156,52910
Win11,21H2,BI,Activator,low,2258,145.70607808198835,60375
Win10,22H2,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Fx Device,low,694,28.169779543945797,55739
Win10,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,high,31,1141.9866711726381,614
Win11,22H2,PLM Phase,PDC Phase,high,2874,614.1430585820293,12666
Win10,21H1,Intel(R) PCI Express Root Port #1 - A0B8 (\_SB.PC00.RP01),Fx Device,high,3,2451.3530726495737,351
