proc_name,ac_duration,dc_duration,unknown_duration
NordVPN.exe,3.79,322.17,194.51
wegame.exe,888.44,3.15,2.71
vmware-view.exe,440.67,15.66,3.7
MetroExodus.exe,14.51,0.0,112.81
mailmaster.exe,1.44,1.37,179.32
OpenVPNConnect.exe,6.39,1.42,158.43
foobar2000.exe,62.65,0.77,143.07
Audacity.exe,68.85,350.53,24.79
wavebrowser.exe,4.35,40.45,258.61
obkagent.exe,84.82,212.13,132.32
tposd.exe,1081.35,116.98,541.94
DriverUpdUI.exe,8.07,17.13,235.98
SamsungDeXEasySetup.exe,1.19,0.62,118.58
LineCall.exe,21.48,1.8,173.59
vpndownloader.exe,1.14,1.84,317.98
ddm.exe,2413.97,3.01,5.64
ScreenRecorder.exe,222.72,20.12,2.95
FIRSTRUN.EXE,34.25,0.66,96.8
MicrosoftEdge.exe,42.63,29.31,110.87
iw4sp.exe,2.39,32.77,171.19
