country,number_of_systems,avg_number_of_dc_powerons,avg_duration
India,508,3.061123384883176,166.8211822989891
Other,687,2.966974812433012,152.44245712754554
Indonesia,185,2.938981422165279,138.40022421524662
Viet Nam,101,2.8057896665445217,145.6757053865885
Mexico,163,2.768726079825041,191.93657736468015
Japan,231,2.543472409152086,167.12651413189772
Poland,171,2.496077248038624,111.58177429088714
Thailand,145,2.4877318970676243,150.28456014362658
Brazil,258,2.4779215444649827,159.4460874922982
United Kingdom of Great Britain and Northern Ireland,440,2.412789151821324,142.82212177612337
Australia,178,2.4097898513582776,187.03562275756022
Canada,248,2.408964996222614,208.2017124150088
United States of America,1665,2.398167873881551,242.1985513421389
Russian Federation,386,2.3890616167326173,144.46919163369134
Italy,218,2.373512674599069,95.8334195550957
Turkey,514,2.3641129032258066,79.15295698924731
"Taiwan, Province of China",174,2.3265895953757227,116.20086705202313
Romania,115,2.298136645962733,87.60310559006211
Spain,192,2.291410048622366,93.93030794165315
France,328,2.1933784800601956,108.14127163280662
"Korea, Republic of",401,2.1910058027079304,158.32817537072856
Germany,431,2.178469355350905,96.238647189584
China,490,2.120374781642052,127.66349055105606
Netherlands,164,2.0683520599250937,153.7261235955056
