connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
DISPLAYPORT_EMBEDDED,1080x1920,1749,12590.94,1912.51
DISPLAYPORT_EMBEDDED,720x1280,311,966.52,14.74
DISPLAYPORT_EMBEDDED,1024x1280,250,741.16,17.79
DISPLAYPORT_EMBEDDED,768x1024,209,680.01,22.14
DISPLAYPORT_EMBEDDED,1440x2560,202,8984.42,667.42
DISPLAYPORT_EMBEDDED,480x640,194,507.36,28.34
DISPLAYPORT_EMBEDDED,2160x3840,186,20515.38,1584.29
DISPLAYPORT_EMBEDDED,1050x1680,176,1028.27,736.54
DISPLAYPORT_EMBEDDED,768x1366,156,5385.41,100.72
DISPLAYPORT_EMBEDDED,600x800,154,565.39,14.52
DISPLAYPORT_EMBEDDED,1024x1600,91,871.13,6.3
DISPLAYPORT_EMBEDDED,960x1280,88,622.23,1.03
DISPLAYPORT_EMBEDDED,900x1600,77,2769.03,11.18
DISPLAYPORT_EMBEDDED,768x1360,73,2660.74,999.17
DISPLAYPORT_EMBEDDED,800x1280,72,1206.32,62.38
DISPLAYPORT_EMBEDDED,1600x2560,58,8791.27,3138.89
DISPLAYPORT_EMBEDDED,768x1280,56,3614.75,41.51
DISPLAYPORT_EMBEDDED,1080x1440,52,853.26,1.87
DISPLAYPORT_EXTERNAL,1080x1920,25351,7747.54,189.2
DISPLAYPORT_EXTERNAL,1440x2560,7743,8404.75,92.32
DISPLAYPORT_EXTERNAL,2160x3840,6424,5307.37,53.48
DISPLAYPORT_EXTERNAL,768x1024,5454,3259.31,83.22
DISPLAYPORT_EXTERNAL,720x1280,3633,1334.38,25.03
DISPLAYPORT_EXTERNAL,1050x1680,3182,4691.19,187.82
DISPLAYPORT_EXTERNAL,1200x1920,3157,12597.18,404.51
DISPLAYPORT_EXTERNAL,900x1600,3042,4682.76,89.63
DISPLAYPORT_EXTERNAL,1024x1280,2677,8714.63,108.71
DISPLAYPORT_EXTERNAL,480x640,2597,5207.47,166.55
DISPLAYPORT_EXTERNAL,768x1366,2484,4808.16,31.2
DISPLAYPORT_EXTERNAL,600x800,1927,6513.85,45.59
DISPLAYPORT_EXTERNAL,1440x3440,1906,10468.82,232.47
DISPLAYPORT_EXTERNAL,900x1440,1445,4378.11,67.78
DISPLAYPORT_EXTERNAL,1920x1080,1234,11813.99,168.52
DISPLAYPORT_EXTERNAL,960x1280,1150,634.09,0.09
DISPLAYPORT_EXTERNAL,1440x1920,1123,787.32,6.22
DISPLAYPORT_EXTERNAL,768x1360,1007,14269.08,158.89
DISPLAYPORT_EXTERNAL,1080x2560,964,12767.53,171.19
DISPLAYPORT_EXTERNAL,800x1280,935,5681.11,110.48
DISPLAYPORT_EXTERNAL,1600x2560,695,11280.2,356.63
DISPLAYPORT_EXTERNAL,1200x1600,683,1635.71,52.48
DISPLAYPORT_EXTERNAL,768x1280,594,4684.95,27.92
DISPLAYPORT_EXTERNAL,1024x1600,530,390.03,0.0
DISPLAYPORT_EXTERNAL,864x1152,499,2759.64,12.02
DISPLAYPORT_EXTERNAL,1080x1440,468,640.93,0.02
DISPLAYPORT_EXTERNAL,2036x3620,418,1878.99,0.0
DISPLAYPORT_EXTERNAL,1050x1400,407,3043.53,356.23
DISPLAYPORT_EXTERNAL,2560x1440,395,6126.01,53.3
DISPLAYPORT_EXTERNAL,1152x2048,369,15115.71,583.18
DISPLAYPORT_EXTERNAL,664x1176,361,367.16,0.0
DISPLAYPORT_EXTERNAL,1080x3840,331,18397.78,270.25
DISPLAYPORT_EXTERNAL,1440x5120,324,11460.28,156.67
DISPLAYPORT_EXTERNAL,600x1280,322,2189.49,0.78
DISPLAYPORT_EXTERNAL,1824x2736,318,2889.7,499.71
DISPLAYPORT_EXTERNAL,3840x2160,210,24012.14,194.61
DISPLAYPORT_EXTERNAL,1504x2256,199,2794.0,1716.09
DISPLAYPORT_EXTERNAL,2160x4096,197,4170.58,14.32
DISPLAYPORT_EXTERNAL,1536x2048,190,1623.81,10.81
DISPLAYPORT_EXTERNAL,1600x3840,173,8399.13,216.3
DISPLAYPORT_EXTERNAL,480x720,150,472.87,408.9
DISPLAYPORT_EXTERNAL,1527x2715,149,8545.19,0.0
DISPLAYPORT_EXTERNAL,2400x3840,145,1507.96,944.51
DISPLAYPORT_EXTERNAL,2000x3000,141,8921.32,1811.77
DISPLAYPORT_EXTERNAL,2048x2560,141,11166.93,72.87
DISPLAYPORT_EXTERNAL,1920x1200,105,3228.49,16.79
DISPLAYPORT_EXTERNAL,992x1768,105,6466.99,0.0
