marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Coffee Lake,9th Gen i5,1292,33491.98,19560.14,269.27,30384.41,83705.8,40.01,23.37,0.32,36.3
Comet Lake,10th Gen i5,2488,32264.75,16699.64,4143.8,30445.34,83553.54,38.62,19.99,4.96,36.44
Coffee Lake,9th Gen i9,304,39634.04,16511.36,261.98,27447.49,83854.87,47.27,19.69,0.31,32.73
Ice Lake,10th Gen i5,801,23773.22,12145.31,5801.26,41115.05,82834.83,28.7,14.66,7.0,49.63
Alder Lake,12th Gen i5,357,32834.07,23962.14,804.92,27647.58,85248.71,38.52,28.11,0.94,32.43
Tiger Lake,11th Gen i3,448,23076.5,12297.87,14614.67,34801.66,84790.7,27.22,14.5,17.24,41.04
Alder Lake,12th Gen i9,121,35088.21,23070.23,1538.01,25543.74,85240.19,41.16,27.06,1.8,29.97
Alder Lake,12th Gen i7,273,34480.88,20608.73,1981.29,28109.95,85180.84,40.48,24.19,2.33,33.0
Comet Lake,Pentium/Celeron-Comet Lake,110,29665.0,17190.11,58.53,38222.5,85136.14,34.84,20.19,0.07,44.9
Coffee Lake,9th Gen i3,211,38039.54,15843.57,0.0,29752.43,83635.54,45.48,18.94,0.0,35.57
Comet Lake,10th Gen i7,1897,32158.63,14406.27,5626.99,31383.68,83575.57,38.48,17.24,6.73,37.55
Tiger Lake,11th Gen i7,1574,27186.26,11474.84,14213.14,32054.43,84928.68,32.01,13.51,16.74,37.74
Coffee Lake,9th Gen i7,1261,33934.34,16749.89,799.85,32109.44,83593.52,40.59,20.04,0.96,38.41
Ice Lake,10th Gen i3,341,25980.64,13693.76,2026.31,41197.15,82897.86,31.34,16.52,2.44,49.7
Ice Lake,10th Gen i7,423,24637.9,10461.42,10262.84,37606.16,82968.32,29.7,12.61,12.37,45.33
Comet Lake,10th Gen i3,707,34213.91,18284.6,3066.27,28065.76,83630.55,40.91,21.86,3.67,33.56
Gemini Lake Refresh,Pentium/Celeron-Gemini Lake Refresh,189,31730.08,12704.97,0.0,40290.0,84725.04,37.45,15.0,0.0,47.55
Tiger Lake,11th Gen i5,1948,24250.23,14057.85,13695.17,32897.22,84900.46,28.56,16.56,16.13,38.75
Unknown,Unknown,1820,31333.97,17395.61,1416.01,34980.72,85126.32,36.81,20.44,1.66,41.09
Comet Lake,10th Gen i9,245,36010.76,20222.34,1470.09,26304.84,84008.03,42.87,24.07,1.75,31.31
Rocket Lake,11th Gen i5,454,33884.61,17822.03,0.0,33443.73,85150.36,39.79,20.93,0.0,39.28
Rocket Lake,11th Gen i7,305,36829.39,18359.6,23.31,29997.19,85209.49,43.22,21.55,0.03,35.2
Coffee Lake,Pentium/Celeron-Coffee Lake,144,35074.57,14953.02,0.0,34982.09,85009.67,41.26,17.59,0.0,41.15
