persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Casual User,4034,235747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,2227,210411.0,0.029,0.043,0.288,1.654,0.153,1.133,8.204,0.75,0.547,0.004,2.354,1.759,48.443,14.561,0.002,2.437,0.153,0.456,0.204,0.717,0.592,0.56,1.256,6.788,2.906,2.376,0.648,0.985
Win Store App User,723,51805.0,0.039,0.009,0.148,1.83,0.12,1.897,22.526,0.54,2.447,0.008,2.428,1.075,33.18,15.321,0.0,0.837,0.102,0.161,0.092,0.31,0.705,0.34,1.031,6.828,2.86,3.723,0.792,0.651
Web User,9831,876961.0,0.066,0.009,0.257,1.469,0.188,1.871,21.721,0.558,0.989,0.011,3.417,1.322,29.36,21.854,0.001,0.803,0.154,0.212,0.056,0.691,0.577,0.333,0.855,4.908,2.506,3.768,1.145,0.898
Casual Gamer,2432,207370.0,0.062,0.014,0.158,1.448,0.074,2.524,29.319,0.337,2.231,0.062,1.292,0.593,20.431,27.608,0.0,0.538,0.104,0.147,0.047,0.308,0.695,0.188,0.676,3.687,1.773,3.325,1.666,0.69
File & Network Sharer,685,47531.0,0.084,0.015,0.104,1.221,0.912,2.873,13.224,0.772,0.568,0.01,3.795,1.269,39.488,18.641,0.0,1.171,0.026,0.258,0.033,0.699,0.293,0.307,1.223,6.718,2.953,1.687,1.187,0.467
Gamer,3487,242332.0,0.115,0.005,0.209,1.571,0.11,2.487,28.491,0.28,2.964,0.074,0.962,0.502,22.277,26.977,0.0,0.666,0.122,0.153,0.002,0.219,0.591,0.181,0.685,4.014,1.726,2.461,1.485,0.671
Office/Productivity,2570,201673.0,0.096,0.005,0.234,1.931,0.133,1.275,9.561,0.712,0.381,0.005,4.301,1.241,39.351,22.577,0.0,1.409,0.1,0.302,0.041,0.771,0.444,0.304,1.1,7.412,1.875,2.436,1.165,0.842
Unknown,3575,22598.0,0.019,0.008,0.121,0.304,0.021,0.532,6.517,0.115,0.481,0.035,0.594,0.276,12.844,72.279,0.0,0.707,0.013,0.116,0.004,0.06,0.053,0.06,0.264,2.519,0.698,0.763,0.392,0.204
Content Creator/IT,1778,132727.0,0.146,0.02,0.216,1.364,0.217,1.82,14.977,0.556,0.724,0.006,3.357,1.022,33.668,23.039,0.0,1.505,0.127,0.46,0.191,0.548,0.502,0.366,1.149,6.922,2.545,2.859,1.011,0.681
Entertainment,950,56225.0,0.071,0.024,0.139,0.912,0.071,2.984,24.752,0.373,1.437,0.032,1.584,1.434,28.173,20.316,0.0,0.916,0.059,0.245,0.004,0.156,0.534,0.222,1.003,6.954,2.637,3.493,0.789,0.684
