query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.375,False,"3/8 real groups matched, 3 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,0.9665731235124863,False,"median RE=0.9666, mean RE=0.9668, n_groups=3"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,0.11434093051348176,True,"median RE=0.1143, mean RE=0.4017, n_groups=3"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,0.03378066126628995,True,"median RE=0.0338, mean RE=0.3745, n_groups=3"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,0.0,False,"0/4 real groups matched, 0 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,relative_error,inf,False,no overlapping groups
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,relative_error,inf,False,no overlapping groups
battery_on_duration_cpu_family_gen,aggregate,group_coverage,jaccard,0.21428571428571427,False,"3/14 real groups matched, 3 synth groups total"
battery_on_duration_cpu_family_gen,aggregate,number_of_systems,median_relative_error,0.9554952510176391,False,"median RE=0.9555, mean RE=0.9553, n_groups=3"
battery_on_duration_cpu_family_gen,aggregate,avg_duration_mins_on_battery,median_relative_error,0.011837718813767977,True,"median RE=0.0118, mean RE=0.0118, n_groups=3"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.13513513513513514,False,"5/37 real groups matched, 5 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,median_relative_error,0.8224974200206399,False,"median RE=0.8225, mean RE=0.8499, n_groups=5"
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,median_relative_error,0.2513393834972637,False,"median RE=0.2513, mean RE=0.2798, n_groups=5"
battery_power_on_geographic_summary,aggregate,avg_duration,median_relative_error,0.15252304975289066,True,"median RE=0.1525, mean RE=0.2385, n_groups=5"
most_popular_browser_in_each_country_by_system_count,ranking_categorical,browser,categorical_accuracy,0.1568627450980392,False,8/51 countries correct (9 overlapping)
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,group_coverage,jaccard,0.07407407407407407,False,"2/27 real groups matched, 2 synth groups total"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,number_of_systems,median_relative_error,0.9756201492838122,False,"median RE=0.9756, mean RE=0.9756, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_on_time,median_relative_error,0.04733350132427335,True,"median RE=0.0473, mean RE=0.0473, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_off_time,median_relative_error,0.01886771445338554,True,"median RE=0.0189, mean RE=0.0189, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_modern_sleep_time,median_relative_error,0.18350605340359888,True,"median RE=0.1835, mean RE=0.1835, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_sleep_time,median_relative_error,0.026184644777387384,True,"median RE=0.0262, mean RE=0.0262, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_total_time,median_relative_error,0.01786473559008594,True,"median RE=0.0179, mean RE=0.0179, n_groups=2"
