country,browser
Australia,edge
Australia,chrome
Austria,edge
Austria,chrome
Brazil,chrome
Canada,chrome
China,chrome
Czech Republic,firefox
Czech Republic,edge
Czech Republic,chrome
France,chrome
Germany,chrome
India,chrome
India,edge
Indonesia,chrome
Indonesia,edge
Indonesia,firefox
Italy,chrome
Japan,chrome
"Korea, Republic of",chrome
Mexico,chrome
Netherlands,chrome
South Africa,edge
South Africa,chrome
Spain,chrome
Sweden,edge
"Taiwan, Province of China",edge
"Taiwan, Province of China",chrome
Thailand,edge
Thailand,chrome
Turkey,chrome
Turkey,edge
United Kingdom of Great Britain and Northern Ireland,chrome
