persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Win Store App User,94,94.0,0.185,0.078,0.03,2.672,17.346,0.506,34.837,0.98,0.326,1.176,8.51,5.574,0.083,0.021,0.026,0.137,0.871,0.058,0.17,0.918,4.287,1.542,1.143,13.162,1.618,2.977,0.63,0.137
Communication,23,23.0,0.398,0.037,0.079,3.578,11.151,0.751,26.054,1.97,0.171,1.195,8.074,5.387,0.304,0.0,1.675,1.193,3.905,2.65,1.605,5.246,5.358,1.189,1.364,10.225,1.063,2.135,3.085,0.158
Casual User,22,22.0,0.498,0.045,0.0,2.293,13.376,0.273,36.798,1.39,0.409,3.313,8.137,5.693,0.136,0.091,0.023,0.25,0.61,0.528,0.023,1.352,3.829,2.366,1.504,11.694,0.398,4.435,0.535,0.0
Web User,255,255.0,0.669,0.232,0.22,3.529,10.64,0.682,28.756,2.357,0.236,1.589,8.437,5.736,0.243,0.065,0.244,0.828,2.08,0.654,0.402,3.091,8.246,1.938,2.271,10.902,1.362,2.88,1.541,0.17
Entertainment,316,316.0,0.061,0.062,0.019,0.027,30.248,1.398,47.638,0.041,0.225,2.495,2.659,3.328,0.505,0.01,0.004,0.07,0.007,0.007,0.002,0.005,0.82,1.061,0.502,6.395,0.648,1.429,0.202,0.133
Content Creator/IT,96,96.0,26.009,33.496,5.946,0.161,3.065,0.124,6.632,0.155,0.057,0.2,4.142,2.302,0.135,0.005,0.118,0.223,1.244,7.677,0.13,0.574,0.904,0.189,0.348,4.939,0.145,0.477,0.543,0.06
Casual Gamer,169,169.0,1.096,0.385,0.333,0.43,10.122,1.201,36.917,0.344,3.662,24.746,2.877,3.677,0.295,0.047,0.047,0.183,0.034,0.308,0.022,0.073,0.294,1.349,0.646,7.551,0.778,1.567,0.599,0.416
Gamer,171,171.0,0.106,0.088,0.023,0.026,4.07,0.201,19.015,0.031,9.641,53.752,1.087,1.395,0.672,0.017,0.014,0.058,0.014,0.074,0.011,0.057,0.243,0.499,0.106,6.74,0.265,1.386,0.236,0.173
Office/Productivity,43,43.0,1.079,0.334,0.479,2.528,5.995,0.657,15.63,2.3,0.154,1.046,5.804,4.116,0.216,0.106,10.753,2.158,7.965,4.754,6.443,10.689,8.245,0.541,0.697,4.61,0.324,1.465,0.832,0.078
File & Network Sharer,15,15.0,0.033,0.033,0.066,0.261,10.842,1.466,29.115,2.299,0.065,1.531,9.433,5.266,0.197,0.066,2.067,0.514,3.448,0.383,1.749,5.663,5.112,1.135,1.55,13.037,1.168,2.468,1.033,0.0
Unknown,18,18.0,0.168,0.056,0.028,2.869,16.166,0.056,33.95,1.717,0.39,0.558,8.338,5.69,6.173,0.0,0.0,0.278,1.006,0.0,0.0,2.077,6.592,0.751,2.105,9.475,0.833,0.39,0.334,0.0
