countryname_normalized,number_of_systems,avg_pkg_power_consumed
China,7,9050.725903614459
"Korea, Republic of",66,3598.3134254689044
Mexico,7,1333.5384615384614
Netherlands,54,308.069449144576
Japan,59,251.38718820861678
France,48,86.36440178991992
Italy,46,85.36392369967838
Canada,83,80.07777639874895
Spain,27,75.83955049620549
Turkey,2,63.26923076923077
Sweden,6,61.29338842975206
United Kingdom of Great Britain and Northern Ireland,21,52.338283828382835
Brazil,12,43.010941906373375
South Africa,2,41.666666666666664
Poland,3,37.526315789473685
India,9,32.24025157232705
Australia,4,29.18281938325991
Thailand,1,28.7
Germany,2,24.285714285714285
"Taiwan, Province of China",2,22.649006622516556
United States of America,1,8.7
