query,query_type,column,metric_type,value,passed,detail
Xeon_network_consumption,aggregate,group_coverage,jaccard,0.5,True,"4/8 real groups matched, 4 synth groups total"
Xeon_network_consumption,aggregate,number_of_systems,median_relative_error,0.9811068020419426,False,"median RE=0.9811, mean RE=0.9771, n_groups=4"
Xeon_network_consumption,aggregate,avg_bytes_received,median_relative_error,0.9999504523370302,False,"median RE=1.0000, mean RE=1.2222, n_groups=4"
Xeon_network_consumption,aggregate,avg_bytes_sent,median_relative_error,0.976254298587054,False,"median RE=0.9763, mean RE=0.7721, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,group_coverage,jaccard,0.6666666666666666,True,"4/4 real groups matched, 6 synth groups total"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,number_of_systems,median_relative_error,4.053185271770894,False,"median RE=4.0532, mean RE=20.6724, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_psys_rap_watts,median_relative_error,2.172648597889519,False,"median RE=2.1726, mean RE=2.2721, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_pkg_c0,median_relative_error,122.74540760416065,False,"median RE=122.7454, mean RE=189.6245, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_freq_mhz,median_relative_error,324395.1407268126,False,"median RE=324395.1407, mean RE=324106.0904, n_groups=4"
avg_platform_power_c0_freq_temp_by_chassis,aggregate,avg_temp_centigrade,median_relative_error,0.395174765916221,False,"median RE=0.3952, mean RE=0.3380, n_groups=4"
battery_on_duration_cpu_family_gen,aggregate,group_coverage,jaccard,0.13333333333333333,False,"2/14 real groups matched, 3 synth groups total"
battery_on_duration_cpu_family_gen,aggregate,number_of_systems,median_relative_error,0.6581467929401636,False,"median RE=0.6581, mean RE=0.6581, n_groups=2"
battery_on_duration_cpu_family_gen,aggregate,avg_duration_mins_on_battery,median_relative_error,0.6579779229784871,False,"median RE=0.6580, mean RE=0.6580, n_groups=2"
battery_power_on_geographic_summary,aggregate,group_coverage,jaccard,0.05405405405405406,False,"2/37 real groups matched, 2 synth groups total"
battery_power_on_geographic_summary,aggregate,number_of_systems,median_relative_error,0.5504443496662136,False,"median RE=0.5504, mean RE=0.5504, n_groups=2"
battery_power_on_geographic_summary,aggregate,avg_number_of_dc_powerons,median_relative_error,0.9628483332883649,False,"median RE=0.9628, mean RE=0.9628, n_groups=2"
battery_power_on_geographic_summary,aggregate,avg_duration,median_relative_error,0.45336071439174574,False,"median RE=0.4534, mean RE=0.4534, n_groups=2"
most_popular_browser_in_each_country_by_system_count,ranking_categorical,browser,categorical_accuracy,0.1568627450980392,False,8/51 countries correct (14 overlapping)
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,group_coverage,jaccard,0.07407407407407407,False,"2/27 real groups matched, 2 synth groups total"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,number_of_systems,median_relative_error,0.6153908245487771,False,"median RE=0.6154, mean RE=0.6154, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_on_time,median_relative_error,99.37478359627116,False,"median RE=99.3748, mean RE=99.3748, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_off_time,median_relative_error,57.79374249693031,False,"median RE=57.7937, mean RE=57.7937, n_groups=2"
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,avg_modern_sleep_time,median_relative_error,3176.525369369369,False,"median RE=3176.5254, mean RE=3176.5254, n_groups=2"
