countryname_normalized,number_of_systems,avg_pkg_power_consumed
Canada,36,268.35583362707087
United Kingdom of Great Britain and Northern Ireland,133,124.54223961878829
Turkey,1,95.4
"Taiwan, Province of China",7,50.1085020242915
Brazil,79,44.5550794747754
Australia,2,40.61538461538461
Sweden,8,40.59274376417233
Germany,125,39.180555986954495
Japan,179,37.84705650976793
China,36,33.271748878923766
Netherlands,123,32.616980066177064
France,25,31.661591444625703
Switzerland,2,30.333333333333332
Spain,5,24.85952380952381
Russian Federation,1,22.0
India,26,21.078470097357442
Czech Republic,1,12.5
Mexico,1,5.2
