country,number_of_systems,avg_number_of_dc_powerons,avg_duration
India,1009,3.0690372218756496,169.198308726693
Indonesia,371,3.004481546572935,136.91326889279438
Philippines,196,2.9883040935672516,132.3616298811545
Peru,152,2.951244286439817,177.42001015744032
Other,1405,2.8115019041828018,154.68973021410056
Colombia,170,2.799172346640701,162.7108081791626
Chile,164,2.7890943277969287,150.15888436226888
Viet Nam,202,2.743784165050256,137.8529359901252
Argentina,158,2.7146596858638743,198.92931937172776
Mexico,323,2.683220362429105,204.00511827362013
Malaysia,163,2.589596754951086,148.6957766642806
Thailand,286,2.561931640012543,138.3867983693948
Norway,103,2.5329062317996507,127.25509609784508
Brazil,521,2.517416086130462,161.32911125184717
Japan,473,2.4580232406319364,158.7204595900248
Poland,318,2.441734889392092,101.46124368576903
Russian Federation,762,2.4327084397111385,139.19746152162813
Canada,510,2.4299483648881237,210.96637980493404
Israel,147,2.41846386681801,148.93832765796444
Turkey,1005,2.397501601537476,84.21710442024343
Switzerland,119,2.3907766990291264,153.60825242718445
United States of America,3341,2.3820217073253716,237.75048484229868
Australia,359,2.3575832305795315,202.63748458692973
France,664,2.339016334910292,124.09845577077569
Italy,448,2.3366960907944514,95.756368221942
United Kingdom of Great Britain and Northern Ireland,856,2.3235234007766197,136.07555010559304
"Taiwan, Province of China",357,2.31639645662711,112.80227310713688
Romania,203,2.3073270013568523,109.82157394843962
Ukraine,175,2.3010723123453394,120.83530382183118
Spain,394,2.27574494364675,93.11332406978539
Germany,852,2.272349272349272,99.25491763953302
Czech Republic,106,2.259018036072144,119.44839679358718
"Korea, Republic of",836,2.2190505035208603,162.43431513591278
Netherlands,297,2.2042936288088644,145.82733148661126
Portugal,155,2.1971266288005347,114.85499498830605
Belgium,138,2.157873859579532,128.4129313764379
China,969,2.099713232281852,126.78820155673904
