connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
COMPOSITE_VIDEO,1080x1920,53,14317.74,4444.61
DISPLAYPORT_EMBEDDED,1080x1920,3447,12667.27,1993.5
DISPLAYPORT_EMBEDDED,720x1280,639,1212.84,27.15
DISPLAYPORT_EMBEDDED,1024x1280,480,682.38,13.21
DISPLAYPORT_EMBEDDED,1440x2560,409,11046.56,965.81
DISPLAYPORT_EMBEDDED,768x1024,406,802.69,31.12
DISPLAYPORT_EMBEDDED,480x640,375,464.62,19.19
DISPLAYPORT_EMBEDDED,2160x3840,354,18407.39,1665.35
DISPLAYPORT_EMBEDDED,1050x1680,329,858.44,412.42
DISPLAYPORT_EMBEDDED,768x1366,321,4352.74,278.34
DISPLAYPORT_EMBEDDED,600x800,297,698.43,12.89
DISPLAYPORT_EMBEDDED,1024x1600,170,2485.23,3567.31
DISPLAYPORT_EMBEDDED,960x1280,162,607.58,3.14
DISPLAYPORT_EMBEDDED,800x1280,134,1055.44,46.28
DISPLAYPORT_EMBEDDED,768x1360,134,2287.3,713.93
DISPLAYPORT_EMBEDDED,900x1600,133,2522.95,9.88
DISPLAYPORT_EMBEDDED,1600x2560,124,4126.66,750.61
DISPLAYPORT_EMBEDDED,1200x1920,93,4043.33,692.33
DISPLAYPORT_EMBEDDED,1080x1440,92,838.29,4.08
DISPLAYPORT_EMBEDDED,768x1280,90,3352.78,325.82
DISPLAYPORT_EMBEDDED,1920x1080,72,11442.92,392.29
DISPLAYPORT_EMBEDDED,864x1152,58,1686.3,83.16
DISPLAYPORT_EMBEDDED,1527x2715,56,2887.43,98.67
DISPLAYPORT_EMBEDDED,1440x1920,51,798.29,0.94
DISPLAYPORT_EXTERNAL,1080x1920,50526,7871.87,184.12
DISPLAYPORT_EXTERNAL,1440x2560,15376,9048.75,106.78
DISPLAYPORT_EXTERNAL,2160x3840,12917,5348.8,55.84
DISPLAYPORT_EXTERNAL,768x1024,10916,3814.86,88.69
DISPLAYPORT_EXTERNAL,720x1280,7134,1624.37,54.27
DISPLAYPORT_EXTERNAL,1050x1680,6295,5000.72,183.61
DISPLAYPORT_EXTERNAL,1200x1920,6292,11247.32,396.63
DISPLAYPORT_EXTERNAL,900x1600,6012,4408.73,85.98
DISPLAYPORT_EXTERNAL,1024x1280,5400,6434.51,87.3
DISPLAYPORT_EXTERNAL,480x640,5097,5139.57,101.91
DISPLAYPORT_EXTERNAL,768x1366,5051,5755.78,40.49
DISPLAYPORT_EXTERNAL,600x800,3869,4896.74,30.71
DISPLAYPORT_EXTERNAL,1440x3440,3834,9414.89,178.69
DISPLAYPORT_EXTERNAL,900x1440,2858,4459.99,76.07
DISPLAYPORT_EXTERNAL,1920x1080,2387,14544.39,197.14
DISPLAYPORT_EXTERNAL,960x1280,2363,813.15,0.66
DISPLAYPORT_EXTERNAL,1440x1920,2224,709.96,30.2
DISPLAYPORT_EXTERNAL,768x1360,2033,14166.85,123.4
DISPLAYPORT_EXTERNAL,800x1280,1870,9710.34,161.19
DISPLAYPORT_EXTERNAL,1080x2560,1855,11342.7,206.56
DISPLAYPORT_EXTERNAL,1600x2560,1431,10290.86,371.09
DISPLAYPORT_EXTERNAL,1200x1600,1342,2146.51,27.05
DISPLAYPORT_EXTERNAL,768x1280,1263,10291.14,32.92
DISPLAYPORT_EXTERNAL,1024x1600,1042,540.97,0.0
DISPLAYPORT_EXTERNAL,864x1152,1010,5042.46,7.41
DISPLAYPORT_EXTERNAL,1080x1440,882,685.73,0.01
DISPLAYPORT_EXTERNAL,1050x1400,821,3173.85,375.63
DISPLAYPORT_EXTERNAL,2036x3620,807,1259.22,0.0
DISPLAYPORT_EXTERNAL,1152x2048,764,10273.22,327.83
DISPLAYPORT_EXTERNAL,2560x1440,737,10822.6,65.92
DISPLAYPORT_EXTERNAL,664x1176,717,724.76,0.0
DISPLAYPORT_EXTERNAL,1080x3840,669,21261.28,357.64
DISPLAYPORT_EXTERNAL,1440x5120,660,11657.27,130.11
