app_type,exe_name,average_focal_sec_per_day,rank
Communication,zoomrooms.exe,39877.0,1
Communication,adiirc.exe,36982.0,2
Communication,flex-communicator.exe,32278.0,3
Communication,bittitandmaoutlookconfiguratorapplication.exe,23622.0,4
Communication,tcfemailminer22.exe,18892.0,5
Communication,controller.exe,17648.0,6
Communication,zello.exe,15874.0,7
Communication,fs.exe,15514.0,8
Communication,front.exe,14373.0,9
Communication,scriptcommunicator.exe,14000.0,10
Developer tools,bsp.exe,52419.0,1
Developer tools,deleaker.exe,37280.0,2
Developer tools,electron.exe,27910.0,3
Developer tools,xray.exe,27664.0,4
Developer tools,netterm.exe,20354.0,5
Developer tools,mainframe.exe,15032.0,6
Developer tools,omnis.exe,14804.0,7
Developer tools,ttk3_gui.exe,14059.0,8
Developer tools,hwx.exe,12823.0,9
Developer tools,ifrun60.exe,11648.0,10
Entertainment,runic.exe,50593.0,1
Entertainment,player.exe,49374.0,2
Entertainment,plex htpc.exe,40051.0,3
Entertainment,station.exe,27298.0,4
Entertainment,flixgrab.exe,21903.0,5
Entertainment,plexmediaplayer.exe,21407.0,6
Entertainment,rfidtripodstr.exe,20863.0,7
Entertainment,ehshell.exe,18663.0,8
Entertainment,roombatv.exe,14878.0,9
Entertainment,cubase9.5.exe,14551.0,10
Gaming,헂7뮪놾ퟷ뺫,66727.0,1
Gaming,e튻h,48628.0,2
Gaming,폐컄첳튻q뗄p늻풭,46102.0,3
Gaming,mw.exe,46030.0,4
Gaming,t첳슼쯹뒴r풭싛틔s헂,43418.0,5
Gaming,93폐,41292.0,6
Gaming,쿠쯹닡폐폅w,39344.0,7
Gaming,럇.쿠f.벰뗄,37295.0,8
Gaming,뗄pt,35704.0,9
Gaming,btb game bay.exe,35088.0,10
Gaming auxiliary,mir4g.exe,32109.0,1
Gaming auxiliary,7daystodieserver.exe,29824.0,2
Gaming auxiliary,otclient_dx.exe,18728.0,3
Gaming auxiliary,fahcontrol.exe,15585.0,4
Gaming auxiliary,foxwq.exe,15560.0,5
Gaming auxiliary,pspluslauncher.exe,14616.0,6
Gaming auxiliary,rustclient.exe,14362.0,7
Gaming auxiliary,gamebox.exe,13494.0,8
Gaming auxiliary,san14pk_ko.exe,13474.0,9
Gaming auxiliary,bedrock_server.exe,13184.0,10
Installers + Updaters,supernova.client.appinstaller.exe,55442.0,1
Installers + Updaters,tra6fd3.tmp,49457.0,2
Installers + Updaters,opera_77.0.4054.172_autoupdate_x64.exe,41043.0,3
Installers + Updaters,install-sixbit-4.00.408.exe,39072.0,4
Installers + Updaters,asysautoupdate.exe,37862.0,5
Installers + Updaters,dispatchclient.exe,35914.0,6
Installers + Updaters,chipupdater.exe,35010.0,7
Installers + Updaters,verizonwirelessupgradeassistantupdate.exe,34563.0,8
Installers + Updaters,rave-x64-setup-1.8.1-alpha.19.exe,34432.0,9
Installers + Updaters,msi7e22.tmp,33937.0,10
Lifestyle,sunsetscreen.exe,36396.0,1
Lifestyle,webmed.exe,29389.0,2
Lifestyle,chia.exe,22957.0,3
Lifestyle,nnt.exe,20641.0,4
Lifestyle,m42t.exe,20536.0,5
