app_type,exe_name,number_of_systems,rank
Communication,zoom.exe,13968,1
Communication,outlook.exe,12880,2
Communication,teams.exe,11311,3
Communication,skypebridge.exe,3511,4
Communication,atmgr.exe,2555,5
Communication,lync.exe,1749,6
Communication,linelauncher.exe,1414,7
Communication,thunderbird.exe,1399,8
Communication,slack.exe,1272,9
Communication,ptoneclk.exe,1200,10
Developer tools,powershell.exe,5004,1
Developer tools,notepad++.exe,4351,2
Developer tools,code.exe,3367,3
Developer tools,devenv.exe,2457,4
Developer tools,overwolf.exe,2125,5
Developer tools,python.exe,1841,6
Developer tools,putty.exe,1711,7
Developer tools,virtualbox.exe,1679,8
Developer tools,pythonw.exe,1526,9
Developer tools,virtualboxvm.exe,1360,10
Entertainment,wmplayer.exe,12866,1
Entertainment,vlc.exe,12605,2
Entertainment,spotify.exe,11174,3
Entertainment,itunes.exe,6101,4
Entertainment,hd-player.exe,2475,5
Entertainment,mpc-hc64.exe,2014,6
Entertainment,potplayermini64.exe,1248,7
Entertainment,linemediaplayer.exe,1216,8
Entertainment,thunder.exe,1098,9
Entertainment,cloudmusic.exe,1003,10
Gaming,riotclientux.exe,6243,1
Gaming,csgo.exe,4865,2
Gaming,leagueclientux.exe,4590,3
Gaming,riotclientservices.exe,4489,4
Gaming,league of legends.exe,4351,5
Gaming,leagueclient.exe,4208,6
Gaming,valorant-win64-shipping.exe,3815,7
Gaming,gta5.exe,3291,8
Gaming,fortniteclient-win64-shipping.exe,3243,9
Gaming,robloxplayerlauncher.exe,3209,10
Gaming auxiliary,steam.exe,19047,1
Gaming auxiliary,steamwebhelper.exe,15248,2
Gaming auxiliary,epicgameslauncher.exe,9779,3
Gaming auxiliary,battle.net.exe,6171,4
Gaming auxiliary,origin.exe,5436,5
Gaming auxiliary,bluestacks.exe,3016,6
Gaming auxiliary,wgc.exe,1171,7
Gaming auxiliary,garena.exe,951,8
Gaming auxiliary,geforcenow.exe,867,9
Gaming auxiliary,blitz.exe,844,10
Installers + Updaters,msiexec.exe,24639,1
Installers + Updaters,intel-driver-and-support-assistant-installer.exe,20661,2
Installers + Updaters,installer.exe,10863,3
Installers + Updaters,update.exe,9499,4
Installers + Updaters,setup.exe,7530,5
Installers + Updaters,setup_wm.exe,6299,6
Installers + Updaters,updater.exe,6149,7
Installers + Updaters,googleupdate.exe,5957,8
Installers + Updaters,setup.tmp,3821,9
Installers + Updaters,_iu14d2n.tmp,2328,10
Lifestyle,icue.exe,941,1
Lifestyle,rainmeter.exe,702,2
Lifestyle,kindle.exe,556,3
Lifestyle,calibre.exe,551,4
Lifestyle,calibre-parallel.exe,332,5
Lifestyle,aliim.exe,282,6
