app_type,exe_name,total_number_of_detections,rank
Communication,outlook.exe,84245310.0,1
Communication,teams.exe,17208150.0,2
Communication,zoom.exe,16331121.0,3
Communication,thunderbird.exe,3847752.0,4
Communication,slack.exe,3124031.0,5
Communication,lync.exe,2912100.0,6
Communication,atmgr.exe,1005669.0,7
Communication,dingtalk.exe,540073.0,8
Communication,ciscojabber.exe,445097.0,9
Communication,notes2.exe,354952.0,10
Developer tools,code.exe,4304962.0,1
Developer tools,devenv.exe,4159228.0,2
Developer tools,notepad++.exe,3309219.0,3
Developer tools,xplatform.exe,2633359.0,4
Developer tools,idea64.exe,1346899.0,5
Developer tools,putty.exe,1267261.0,6
Developer tools,ssms.exe,1158406.0,7
Developer tools,eclipse.exe,907742.0,8
Developer tools,microsoft.dynamics.nav.client.exe,737710.0,9
Developer tools,studio64.exe,733193.0,10
Entertainment,vlc.exe,5714251.0,1
Entertainment,spotify.exe,4549485.0,2
Entertainment,wmplayer.exe,1997455.0,3
Entertainment,mpc-hc64.exe,1308960.0,4
Entertainment,hd-player.exe,1094763.0,5
Entertainment,itunes.exe,1063652.0,6
Entertainment,potplayermini64.exe,1041266.0,7
Entertainment,gom.exe,807285.0,8
Entertainment,thunder.exe,386677.0,9
Entertainment,linemediaplayer.exe,372862.0,10
Gaming,leagueclientux.exe,6856020.0,1
Gaming,robloxplayerbeta.exe,4611679.0,2
Gaming,league of legends.exe,4019009.0,3
Gaming,pokerstars.exe,2744913.0,4
Gaming,nox.exe,2590986.0,5
Gaming,valorant-win64-shipping.exe,2123883.0,6
Gaming,runelite.exe,2094865.0,7
Gaming,wow.exe,1971215.0,8
Gaming,fortniteclient-win64-shipping.exe,1495665.0,9
Gaming,csgo.exe,1412470.0,10
Gaming auxiliary,steam.exe,14222333.0,1
Gaming auxiliary,bluestacks.exe,2115776.0,2
Gaming auxiliary,steamwebhelper.exe,2099400.0,3
Gaming auxiliary,battle.net.exe,1542030.0,4
Gaming auxiliary,epicgameslauncher.exe,1447405.0,5
Gaming auxiliary,origin.exe,947757.0,6
Gaming auxiliary,garena.exe,681968.0,7
Gaming auxiliary,memu.exe,681438.0,8
Gaming auxiliary,blitz.exe,402005.0,9
Gaming auxiliary,rustclient.exe,308860.0,10
Installers + Updaters,msiexec.exe,306436.0,1
