os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,21H2,No CS Phase,PDC Phase,high,9783,6388.151976548535,943566
Win11,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,moderate,83,936.8453599637681,552
Win11,21H2,Intel(R) PCI Express Root Port #14 - 43B5 (\_SB.PC00.RP14),Fx Device,high,5,1383.3841037656905,239
Win10,22H2,Universal Telemetry Client,Activator,low,2592,85.92266359873868,25370
Win10,22H2,WNS,Activator,moderate,2202,269.8343872921654,30493
Win11,22H2,Lock Screen,Activator,low,10546,11.776726688290776,99272
Win11,22H2,Windows Push Notifications,Activator,moderate,1643,387.55129703854584,6382
Win11,22H2,WU,Activator,moderate,7409,579.7317655912808,27525
Win10,21H2,WU,Activator,low,3221,105.25532614295241,19489
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,4219,68.22854193969293,717330
Win11,22H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,moderate,493,498.31596135613563,3333
Win11,22H2,Notifications forwarding and actions,Activator,high,1381,112.87844346085409,2248
Win11,22H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),Fx Device,high,153,3704.721862829847,6594
Win11,21H2,WNS,Activator,high,823,1756.5632397737322,5657
Win11,22H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,low,3221,54.75123581555253,303089
Win11,22H2,Killer Wireless-n/a/ac 1435 Wireless Network Adapter (\_SB.PCI0.RP03.PXSX),Fx Device,low,75,52.5132735162815,7616
Win10,21H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,moderate,178,197.6226370666667,1500
Win10,21H2,WP Location Client,Activator,high,135,1191.1488867197058,1634
Win10,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,low,1979,40.85797977942953,103731
Win10,21H1,Low Power Phase,PDC Phase,low,708,5.399555944987335,71329
Win10,21H1,Intel(R) PCI Express Root Port #12 - 9DB3 (\_SB.PCI0.RP12),Fx Device,low,2,13.686114285714288,7
Win10,21H1,WWAN Dormancy,Activator,low,7,41.07594444444444,45
Win10,20H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,244,43.088279776166466,25376
Win10,20H2,Image Download Manager,Activator,high,129,1189.6174925419518,3218
Win10,22H2,GP,Activator,moderate,574,261.2485241889038,5209
Win11,21H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,low,318,79.2334349743395,21044
Win10,22H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,moderate,770,235.31868636955684,28407
Win10,22H2,Intel(R) PEG60 - 9A09 (\_SB.PC00.PEG0),Fx Device,low,478,68.95961473118669,82641
Win10,21H2,Audio Service,Activator,moderate,56,166.56854755838643,471
Win11,22H2,Mobile Intel(R) Processor Family I/O PCI Express Root Port #4 - 9D13 (\_SB.PCI0.RP04),Fx Device,high,6,1712.351421212121,33
Win11,22H2,WP Location Client,Activator,high,737,2562.4144491345896,14444
Win11,22H2,WP OmaDmClient Client,Activator,low,482,318.83433595524946,11620
Win10,22H2,인텔® 스마트 사운드 기술 버스 (\_SB.PC00.HDAS),Fx Device,low,106,20.731058702565193,4717
Win11,22H2,Standard SATA AHCI Controller (\_SB.PC00.SAT0),Fx Device,high,132,1626.4714028758544,3512
Win11,21H2,Standard SATA AHCI Controller (\_SB.PC00.SAT0),Fx Device,moderate,35,585.6925381924198,343
Win11,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,high,314,5082.889074659866,3528
Win10,22H2,Intel(R) Imaging Signal Processor (\_SB.PCI0.IPU0),Fx Device,low,42,187.667343956044,182
Win10,20H1,No CS Phase,PDC Phase,high,113,8107.533209471626,12775
Win10,22H2,PCI Express Root Port (\_SB.PC00.TRP0),Fx Device,low,240,89.58746789137376,4382
Win10,22H2,Unknown Client,Activator,high,108,2872.0307089965404,289
Win10,21H2,Unregistered Device \_SB.PCI0.RP05.PXSX,Fx Device,high,13,3441.6885977508214,3957
Win10,22H2,Intel(R) TypeC PCIE - 9A27 (\_SB.PC00.TRP2),Fx Device,high,15,2094.5014322727275,440
Win10,22H2,Update Orchestrator Client,Activator,low,920,128.16457878202033,20690
Win10,21H2,Samsung NVMe Controller (\_SB.PCI0.RP09.PXSX),Fx Device,low,4,47.6777926916221,561
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,high,370,2478.947917623913,58710
Win11,22H2,Marvell AVASTAR Wireless-AC Network Controller (\_SB.PCI0.RP04.PXSX),Fx Device,high,42,4252.802824280732,2294
Win11,21H2,No CS Phase,PDC Phase,moderate,284,596.5710522273426,651
Win10,21H2,Intel(R) Wireless-AC 9462 (\_SB.PCI0.CNVW),Fx Device,low,172,25.39553292503925,19757
Win11,22H2,Intel(R) 智慧型音效技術音訊控制器 (\_SB.PCI0.HDAS),Fx Device,low,108,36.07759281290746,6136
Win10,21H2,Standard NVM Express Controller (\_SB.PCI0.RP05.PXSX),Fx Device,low,94,21.709736965464465,10453
Win10,20H2,Intel(R) ComputerMaskI Express Root Port #13 - 34B4 (\_SB.ComputerMaskI0.RP13),Fx Device,low,1,21.343264285714287,98
Win10,20H2,Connection Phase,PDC Phase,low,21,9.113166666666666,30
Win10,20H2,USB xHCI Compliant Host Controller (\_SB.ComputerNameMaskI0.XHC),Fx Device,moderate,1,79.02333750000001,8
Win10,22H2,USB xHCI Compliant Host Controller (\_SB.PCI0.TXHC),Fx Device,moderate,54,262.08702814465414,636
Win10,22H2,WP Sync Client,Activator,low,217,90.35188058161344,13858
Win10,22H2,Intel(R) PCI Express Root Port #6 - A0BD (\_SB.PC00.RP06),Fx Device,high,30,492.49514888138464,2369
Win10,21H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),Fx Device,low,695,37.761494139813074,74571
