proc_name,ac_duration,dc_duration,unknown_duration
DriverUpdUI.exe,7.22,7.41,124.47
ZapyaAdaptor.exe,1.19,1.26,743.16
A Dance of Fire and Ice.exe,19.78,2.2,89.15
MicrosoftEdge.exe,14.76,12.19,98.54
PfuSshMain.exe,3.54,2971.32,2.99
ddm.exe,1699.17,2.72,5.72
pixillion.exe,0.99,0.95,254.53
,201.76,2.51,15.39
farcry3.exe,34.85,3.15,109.36
Serato DJ Pro.exe,442.81,28.99,8.41
FIRSTRUN.EXE,31.28,1.68,93.27
mgsvtpp.exe,70.64,176.76,149.37
XperiaCompanion.exe,233.58,1.48,2.42
MySQLInstallerConsole.exe,5.36,6.35,677.05
CodecTweakTool.exe,1.82,0.09,109.04
YandexDisk2.exe,355.35,3.01,2.47
vmware-view.exe,223.19,10.37,10.72
pdfeditor.exe,1.54,3.12,204.64
tposd.exe,556.97,76.25,416.4
foobar2000.exe,38.29,45.09,94.16
