processor_class,os,number_of_systems,avg_bytes_received,avg_bytes_sent
Non-Server Class,Win8,30,4.749064188738606e+16,413443694095.78845
Server Class,Win8.1,5,5.616996635926983e+16,104691905813.15071
Server Class,Win11,5,3327960848332.419,564495405049.1107
Server Class,Win10,276,1.6505993167492419e+18,4.498192074067958e+16
Non-Server Class,Win7,444,2.496067332127743e+18,1.2338348847251725e+17
Server Class,Win Server,41,4.873299551853223e+17,1091230682466.5802
Non-Server Class,n/a,1,7211007283.145703,31207334586.711903
Non-Server Class,Win10,27409,1.3117998871661466e+19,2.431061988245584e+18
Non-Server Class,Win Server,76,9.659020148588682e+17,1.5217388238216899e+18
Server Class,Win7,3,234780221194.8195,15662336964.75428
Non-Server Class,Win8.1,505,3.4352268742316995e+18,5.240361289654685e+17
Non-Server Class,Win11,3326,1.2600196916903688e+19,8.269552455972028e+17
