country,number_of_systems,avg_number_of_dc_powerons,avg_duration
"Taiwan, Province of China",334,155.1377245508982,4422.756399424656
Viet Nam,222,148.3963963963964,5190.681782914552
Poland,307,136.86319218241042,3821.6420183775754
Romania,184,128.5326086956522,4342.169846327227
Sweden,122,128.40983606557376,4374.184252943049
Israel,103,128.33009708737865,3866.2786636515966
Italy,378,120.25396825396825,4338.898846625153
Indonesia,251,119.28286852589642,3938.639129293594
France,545,119.1394495412844,4313.953286892887
Hungary,108,117.80555555555556,2975.8845954143317
Australia,275,113.50909090909092,4361.461483782717
United States of America,2705,110.98447319778188,4510.567665440155
"Korea, Republic of",808,110.1769801980198,4588.28104641071
Czech Republic,137,110.13868613138686,3365.803998841
China,1204,109.22674418604652,4609.631249442305
Turkey,576,108.75868055555556,4177.653877608838
Malaysia,117,103.98290598290598,2710.9809922791214
Brazil,1076,102.90613382899629,4857.977001911985
Philippines,185,102.67567567567568,4504.387485213883
United Kingdom of Great Britain and Northern Ireland,642,102.48286604361371,4604.544924037364
Pakistan,116,101.91379310344827,5388.796902336345
India,907,101.23925027563396,4443.48376369197
Thailand,218,100.78899082568807,4097.274865533811
Netherlands,260,98.73846153846154,4481.8235440226235
Russian Federation,771,98.63035019455253,3895.9337883207036
Germany,884,98.48642533936652,4173.949829013838
Ukraine,238,96.46218487394958,3216.0799246776805
Mexico,346,94.58670520231213,4260.230419367996
Chile,165,93.66666666666667,5480.155636626835
Argentina,211,89.3696682464455,4995.90280203687
Colombia,184,88.83695652173913,4230.51851554472
Other,2457,88.0989010989011,3894.9051109187617
Canada,375,86.496,4044.447958741135
Portugal,134,77.19402985074628,4291.039033708263
Belgium,112,75.40178571428571,5087.833806437806
Peru,118,75.05932203389831,2539.705609039498
Spain,286,74.00699300699301,4431.449495215744
Egypt,121,69.68595041322314,3009.41629244555
Japan,635,68.25984251968504,4291.347652313796
Switzerland,107,53.03738317757009,3771.77454206547
