connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
DISPLAYPORT_EMBEDDED,1080x1916,227,20743841.48,25118784.88
DISPLAYPORT_EMBEDDED,1080x1919,218,22221900.41,5866337.12
DISPLAYPORT_EMBEDDED,1080x1917,215,51168582.34,15596513.05
DISPLAYPORT_EMBEDDED,1080x1918,199,29141795.59,24731311.56
DISPLAYPORT_EMBEDDED,1080x1915,196,44774375.93,36172804.52
DISPLAYPORT_EMBEDDED,1080x1914,191,24414923.35,17728069.81
DISPLAYPORT_EMBEDDED,1080x1920,109,62107490.01,37322730.01
DISPLAYPORT_EMBEDDED,1080x1913,59,22958306.45,3784347.07
DISPLAYPORT_EXTERNAL,1080x1917,6110,24985707.26,2627590.3
DISPLAYPORT_EXTERNAL,1080x1916,6040,25532784.97,2672273.97
DISPLAYPORT_EXTERNAL,1080x1914,6039,28490049.15,2406052.42
DISPLAYPORT_EXTERNAL,1080x1918,5972,25187654.23,2235092.99
DISPLAYPORT_EXTERNAL,1080x1915,5924,25766809.47,3706871.61
DISPLAYPORT_EXTERNAL,1080x1919,5912,24597661.6,2834066.88
DISPLAYPORT_EXTERNAL,1080x1920,3023,26978637.5,2159139.8
DISPLAYPORT_EXTERNAL,1080x1913,1404,27507035.27,2031225.47
DVI,1080x1914,1034,28118047.68,890751.02
DVI,1080x1916,994,28472602.53,3613339.25
DVI,1080x1915,992,29988447.29,13653.4
DVI,1080x1918,970,18260249.56,2358674.3
DVI,1080x1919,957,32202859.42,2049868.41
DVI,1080x1917,953,20721516.44,14788.33
DVI,1080x1920,478,13251235.39,18832.45
DVI,1080x1913,242,39736530.48,5355186.55
HD15,1080x1916,257,33884322.72,4701087.71
HD15,1080x1918,242,26557786.82,13259.04
HD15,1080x1919,240,37295537.56,4139975.55
HD15,1080x1915,223,25432870.26,11444.79
HD15,1080x1914,206,30240381.19,1862577.38
HD15,1080x1917,203,12627741.69,32030.88
HD15,1080x1920,137,28804567.49,4853013.36
HD15,1080x1913,52,59779708.89,32941.8
HDMI,1080x1914,11042,23321918.48,1043686.24
HDMI,1080x1918,11006,21834981.45,925850.72
HDMI,1080x1915,11000,20483764.38,1536386.63
HDMI,1080x1916,10861,19749661.91,1359814.89
HDMI,1080x1917,10855,19987011.47,1091861.77
HDMI,1080x1919,10747,20185574.69,1369879.32
HDMI,1080x1920,5655,26352460.18,735231.02
HDMI,1080x1913,2718,22844441.96,1675025.48
HDMI,1071x1917,57,174276837.19,7097288.83
HDMI,1076x1918,57,215965116.65,117650.74
HDMI,1074x1914,54,160646934.59,8638375.72
HDMI,1074x1918,54,155198603.01,6588394.31
HDMI,1079x1918,53,255166586.49,10675548.95
HDMI,1079x1917,51,192621133.73,20564824.85
INDIRECT_WIRED,1080x1917,808,16161337.54,11443393.23
INDIRECT_WIRED,1080x1918,714,16019148.7,10602069.67
INDIRECT_WIRED,1080x1915,713,19441949.89,9984171.74
INDIRECT_WIRED,1080x1916,705,31087036.41,15991649.0
INDIRECT_WIRED,1080x1914,698,27413493.3,16572178.14
INDIRECT_WIRED,1080x1919,670,30491944.52,13276175.97
INDIRECT_WIRED,1080x1920,380,31057108.28,13461497.31
INDIRECT_WIRED,1080x1913,171,37891123.63,7179464.05
INTERNAL,1080x1919,6751,48537574.43,73785246.23
INTERNAL,1080x1917,6669,41555092.04,73618759.32
INTERNAL,1080x1914,6657,43473874.39,72450419.78
INTERNAL,1080x1916,6631,46599299.65,73661263.74
INTERNAL,1080x1915,6610,39122719.13,72936120.85
INTERNAL,1080x1918,6486,46451529.12,79298890.94
INTERNAL,1080x1920,3341,46875653.16,65627436.83
INTERNAL,1080x1913,1527,52374771.4,65595097.82
INTERNAL,1077x1914,78,197413995.62,271849061.31
INTERNAL,1078x1914,73,241784169.6,207600704.92
INTERNAL,1072x1918,71,148324749.3,162899443.85
INTERNAL,1071x1917,69,264530923.03,223466563.24
INTERNAL,1078x1915,69,103883302.96,141578375.75
