vendor_name,number_of_systems,total_number_of_systems,percentage_of_systems
MSI,3455,196784,1.76
Asus,9140,196784,4.64
Acer,6408,196784,3.26
LG,33244,196784,16.89
VIZIO,29,196784,0.01
BenQ,10927,196784,5.55
Samsung,21844,196784,11.1
Hisense,1203,196784,0.61
HP,23057,196784,11.72
Dell,36983,196784,18.79
MI ,2689,196784,1.37
Philips,3158,196784,1.6
Lenovo,41,196784,0.02
Oneplus,40,196784,0.02
Other,180906,196784,91.93
Sansui,24,196784,0.01
Sony,7572,196784,3.85
AOC,200,196784,0.1
Viewsonic,371,196784,0.19
Redmi,290,196784,0.15
TCL,415,196784,0.21
