os_name,os_codename,num_entries,number_of_systems,entries_per_system
Win10,21H1,66154,4405,15.017934165720773
Win10,21H2,66432,4432,14.989169675090253
Win10,20H1,44186,3092,14.290426908150065
Win11,22H2,47267,3241,14.584078987966677
Win10,TH2,541,45,12.022222222222222
Win10,RS3,2657,199,13.35175879396985
Win10,RS4,16139,1185,13.619409282700422
Win10,19H1,29284,2094,13.984718242597898
Win10,TH1,371,27,13.74074074074074
Win10,RS5,20856,1508,13.830238726790451
Win10,RS2,772,59,13.084745762711865
Win10,22H2,45077,3106,14.512878300064392
Win11,21H2,57435,3884,14.787590113285273
Win10,20H2,87916,5636,15.599006387508872
Win10,19H2,52783,3601,14.65787281310747
Win10,RS1,1126,85,13.24705882352941
