marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Haswell,Pentium/Celeron-4th Gen,211,1311089.99,613139.77,301940.66,1555087.29,3781257.71,34.67,16.22,7.99,41.13
Ice Lake,10th Gen i5,326,1266589.01,816931.92,256539.43,1358535.38,3698595.74,34.25,22.09,6.94,36.73
Tiger Lake,11th Gen i3,127,1559253.09,570137.45,229841.87,1287723.09,3646955.5,42.75,15.63,6.3,35.31
Broadwell,5th Gen i5,607,1287673.29,787943.05,346134.74,1284038.56,3705789.63,34.75,21.26,9.34,34.65
Skylake,6th Gen i3,749,1307835.37,677002.06,376685.51,1369756.99,3731279.93,35.05,18.14,10.1,36.71
Sandy Bridge,2nd Gen i7,456,1257823.88,769268.54,314101.03,1438987.36,3780180.82,33.27,20.35,8.31,38.07
Apollo Lake,Pentium/Celeron-Apollo Lake,337,1272920.87,629299.8,301270.03,1317860.12,3521350.82,36.15,17.87,8.56,37.42
Coffee Lake,9th Gen i9,192,1475447.9,539876.81,207908.38,1282872.52,3506105.6,42.08,15.4,5.93,36.59
Wolfdale,Pentium/Celeron-Wolfdale,197,1550468.69,843812.94,269965.62,1220174.97,3884422.22,39.92,21.72,6.95,31.41
Gemini Lake,Pentium/Celeron-Gemini Lake,331,1367024.4,943151.79,312872.98,1491977.09,4115026.26,33.22,22.92,7.6,36.26
Whiskey Lake,8th Gen i5,577,1415683.78,726027.22,295814.84,1396868.15,3834393.99,36.92,18.93,7.71,36.43
Coffee Lake,9th Gen i5,656,1320382.32,661265.12,328185.55,1363954.39,3673787.38,35.94,18.0,8.93,37.13
Coffee Lake,8th Gen i5,976,1281565.5,681540.26,303608.68,1465192.96,3731907.4,34.34,18.26,8.14,39.26
Braswell,Pentium/Celeron-Braswell,470,1261111.38,566105.93,296967.59,1623556.23,3747741.13,33.65,15.11,7.92,43.32
Bay Trail,Pentium/Celeron-Bay Trail,544,1268896.06,735403.08,248081.06,1438737.91,3691118.11,34.38,19.92,6.72,38.98
Coffee Lake,9th Gen i7,707,1359955.25,761088.71,320760.49,1465583.77,3907388.23,34.8,19.48,8.21,37.51
Ice Lake,10th Gen i7,176,1411555.52,706691.61,453031.31,1489503.68,4060782.12,34.76,17.4,11.16,36.68
Sandy Bridge,2nd Gen i3,755,1458986.09,643524.77,358449.02,1446708.6,3907668.48,37.34,16.47,9.17,37.02
Skylake,6th Gen i7,1267,1370716.53,760244.61,312202.19,1479043.12,3922206.45,34.95,19.38,7.96,37.71
