persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Office/Productivity,4080,291007.0,0.946,0.917,1.266,1.635,1.88,2.985,8.049,2.001,2.713,0.912,2.444,1.644,10.298,10.937,26.609,1.267,1.722,1.887,1.53,3.093,1.916,0.857,1.261,1.989,1.81,2.798,2.157,2.477
Casual Gamer,4582,332880.0,0.762,1.914,1.357,2.063,1.914,2.672,7.531,1.569,2.078,1.054,2.61,1.064,10.573,11.3,26.73,1.535,1.358,1.923,1.83,2.947,1.917,1.319,1.095,2.033,1.735,3.231,2.1,1.787
Entertainment,1879,128156.0,0.423,1.395,1.166,1.727,2.715,2.887,6.793,2.002,2.296,0.928,2.628,1.47,11.926,11.219,27.322,1.428,1.219,1.88,1.806,1.919,1.309,1.221,1.455,1.979,2.218,3.529,1.814,1.327
Gamer,6071,425486.0,1.265,1.585,1.15,2.189,1.702,2.386,7.392,1.648,2.023,0.74,2.023,1.74,13.028,10.424,27.307,1.197,1.494,1.255,1.331,2.514,1.645,1.222,1.246,2.006,2.059,3.053,2.262,2.113
Unknown,14191,994211.0,0.989,1.186,1.095,1.967,2.138,2.764,7.909,2.031,2.147,0.927,1.996,1.717,11.748,10.5,26.534,1.644,1.568,1.844,1.463,2.811,1.743,1.106,1.458,1.942,1.851,3.029,1.972,1.922
Communication,3344,230952.0,0.892,2.122,1.271,2.091,2.628,2.917,8.156,2.209,1.622,1.33,2.157,1.686,12.558,10.087,26.445,1.63,1.045,1.896,1.242,2.042,1.716,0.677,1.231,1.962,1.57,2.873,2.195,1.753
Web User,16253,1162673.0,1.166,1.45,1.258,1.981,1.764,2.713,7.741,1.891,2.166,1.019,2.172,1.53,11.356,9.751,27.678,1.469,1.242,1.865,1.448,2.574,2.11,0.848,1.241,1.997,2.042,3.345,2.144,2.039
Casual User,7738,541149.0,1.136,1.431,1.028,1.86,1.937,2.755,9.197,1.8,1.954,0.863,2.119,1.737,12.056,10.623,25.422,1.472,1.194,1.597,1.918,2.74,1.728,0.95,1.147,1.992,1.854,3.061,2.51,1.919
Win Store App User,1868,136369.0,0.974,1.425,1.439,1.82,2.378,2.472,7.759,1.813,2.815,0.797,2.01,1.894,10.824,10.633,26.897,0.663,1.254,2.266,2.212,3.085,1.568,1.386,0.957,1.983,1.752,2.357,2.238,2.328
Content Creator/IT,3072,213774.0,1.134,1.274,1.424,2.311,3.388,2.698,7.03,1.661,1.497,0.888,2.466,1.491,11.711,10.339,27.779,1.088,1.362,1.46,1.622,2.905,1.924,0.695,1.27,1.72,2.051,3.347,2.035,1.429
File & Network Sharer,1198,84793.0,1.26,1.265,1.64,2.225,1.287,2.803,7.826,1.824,1.917,2.121,2.087,1.758,11.432,11.207,26.232,1.678,1.027,1.661,1.811,2.272,1.805,0.747,1.269,1.974,1.682,3.851,2.14,1.198
