countryname_normalized,number_of_systems,avg_pkg_power_consumed
Denmark,4,39868.80062081465
Israel,3,28494.557945703604
Czech Republic,6,28066.400923816786
France,18,13992.245192800694
Peru,5,8005.122347561656
China,37,4707.908814551559
Other,94,3048.419917898508
Germany,34,2786.6272285998934
Brazil,65,104.92062634479895
United Kingdom of Great Britain and Northern Ireland,20,84.44976989332682
Japan,25,78.64298965557313
Canada,13,76.94668550755054
Austria,4,74.52318482902177
United States of America,111,72.54890988286401
"Korea, Republic of",35,59.3953382315077
Australia,6,52.887844999600276
Mexico,14,28.331136146233757
Russian Federation,38,18.30961183710708
Hungary,4,17.319489006155532
Turkey,22,17.086283555818255
United Arab Emirates,2,15.731521267735472
Bangladesh,6,11.545718678944963
Singapore,1,10.251485059434875
India,31,8.710275809278262
Philippines,9,7.480716332464396
Italy,25,6.977672454622804
Malaysia,4,6.5159271142466535
Ukraine,4,5.418163814186282
Thailand,5,5.0875030705639706
Netherlands,12,4.898225969988828
Greece,5,4.61572832057384
Saudi Arabia,4,4.459819455547051
Hong Kong,5,3.553201652975441
Indonesia,8,3.0868976290630132
Viet Nam,10,2.9039360772503935
Poland,16,2.738135829256371
Egypt,5,2.7083755277897663
Sweden,12,2.6804181189522165
Norway,6,2.5520831893475258
Portugal,7,2.4970069679742433
Belgium,5,2.2391704707380526
Ecuador,5,2.189638334580567
Romania,9,2.1009311460700286
Pakistan,4,1.9059789313385822
South Africa,3,1.5567244783384209
Chile,5,1.408195649447415
Spain,6,1.2788643182509212
Argentina,4,1.2711176358574745
Colombia,5,1.258212940566885
Switzerland,7,1.2088556261612113
"Taiwan, Province of China",12,1.1915650068084023
