guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
synth_0000019,657956.7411632538,0.0,155045646687.54163,Notebook,MSI,MSI,12,Win10,4
synth_0000233,34278.746858808096,0.0,8746152509.213665,Notebook,Lenovo,Lenovo,16,Win10,4
synth_0000333,456358.71671632066,0.0,20106213652.677696,Other,Other,Other,8,Win10,4
synth_0000346,14842.632128816018,0.0,271399797.08755934,Intel NUC/STK,Intel,Intel,8,Win10,4
synth_0000383,42895.17571515945,0.0,37973734.968201295,Notebook,MONSTER,MONSTER,8,Win10,4
synth_0000512,672472.6716727035,0.0,15519160289.248356,Notebook,Dell,Dell,16,Win10,4
synth_0000556,3391750.311468038,6037465393.811054,327771645635.83075,Notebook,Asus,Asus,8,Win10,4
synth_0000796,5279387.407535071,0.0,825368071043.6663,Notebook,HP,HP,8,Win10,4
synth_0000815,2666273.0035378193,14738109920.338451,161661635748.59552,Desktop,Gigabyte,Gigabyte,32,Win10,4
synth_0001211,2776159.701251587,0.0,35355180600.08584,Notebook,Asus,Asus,16,Win10,4
synth_0001278,208598.91172243157,0.0,15576367466.850634,Desktop,Unknown,Unknown,6,Win10,4
synth_0001347,4802595.11453074,0.0,277776062769.0979,Notebook,HP,HP,8,Win11,4
synth_0001507,308713.4790619746,0.0,2307727563.602134,Notebook,Packard Bell,Packard Bell,8,Win10,4
synth_0001653,1096643.6932339054,0.0,548487229.7616366,Desktop,Asus,Asus,4,Win10,4
synth_0001849,852481.4506491732,0.0,18456571976.782127,Desktop,Asus,Asus,8,Win11,4
synth_0001867,74447.29798869762,0.0,1665512471.5090344,Notebook,HP,HP,4,Win10,4
synth_0002046,3109039.723591588,0.0,245845128312.69656,Notebook,Asus,Asus,4,Win10,4
synth_0002107,1856913.050224875,0.0,38222195385.28389,Notebook,Lenovo,Lenovo,32,Win10,4
synth_0002344,2959458.3436018433,32398136827.632225,89633483137.62846,Desktop,Unknown,Unknown,16,Win11,4
synth_0002559,1391825.4033228573,0.0,35600327690.00641,Notebook,Samsung,Samsung,8,Win10,4
synth_0002598,1653143.6117598903,20998925765.905437,719774112259.2799,Desktop,MSI,MSI,16,Win10,4
