os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,20H2,Maintenance Phase,PDC Phase,low,3604,11238.42540531992,6701
Win11,21H2,BI,Activator,high,1209,9254252.59576959,1642
Win10,21H1,BI,Activator,high,1335,9438341.858783629,1831
Win11,22H2,WNS,Activator,moderate,395,2959.296023395048,474
Win10,RS4,Maintenance Phase,PDC Phase,high,252,6916120.338917509,289
Win10,20H2,BI,Activator,low,1791,72883.85191409198,2490
Win10,21H1,NCSI,Activator,low,1124,1669.7672411980168,1486
Win10,19H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,615,4322.804818496619,751
Win10,19H2,Connection Phase,PDC Phase,low,2235,42.98485336710854,3775
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,758,3734.5826515303347,948
Win10,21H2,DHCP,Activator,low,1119,2140.7701299853493,1477
Win10,20H2,Update Orchestrator Client,Activator,low,1266,6757.3876026453745,1689
Win10,20H1,WU,Activator,low,966,5856.476687137081,1246
Win10,22H2,DHCP,Activator,high,344,1743755.8056568054,393
Win10,RS4,Intel(R) UHD Graphics 620 (\_SB.PCI0.GFX0),Fx Device,high,18,7656.525516384945,20
Win10,20H1,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),Fx Device,low,24,3280.2818891335564,25
Win10,19H2,NCSI,Activator,low,974,2378.007443085123,1288
Win10,RS2,No CS Phase,PDC Phase,low,28,14753.474300524238,33
Win10,RS4,Connection Phase,PDC Phase,low,748,1.9719497203656302,1213
Win10,20H1,Intel RST VMD Controller 9A0B (\_SB.PC00.VMD0),Fx Device,low,40,3587.1513345126104,46
Win10,20H2,CPU C0 Time.Non-attributed Time,Processor,moderate,492,1942.921635091821,605
Win10,RS5,WNS,Activator,low,431,3245.4996549573525,513
Win10,21H1,CPU C0 Time.Non-attributed Time,Processor,moderate,381,2492.6669105890774,449
Win11,22H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,moderate,37,3065.711368630802,39
Win10,RS2,WNS,Activator,high,7,30105.564453766623,8
Win10,20H2,Intel(R) PEG60 - 9A09 (\_SB.PC00.PEG0),Fx Device,low,145,5938.042962496783,165
Win10,19H2,Audio Service,Activator,high,106,2313439.980402121,114
Win10,21H1,Update Orchestrator Client,Activator,high,798,1261718.1602765503,971
Win11,21H2,Windows Push Notifications,Activator,moderate,233,866.0055801006285,270
Win10,19H1,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,346,4181.489440711901,395
Win11,21H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,low,267,4318.084333121462,310
Win10,20H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,moderate,446,105831.89949922723,557
Win10,19H2,Maintenance Phase,PDC Phase,moderate,264,241130.92270893246,303
Win10,21H1,No CS Phase,PDC Phase,moderate,522,1944024.5427266152,619
Win10,21H2,Contrôleur audio de la technologie Intel(R) Smart Sound (\_SB.PCI0.HDAS),Fx Device,high,26,12107288.87958869,31
Win11,22H2,CPU C0 Time.Non-attributed Time,Processor,moderate,285,2568.9768091226383,321
Win10,21H2,Intel(R) Ethernet Connection (10) I219-V (\_SB.PCI0.GLAN),Fx Device,moderate,40,5640.023583356016,43
Win11,21H2,Thunderbolt(TM) Controller - 8A17 (\_SB.PCI0.TDM0),Fx Device,low,52,9846.627717564443,55
Win11,22H2,Intel(R) Management Engine Interface #1 (\_SB.PCI0.HECI),Fx Device,moderate,8,1875.581354274482,9
Win10,21H1,Connection Phase,Fx Device,low,4,1.2313870553094377,4
Win10,21H1,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Fx Device,high,61,5476622.875096847,64
Win10,21H2,WNS,Activator,high,649,1309166.7469096188,789
Win10,21H1,Intel(R) PCI Express Root Port #13 - 02B4 (\_SB.PCI0.RP13),Fx Device,moderate,10,2237.8743093690455,14
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,low,262,5017.641449819934,297
Win10,20H1,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,moderate,130,6733.723318298394,144
Win10,RS2,BI,Activator,moderate,12,7723.144804959967,12
Win10,RS4,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,moderate,44,2546.3613235844564,48
Win10,20H1,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,high,71,1526655.1968405445,78
