processor_class,os,number_of_systems,avg_bytes_received,avg_bytes_sent
Non-Server Class,Win11,7756,1190367786571.367,208897013317.8815
Non-Server Class,Win8.1,5057,1176400197479.0103,189231317937.75348
Non-Server Class,Win7,4369,1251620028130.9492,222230045306.48407
Server Class,Win Server,52,985165064228.0139,191207015758.08505
Non-Server Class,Win10,14052,1180861058209.5476,211636853644.64316
Server Class,Win11,85,457883269412.204,126004569583.778
Server Class,Win8.1,76,782998291468.0776,205943520185.18613
Server Class,Win8,23,1770826703651.5613,146758216113.50345
Server Class,n/a,14,643472573650.437,71051310323.92029
Server Class,Win10,148,1503153122795.6987,119979517996.82053
Non-Server Class,n/a,1589,1259361391132.3257,267022931192.97293
Non-Server Class,Win8,1885,1208227825217.8557,251566529745.68533
Non-Server Class,Win Server,2086,1068445725247.7246,212273338222.51886
Server Class,Win7,32,587766753126.5522,223244098570.24054
