marketcodename,cpugen,number_of_systems,avg_duration_mins_on_battery
Ivy Bridge,3rd Gen i5,258,118.38274698500553
Kaby Lake R,8th Gen i5,166,110.13646066052767
Sandy Bridge,2nd Gen i5,196,113.4673567124577
Tiger Lake,11th Gen i5,113,79.93790956716828
Comet Lake,10th Gen i7,158,95.78222863043887
Coffee Lake,9th Gen i5,158,98.77703605345076
Skylake,6th Gen i3,149,114.99477076251975
Skylake,6th Gen i7,261,119.95333639385085
Sandy Bridge,2nd Gen i3,133,97.74989306810154
Coffee Lake,8th Gen i5,176,104.29438014712191
Coffee Lake,8th Gen i7,233,102.64814419317067
Kaby Lake,7th Gen i7,251,103.91540952200832
Kaby Lake,7th Gen i5,275,101.5879853036665
Kaby Lake,7th Gen i3,132,105.81650450350894
Haswell,4th Gen i5,287,98.26884098788508
Haswell,4th Gen i7,225,115.31502648754243
Skylake,6th Gen i5,226,105.03115720221778
Kaby Lake R,8th Gen i7,135,99.29989725057696
Comet Lake,10th Gen i5,150,104.66202068895576
Haswell,4th Gen i3,151,114.05633334951702
Coffee Lake,9th Gen i7,141,100.99299697174195
