country,number_of_systems,avg_number_of_dc_powerons,avg_duration
Denmark,116,2.2241379310344827,106.70181630118421
Peru,183,2.2240437158469946,101.06572221747838
Philippines,292,2.2226027397260273,108.9190909312945
Pakistan,133,2.2030075187969924,101.53665693150066
Austria,106,2.1792452830188678,97.58897972149275
Saudi Arabia,111,2.171171171171171,87.64470777584133
Netherlands,341,2.158357771260997,96.360890350318
Norway,131,2.1526717557251906,108.52986688273491
Turkey,595,2.146218487394958,106.66039604552911
Canada,516,2.137596899224806,110.60931305641179
Switzerland,151,2.1324503311258276,116.92181770917024
Colombia,252,2.126984126984127,105.6828952210384
Mexico,359,2.1197771587743732,98.07956738361607
Thailand,251,2.1195219123505975,93.89067727376063
France,617,2.118314424635332,97.12471742782056
Spain,384,2.1171875,113.38936505249153
Italy,433,2.115473441108545,104.41824930844001
Ukraine,252,2.115079365079365,117.52558258686446
Japan,654,2.114678899082569,106.64776233170537
"Taiwan, Province of China",460,2.1130434782608694,121.7658511234244
United Kingdom of Great Britain and Northern Ireland,772,2.110103626943005,111.7987565847058
Germany,916,2.109170305676856,105.03126251044559
"Korea, Republic of",815,2.107975460122699,108.46507435655643
United States of America,1430,2.106293706293706,107.02738226871014
Bangladesh,154,2.103896103896104,108.94772596926622
China,934,2.1038543897216275,108.94212146111593
Russian Federation,797,2.1028858218318693,106.64578283759764
South Africa,141,2.099290780141844,109.43374201587868
Egypt,122,2.098360655737705,119.60445754238802
Australia,363,2.090909090909091,99.63980703784952
Brazil,1023,2.088954056695992,103.10712393270369
Other,1479,2.0885733603786343,107.57564054761852
Viet Nam,292,2.085616438356164,106.61956436852725
Argentina,234,2.0854700854700856,98.00372802787369
Hungary,200,2.085,111.77886582010173
Belgium,154,2.0844155844155843,111.58351795475613
Poland,475,2.0842105263157893,105.95376089608433
Chile,207,2.082125603864734,107.7049891726852
Sweden,173,2.0809248554913293,99.94363178588611
Indonesia,367,2.0708446866485013,97.6716524009904
India,968,2.0671487603305785,102.5778762568131
Czech Republic,272,2.0661764705882355,103.96032890333841
Portugal,185,2.0432432432432432,99.15983989971042
Malaysia,164,2.0365853658536586,98.579429414363
Ecuador,109,1.9908256880733946,128.91797186570145
Romania,204,1.9901960784313726,100.32752829587324
Israel,141,1.9787234042553192,117.02416133511603
