vendor_name,number_of_systems,total_number_of_systems,percentage_of_systems
HP,6953,209239,3.32
Dell,12828,209239,6.13
MI ,875,209239,0.42
Other,156073,209239,74.59
Samsung,7116,209239,3.4
Hisense,358,209239,0.17
Sony,2314,209239,1.11
Viewsonic,103,209239,0.05
AOC,63,209239,0.03
Redmi,59,209239,0.03
Asus,2841,209239,1.36
BenQ,3226,209239,1.54
Sansui,1,209239,0.0
Oneplus,9,209239,0.0
Philips,892,209239,0.43
Lenovo,13,209239,0.01
MSI,1320,209239,0.63
TCL,136,209239,0.06
Acer,1892,209239,0.9
LG,12165,209239,5.81
VIZIO,2,209239,0.0
