os_name,os_codename,num_entries,number_of_systems,entries_per_system
Win10,RS4,53047,304,174.49671052631578
Win10,20H2,301609,1734,173.9382929642445
Win10,21H2,232083,1311,177.02745995423342
Win10,21H1,230007,1330,172.9375939849624
Win10,19H2,186259,1055,176.5488151658768
Win10,RS1,4979,28,177.82142857142858
Win10,19H1,108889,618,176.1957928802589
Win10,RS3,10682,60,178.03333333333333
Win10,20H1,152154,857,177.54259043173863
Win11,22H2,162943,927,175.77454153182308
Win10,RS5,67468,392,172.1122448979592
Win10,22H2,160889,910,176.8010989010989
Win11,21H2,196616,1148,171.26829268292684
