country,browser
Argentina,chrome
Australia,chrome
Austria,chrome
Bangladesh,chrome
Belgium,chrome
Brazil,chrome
Canada,chrome
Chile,chrome
China,chrome
Colombia,chrome
Czech Republic,chrome
Denmark,chrome
Ecuador,chrome
Egypt,chrome
France,chrome
Germany,chrome
Greece,chrome
Hong Kong,chrome
Hungary,chrome
India,chrome
Indonesia,chrome
Israel,chrome
Italy,chrome
Japan,chrome
"Korea, Republic of",chrome
Malaysia,chrome
Mexico,chrome
Netherlands,chrome
Norway,chrome
OTHER,chrome
Other,chrome
Pakistan,chrome
Peru,chrome
Philippines,chrome
Poland,chrome
Portugal,chrome
Romania,chrome
Russian Federation,chrome
Saudi Arabia,chrome
Singapore,chrome
South Africa,chrome
Spain,chrome
Sweden,chrome
Switzerland,chrome
"Taiwan, Province of China",chrome
Thailand,chrome
Turkey,chrome
Ukraine,chrome
United Kingdom of Great Britain and Northern Ireland,chrome
United States of America,chrome
Viet Nam,chrome
