marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Whiskey Lake,8th Gen i7,125,26793.3,15034.54,8443.23,33766.71,84037.79,31.88,17.89,10.05,40.18
Haswell,4th Gen i5,522,28118.71,15625.08,5986.22,31054.67,80784.68,34.81,19.34,7.41,38.44
Kaby Lake,7th Gen i3,208,24096.43,13999.04,5280.4,32471.09,75846.96,31.77,18.46,6.96,42.81
Broadwell,8th Gen i5,104,26060.18,10996.97,3324.09,30233.8,70615.05,36.9,15.57,4.71,42.81
Ivy Bridge,3rd Gen i3,194,29829.09,13622.56,5532.46,31887.55,80871.66,36.88,16.84,6.84,39.43
Coffee Lake,8th Gen i3,136,26992.71,12977.24,5819.76,33945.48,79735.2,33.85,16.28,7.3,42.57
Haswell,4th Gen i3,277,28184.11,13927.87,5894.42,30929.73,78936.13,35.7,17.64,7.47,39.18
Unknown,Unknown,751,27299.39,13802.74,5748.24,32264.14,79114.51,34.51,17.45,7.27,40.78
Coffee Lake,8th Gen i7,405,27293.37,12779.35,5848.74,30749.73,76671.2,35.6,16.67,7.63,40.11
Kaby Lake R,2nd Gen i5,101,27793.34,10911.15,6712.9,34912.29,80329.68,34.6,13.58,8.36,43.46
Kaby Lake,7th Gen i7,510,29600.89,13968.37,6121.42,31639.7,81330.37,36.4,17.17,7.53,38.9
Haswell,3rd Gen i5,108,28376.34,14799.84,4253.04,29669.35,77098.57,36.81,19.2,5.52,38.48
Kaby Lake,7th Gen i5,544,28204.91,13436.74,4860.02,32652.27,79153.94,35.63,16.98,6.14,41.25
Sandy Bridge,Pentium/Celeron-2nd Gen,121,27734.1,13732.95,5884.8,31148.01,78499.86,35.33,17.49,7.5,39.68
Braswell,Pentium/Celeron-Braswell,141,27281.27,15268.2,5412.85,33638.48,81600.79,33.43,18.71,6.63,41.22
Coffee Lake,8th Gen i5,348,27474.05,11322.99,5605.98,32968.95,77371.98,35.51,14.63,7.25,42.61
Coffee Lake,6th Gen i5,111,27338.34,11438.44,5504.9,31904.93,76186.61,35.88,15.01,7.23,41.88
Coffee Lake,9th Gen i7,255,27679.8,13684.95,4829.24,33278.09,79472.08,34.83,17.22,6.08,41.87
Bay Trail,Pentium/Celeron-Bay Trail,166,25778.91,15560.43,6106.91,31961.85,79408.1,32.46,19.6,7.69,40.25
Skylake,Other,107,27665.49,13851.18,4860.87,33471.08,79848.63,34.65,17.35,6.09,41.92
Haswell,6th Gen i7,101,33718.13,8719.41,6588.41,30603.48,79629.42,42.34,10.95,8.27,38.43
Ice Lake,10th Gen i7,121,28803.42,11556.3,5929.35,28237.31,74526.38,38.65,15.51,7.96,37.89
Haswell,4th Gen i7,407,26944.02,12293.82,6373.18,31438.28,77049.3,34.97,15.96,8.27,40.8
Sandy Bridge,2nd Gen i7,125,30260.11,16234.26,5861.13,30653.65,83009.14,36.45,19.56,7.06,36.93
Skylake,4th Gen i5,112,27008.1,12282.75,4394.81,24176.23,67861.88,39.8,18.1,6.48,35.63
Coffee Lake,9th Gen i5,309,29640.47,13292.76,5658.16,30783.51,79374.9,37.34,16.75,7.13,38.78
Apollo Lake,Pentium/Celeron-Apollo Lake,108,26435.92,14291.73,4503.34,33219.29,78450.28,33.7,18.22,5.74,42.34
Whiskey Lake,8th Gen i5,161,29724.61,15407.18,5031.07,27930.87,78093.73,38.06,19.73,6.44,35.77
Skylake,6th Gen i7,460,25649.36,14324.02,6457.28,31710.53,78141.19,32.82,18.33,8.26,40.58
Sandy Bridge,2nd Gen i3,287,28208.04,13120.84,4661.08,30139.78,76129.73,37.05,17.23,6.12,39.59
Ivy Bridge,Pentium/Celeron-3rd Gen,143,27330.5,13459.91,6163.73,33750.96,80705.11,33.86,16.68,7.64,41.82
Kaby Lake R,8th Gen i5,287,26912.66,12329.05,5870.02,31618.78,76730.51,35.07,16.07,7.65,41.21
Ivy Bridge,3rd Gen i5,476,28092.15,14130.91,5332.67,30550.11,78105.84,35.97,18.09,6.83,39.11
Kaby Lake,8th Gen i5,133,27134.64,14236.93,4257.12,31053.14,76681.82,35.39,18.57,5.55,40.5
Sandy Bridge,2nd Gen i5,364,28192.1,11578.35,4769.66,33790.11,78330.22,35.99,14.78,6.09,43.14
Ivy Bridge,3rd Gen i7,181,26405.16,14339.32,4721.75,33006.83,78473.06,33.65,18.27,6.02,42.06
Ice Lake,10th Gen i5,204,28185.74,12732.54,6271.86,31407.08,78597.21,35.86,16.2,7.98,39.96
Kaby Lake R,8th Gen i7,235,26903.98,12658.56,3970.04,28827.43,72360.01,37.18,17.49,5.49,39.84
Comet Lake,10th Gen i5,291,28640.66,11614.82,5232.19,30610.18,76097.85,37.64,15.26,6.88,40.22
Skylake,6th Gen i5,442,28948.5,12271.86,4696.05,29848.16,75764.57,38.21,16.2,6.2,39.4
Skylake,6th Gen i3,253,27555.21,14499.01,4920.02,30949.33,77923.57,35.36,18.61,6.31,39.72
Coffee Lake,Other,117,28859.53,14530.92,4478.81,33641.4,81510.66,35.41,17.83,5.49,41.27
Broadwell,5th Gen i5,172,27259.59,13523.83,5732.96,27891.27,74407.64,36.64,18.18,7.7,37.48
Comet Lake,10th Gen i7,301,24762.63,13922.5,5026.23,29970.98,73682.33,33.61,18.9,6.82,40.68
Tiger Lake,11th Gen i5,215,29102.48,14118.32,4809.55,31164.84,79195.18,36.75,17.83,6.07,39.35
Tiger Lake,11th Gen i7,209,27115.17,12999.45,6821.47,31679.34,78615.43,34.49,16.54,8.68,40.3
