persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Office/Productivity,5012,5012.0,0.037,0.004,0.205,1.633,0.057,2.343,21.991,0.573,1.266,0.01,3.605,1.382,27.081,22.017,0.0,0.924,0.11,0.177,0.007,0.497,0.511,0.298,0.958,5.512,2.853,3.74,1.392,0.816
Unknown,9631,9631.0,0.037,0.004,0.204,1.62,0.06,2.39,22.164,0.563,1.238,0.01,3.621,1.43,26.587,22.331,0.0,0.926,0.107,0.183,0.007,0.498,0.535,0.306,0.979,5.231,2.862,3.873,1.415,0.817
Gamer,6735,6735.0,0.038,0.004,0.218,1.683,0.062,2.285,21.833,0.554,1.201,0.01,3.662,1.365,26.881,22.521,0.0,0.896,0.108,0.182,0.007,0.515,0.524,0.299,0.995,5.27,2.845,3.884,1.363,0.794
Communication,4233,4233.0,0.038,0.004,0.214,1.648,0.063,2.312,21.95,0.576,1.222,0.01,3.419,1.386,26.656,22.942,0.0,0.927,0.113,0.179,0.007,0.503,0.536,0.299,1.033,5.156,2.87,3.712,1.403,0.822
Casual Gamer,6171,6171.0,0.037,0.004,0.201,1.594,0.061,2.349,22.143,0.58,1.243,0.01,3.548,1.452,26.479,22.439,0.0,0.914,0.106,0.178,0.007,0.5,0.533,0.312,0.976,5.302,2.947,3.837,1.437,0.813
Content Creator/IT,5669,5669.0,0.037,0.004,0.214,1.664,0.059,2.318,21.671,0.563,1.249,0.01,3.569,1.424,26.69,22.46,0.0,0.949,0.106,0.183,0.007,0.514,0.55,0.305,0.976,5.365,2.872,4.014,1.392,0.835
File & Network Sharer,2570,2570.0,0.035,0.004,0.201,1.567,0.059,2.185,22.142,0.575,1.226,0.01,3.543,1.372,27.49,22.122,0.0,0.919,0.107,0.194,0.006,0.496,0.541,0.293,0.992,5.259,2.821,3.66,1.366,0.814
Web User,9978,9978.0,0.037,0.004,0.204,1.596,0.06,2.385,22.183,0.565,1.217,0.01,3.679,1.394,26.389,22.505,0.0,0.925,0.109,0.178,0.007,0.515,0.539,0.298,0.985,5.326,2.832,3.806,1.434,0.817
Win Store App User,3268,3268.0,0.037,0.004,0.224,1.697,0.057,2.273,22.349,0.567,1.224,0.01,3.611,1.415,26.317,22.075,0.0,0.942,0.11,0.18,0.007,0.503,0.507,0.316,1.053,5.337,3.0,3.893,1.477,0.814
Casual User,7468,7468.0,0.037,0.004,0.218,1.662,0.058,2.392,21.839,0.588,1.241,0.01,3.634,1.471,26.603,22.381,0.0,0.939,0.11,0.187,0.007,0.523,0.544,0.302,0.993,5.364,2.821,3.859,1.422,0.794
Entertainment,3541,3541.0,0.036,0.004,0.214,1.654,0.064,2.344,21.515,0.586,1.284,0.01,3.607,1.373,27.303,21.907,0.0,0.95,0.114,0.18,0.007,0.509,0.517,0.309,1.031,5.354,2.902,3.97,1.448,0.808
