countryname_normalized,number_of_systems,avg_pkg_power_consumed
Turkey,25,221.25524414344864
Denmark,9,219.84123613585405
Argentina,9,131.22065492541128
Saudi Arabia,6,82.37136857272108
Singapore,2,50.904817228934284
Other,51,41.550013733310635
Egypt,5,39.538897937420884
Czech Republic,15,37.64535953984259
Viet Nam,14,36.603162408206536
Malaysia,1,35.96896593113298
Belgium,2,35.89081077886874
Canada,23,35.45308451740657
Japan,29,35.036329776920766
Hong Kong,5,34.07410260051889
"Korea, Republic of",27,32.63610710865744
Greece,5,32.32331443600741
Netherlands,14,31.62908339628852
Brazil,34,31.02509916858197
Sweden,9,28.602618019499555
Germany,42,27.73896522837829
OTHER,5,27.37928399123012
Indonesia,17,27.068307984163926
Spain,13,26.839873293236547
Thailand,14,26.342533449662817
"Taiwan, Province of China",24,25.779655518220547
China,33,25.659726237687284
Italy,18,25.363228186637688
Israel,6,24.31454583981065
Romania,7,24.046024065043497
Colombia,7,23.89050149301895
India,44,21.935682242422157
Portugal,3,21.692174307219258
United Kingdom of Great Britain and Northern Ireland,45,21.60344224583429
South Africa,6,21.063405125613702
Switzerland,8,20.342423717872286
Russian Federation,21,20.321877258923376
United States of America,62,18.98740969607614
Hungary,9,18.74323121768773
France,18,18.371603453470886
Australia,18,17.781977657274542
Austria,3,17.158723079819246
Ukraine,11,16.771821715809047
Chile,4,16.61011707868236
Mexico,14,16.120131905732247
Poland,19,14.38744973503897
Pakistan,10,14.215508949094566
Norway,5,13.359134644970565
Bangladesh,8,12.797530448730873
Ecuador,5,12.417934832767282
Philippines,7,11.336168528706922
Peru,9,6.0894089708265335
