ram_gb,count(DISTINCT guid),avg_percentage_used
2.0,2156,52.0
3.0,4204,52.0
4.0,4245,53.0
5.0,5978,52.0
6.0,9055,52.0
7.0,9019,53.0
8.0,6202,52.0
9.0,52,58.0
10.0,56,48.0
11.0,204,53.0
12.0,865,52.0
13.0,907,51.0
14.0,1391,51.0
15.0,6342,52.0
16.0,6293,53.0
17.0,6147,52.0
18.0,79,49.0
19.0,78,54.0
20.0,82,55.0
21.0,11,59.0
22.0,2,54.0
23.0,1,55.0
24.0,165,56.0
25.0,174,50.0
26.0,199,55.0
27.0,67,48.0
28.0,2,57.0
29.0,4,43.0
30.0,933,53.0
31.0,1525,53.0
32.0,1495,53.0
33.0,743,53.0
34.0,1,38.0
35.0,3,53.0
39.0,2,55.0
40.0,12,46.0
41.0,14,50.0
42.0,19,50.0
45.0,3,61.0
46.0,31,51.0
47.0,32,46.0
48.0,29,64.0
52.0,1,75.0
54.0,1,30.0
55.0,2,71.0
57.0,1,58.0
58.0,1,31.0
59.0,1,59.0
61.0,127,58.0
62.0,246,54.0
63.0,206,53.0
64.0,106,51.0
