guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
synth_0000308,5167163.0,547255409120.79626,760656120006.793,Notebook,HP,HP Pavilion x360 Convertible,8,Win10,4
synth_0000328,2431756.0,17718807617.958122,1253764533532.4946,Desktop,Acer,Aspire 5750G,12,Win10,8
synth_0000440,723993.0,69042170713.33217,285566667848.76056,Tablet,MSI,GV62 8RC,16,Win11,4
synth_0000568,2610798.0,9699247870.729498,189970002461.7688,Notebook,Acer,Aspire VN7-592G,4,Win11,2
synth_0000829,1946388.0,33874996524.62788,34652601254.47877,Notebook,Lenovo,Legion Y540-15IRH,12,Win10,2
synth_0000902,265348.0,10084415096.316471,39116807886.51628,Notebook,Dell,Inspiron 1545,8,Win10,6
synth_0000996,1200381.0,18578335595.661346,26797233396.149136,Desktop,Unknown,Other,8,Win10,2
synth_0001023,2944280.0,233725068429.0932,323351834004.70764,Notebook,HP,HP EliteBook 8470p,16,Win10,8
synth_0001160,2353748.0,97051928022.64569,100726002971.33258,Desktop,Asus,System Product Name,16,Win8.1,4
synth_0001309,2471239.0,195468012249.614,1658815225477.9458,Notebook,Lenovo,Lenovo G770,12,Win11,6
synth_0001344,2547614.0,544613667.4229507,597455361291.5104,Server/WS,MSI,GE60 2PL,8,Win11,8
synth_0001391,1130483.0,12697284850.124462,72117479667.09195,Tablet,LG,Other,8,Win7,2
synth_0001436,1538128.0,102328386916.77527,123699132325.27069,Tablet,Gigabyte,Default string,16,Win8.1,4
synth_0001453,1597815.0,67896898587.90992,462390749098.8662,Server/WS,Asus,G752VS,12,Win11,6
synth_0001621,1060259.0,8618888322.483513,404982652469.5447,Desktop,Positivo,POS-EINM10CB,16,Win10,4
synth_0001870,1689598.0,105000617489.53418,326079725856.3827,Intel NUC/STK,HP,HP Pavilion x360 Convertible 15-br0xx,16,Win11,2
synth_0002160,3935725.0,151540280979.1176,289173217050.72144,Notebook,Unknown,Other,12,Win8.1,n/a
synth_0002249,123542.0,5551479834.715258,14185651372.417015,2 in 1,Unknown,Other,16,Win11,6
synth_0002373,2198433.0,77649127910.59042,133973712689.33313,Intel NUC/STK,Other,Other,8,Win8.1,4
synth_0002413,3634125.0,19198979877.76169,546545835443.8732,Desktop,Lenovo,IdeaPad U430 Touch,12,Win10,2
synth_0002424,2420589.0,98728081229.14276,181130873295.8043,Notebook,HP,HP ENVY Notebook,16,Win Server,2
synth_0002826,6985167.0,1031033384794.1844,3163440300002.62,Desktop,Gigabyte,To be filled by O.E.M.,12,Win11,6
synth_0002966,3941817.0,94201075326.78995,113003248452.47787,2 in 1,Acer,Aspire one 1-131,12,Win10,2
synth_0002968,1042173.0,723279921.9617436,84127828682.30869,Notebook,Asus,Other,12,Win11,2
synth_0003261,209116.0,14204379660.6514,22098376546.22332,Intel NUC/STK,HP,HP EliteBook 840 G4,12,Win8.1,4
synth_0003420,4836139.0,171257591427.21075,555306669535.2599,Other,Unknown,To Be Filled By O.E.M.,16,Win10,2
synth_0003584,1090887.0,43077665019.8946,145842107366.19733,Notebook,LG,15UD480-GX3DK,16,Win10,8
synth_0003634,2563077.0,44556641983.29354,47607646439.40072,Notebook,Asus,UX331UN,16,Win10,4
synth_0004051,1774457.0,42771870699.129776,101437310204.54752,Server/WS,HP,HP EliteBook 8460p,12,Win10,4
synth_0004119,1693221.0,532042713.62535477,312621624373.7652,Notebook,Gigabyte,To be filled by O.E.M.,12,Win10,2
synth_0004268,499580.0,14821078467.705496,38123409067.93169,Notebook,HP,HP ProDesk 400 G3 SFF,8,Win10,n/a
synth_0004324,382971.0,6192734359.907117,23476690220.60577,Desktop,HP,HP Pavilion g4 Notebook PC,16,Win7,2
synth_0004376,4996400.0,67319870436.29758,394843500326.94775,Intel NUC/STK,Unknown,To Be Filled By O.E.M.,16,Win8.1,2
synth_0004402,3019875.0,85138835908.94832,224188195870.4325,Desktop,Gigabyte,H410M H V3,12,Win11,2
synth_0004478,2250406.0,52637209738.979195,86021016088.98386,Notebook,Lenovo,Lenovo ideapad 330-15IKB,8,Win10,2
synth_0004611,2574080.0,25389321313.16777,113921632598.22206,2 in 1,Toshiba,Satellite L500,12,Win11,2
synth_0004619,812168.0,51696422617.544624,77414810431.40326,2 in 1,Lenovo,Lenovo ideapad 320-15IKB Touch,16,n/a,2
synth_0004687,1762670.0,4865033604.675912,179293437720.2112,Notebook,Toshiba,SATELLITE L50-B,6,Win7,2
synth_0004805,639783.0,1885706700.3374667,49713567319.66976,Notebook,HP,HP Compaq 8200 Elite CMT PC,12,Win8,4
synth_0004861,2242253.0,38743496229.02775,614551105781.9912,Server/WS,Samsung,Other,16,Win8.1,4
synth_0004978,2969861.0,23349039057.661762,420546132317.561,Desktop,Microsoft Corporation,Surface Pro 8,12,Win8.1,2
synth_0005005,3305559.0,32813562588.177227,51335466292.60959,Notebook,Asus,VivoBook_ASUS Laptop X509UA,16,Win10,4
synth_0005262,2074190.0,29784493163.40864,445301151232.72675,Desktop,HP,HP ENVY dv6 Notebook PC,12,Win11,2
synth_0005274,88637.0,1765352216.3266964,9471970797.576365,2 in 1,Positivo,J14GL11,16,Win Server,2
synth_0005366,5784569.0,152370918512.97693,528492983294.43506,Notebook,Dell,OptiPlex 990,8,Win10,2
synth_0005396,3147011.0,45405804485.45325,200315685704.35104,Notebook,Dell,Venue 11 Pro 7140,16,Win10,2
synth_0005543,287025.0,8736133639.76425,30698853350.997463,2 in 1,Acer,Aspire E1-572G,12,Win10,2
synth_0005675,663663.0,31097544228.944084,47236834578.84482,Notebook,Acer,Aspire E1-572G,16,Win10,4
synth_0005686,580498.0,33835042965.79648,64033697108.262726,2 in 1,HANSUNG COMPUTER,Other,16,Win11,2
synth_0005761,553589.0,18061464668.170315,55883864472.67765,2 in 1,Microsoft Corporation,D:F B:0CA56329 F:U C:0A P:C1 S:01,12,Win11,2
synth_0005793,1585304.0,57053917028.28172,117779400563.97116,Notebook,Toshiba,SATELLITE PRO A50-C,12,Win10,2
synth_0005811,3223424.0,85491992355.51544,171001767932.14008,Notebook,Dell,Inspiron 1545,16,Win10,6
synth_0005866,6444.0,2211477604.3460646,3040573934.5973597,Notebook,HP,Compaq Presario CQ60 Notebook PC,12,Win10,4
synth_0005991,2914555.0,10046843709.51574,260603405373.39383,Intel NUC/STK,Gigabyte,GB-BKi3(H)A-7100,12,Win8.1,5
synth_0006093,1951006.0,75017272652.02835,928603706575.1553,2 in 1,Dell,Latitude 5590,6,Win11,6
synth_0006111,2041638.0,1517747068.032166,157302618298.6986,Notebook,HP,HP Compaq 8100 Elite SFF PC,8,Win11,2
synth_0006191,3908348.0,235988845048.91077,1205731634430.8438,Notebook,Other,VMware Virtual Platform,8,Win10,4
synth_0006331,846248.0,9583554676.100012,53232052143.80118,2 in 1,MSI,GS63 7RE,12,Win11,4
synth_0006530,353998.0,9074852141.343363,14155876743.48661,Intel NUC/STK,LG,15Z90N-VR50K,16,Win11,8
synth_0006566,1439488.0,58083361217.102516,1048437277421.019,Other,Acer,Nitro AN517-51,8,Win11,2
synth_0006663,704636.0,115688181923.08,248982715867.84875,Desktop,Apple,"iMac13,1",16,Win Server,2
synth_0006814,4558972.0,39504102079.91973,478599654480.17365,Desktop,Lenovo,ThinkPad E460,8,Win11,n/a
synth_0006840,2959929.0,60815224218.14038,300561344172.09973,2 in 1,Lenovo,Other,4,Win8,2
synth_0006917,398431.0,1831000100.577671,8120142726.586982,Other,Apple,"MacBookAir7,1",16,Win8.1,2
synth_0007024,1576613.0,10220811799.43097,40708267277.615776,Notebook,HP,HP ProBook 640 G2,8,Win11,2
synth_0007056,1651402.0,1772137664.8304632,48662088796.861916,Other,Lenovo,ThinkPad X13 Gen 1,24,Win10,2
synth_0007159,440341.0,7140789151.468603,52965165480.50786,Desktop,Unknown,Other,16,Win10,8
synth_0007230,645717.0,11940089793.199389,29393998514.23085,2 in 1,Samsung,340XAA/350XAA/550XAA,16,n/a,4
synth_0007401,2002991.0,113420160114.33972,389943122596.23926,2 in 1,Lenovo,Lenovo IdeaPad S540-15IML D,16,Win10,2
synth_0007612,421062.0,21189405838.894306,125042791127.83302,Intel NUC/STK,Dell,Inspiron 15-3567,12,Win Server,4
synth_0007633,575518.0,186410977038.38367,266673687007.3651,Desktop,Unknown,Unknown,16,Win10,6
synth_0007706,471843.0,5599533902.148926,42309740761.83291,Desktop,MSI,GS65 Stealth Thin 8RF,12,Win8.1,4
synth_0007710,389680.0,5549558524.580057,28611754790.46221,Desktop,Dell,Inspiron 15-3567,12,Win11,4
synth_0007851,504110.0,10475928402.828428,19145824762.509933,Desktop,Fujitsu,CELSIUS W530,12,n/a,2
synth_0007885,5586260.0,278585421106.24054,860208479190.5295,Tablet,Dell,Latitude E7240,4,Win11,2
synth_0008131,2475269.0,163993155401.33896,597991833971.4277,Notebook,Asus,X550CA,8,Win10,4
synth_0008189,1179224.0,9213209601.968271,10377979266.009993,2 in 1,Asus,E403NA,12,Win7,2
synth_0008283,5144717.0,116681141208.02399,177913840539.252,Desktop,Gigabyte,Z390 AORUS PRO WIFI,12,Win10,2
synth_0008505,757903.0,20189304892.795147,41818278261.41133,Notebook,MSI,MS-7B45,4,Win10,4
synth_0008636,176793.0,2452601525.2675095,13581328625.412624,Desktop,Other,VIT P2400,6,Win11,2
synth_0008696,6071099.0,13850560151.401903,314458856797.6925,Intel NUC/STK,Intel,NUC8i7BEH,12,Win8.1,2
synth_0008948,1286240.0,24384314428.608,103568669360.49536,Desktop,Gigabyte,Default string,16,Win7,2
synth_0008950,6285299.0,297589136286.60376,379879289309.52295,Desktop,Unknown,To Be Filled By O.E.M.,16,Win10,4
synth_0009032,2289433.0,32268659348.71408,164279490901.07965,Notebook,Lenovo,Lenovo IdeaPad C340-14API,12,Win10,4
synth_0009186,2811852.0,999093395.4267925,130181323590.06528,Notebook,Samsung,QX311/QX411/QX412/QX511,16,n/a,n/a
synth_0009335,1788753.0,40811939514.91161,878544827639.7906,2 in 1,MSI,GS65 Stealth Thin 8RE,12,n/a,2
synth_0009435,1896580.0,10744170915.357649,10838035612.170258,Server/WS,Asus,System Product Name,12,Win11,2
synth_0009441,1122827.0,252431154.53686947,34526475773.76802,Desktop,NEC,Other,16,Win8,2
synth_0009459,1042513.0,22781336733.90773,43059413657.87509,2 in 1,Dell,G3 3579,12,Win8,6
synth_0009598,4491553.0,50169184403.69996,538522078472.91833,Desktop,Gigabyte,B360 AORUS GAMING 3 WIFI,16,Win7,2
synth_0009681,4082890.0,181900635399.36688,367145008921.8541,2 in 1,Lenovo,ThinkPad Edge E440,16,n/a,2
synth_0009716,286824.0,10822733699.096111,27211151000.081806,Other,Samsung,Galaxy Book 12 LTE,8,Win11,2
synth_0009733,5740195.0,112239004693.67586,662876750312.1333,Desktop,Lenovo,Lenovo Y720-15IKB,4,Win11,4
synth_0009885,5641621.0,17994176937.03961,389157796659.1651,Notebook,Asus,ASUSPRO P1440FA_P1440FA,4,Win10,2
synth_0010019,2413181.0,131588210408.6601,468886426342.91797,2 in 1,Other,To be filled by O.E.M.,16,Win Server,12
synth_0010073,522154.0,10476991050.783894,31596410812.342957,Desktop,Biostar,H410MH,16,Win10,4
synth_0010078,525746.0,42122444222.50719,163683438206.2573,Notebook,Unknown,Other,8,Win10,2
synth_0010116,5260302.0,20525828887.68886,163775515267.07422,Server/WS,HP,HP Compaq 6000 Pro MT PC,16,Win7,6
synth_0010158,755972.0,22600495802.29542,81237899085.4665,Notebook,Sony,Other,12,n/a,6
synth_0010398,2844587.0,62158369663.09816,6430364319959.742,Notebook,HP,HP EliteBook Folio 1040 G3,12,Win11,8
synth_0010430,1017014.0,20768955424.904427,119047828820.13559,Desktop,Toshiba,PORTEGE X20W-D,12,Win10,2
synth_0010466,2139988.0,165923414793.36536,428913216769.3749,Notebook,Acer,Aspire ES1-331,8,Win10,2
synth_0010591,2108673.0,46154669446.48052,153652444162.02478,2 in 1,Microsoft Corporation,Surface Laptop 3,12,Win11,4
synth_0010611,409505.0,61912488944.87319,63832789314.32565,Desktop,Unknown,To Be Filled By O.E.M.,12,Win10,n/a
synth_0010636,548330.0,7904299637.7065525,13251577272.162296,Notebook,Acer,Swift SF314-56G,12,Win10,6
synth_0010684,1229482.0,72039214893.36653,102397305730.122,Desktop,HP,HP 250 G3 Notebook PC,12,Win10,4
synth_0010745,1480443.0,128244509844.9277,162722829979.45374,Notebook,Lenovo,Lenovo ideapad 330S-14IKB,8,Win7,4
synth_0010781,2792507.0,21711694297.7339,125033684294.1723,Other,Toshiba,Satellite C40-A,12,Win11,2
synth_0010894,440288.0,5117508167.027475,18538770457.03757,Desktop,Positivo,POS-PIQ77CL,12,Win Server,2
synth_0010921,793546.0,11835816528.098366,76380085932.80841,Tablet,ECS,H61H2-M6,16,Win Server,2
synth_0011238,1379805.0,15104280659.993187,1731231742660.1392,Notebook,Lenovo,Lenovo G780,8,Win10,2
synth_0011508,2018778.0,4647043735.326337,45571205283.349144,2 in 1,Dell,OptiPlex 7780 AIO,12,Win10,2
synth_0011552,185539.0,7198443074.2841,13060162768.632694,Intel NUC/STK,GPD,Default string,16,Win7,2
synth_0011594,4488114.0,37872458755.93185,392673369667.75885,Notebook,MECHREVO,X3-S Series GK7MR0R,12,Win7,4
synth_0011596,1151766.0,15238085220.451412,131261816127.48595,Notebook,Asus,N552VW,12,Win8,6
synth_0011646,3351665.0,51287139134.12055,211046608609.21613,Notebook,Intel,NUC8i7INH,16,Win10,4
synth_0011666,3074189.0,126238332421.87471,252550056701.82584,Notebook,Casper Bilgisayar,CASPER NIRVANA NOTEBOOK,6,Win Server,2
synth_0011772,313723.0,29542014367.867054,30973840633.38897,Intel NUC/STK,Fujitsu,FMVS09001,12,Win10,2
synth_0011880,5377159.0,49023199496.28436,375128465754.9317,Desktop,Intel,NUC7PJYHN,12,Win11,2
synth_0011942,351111.0,45646575373.7564,49717324152.55981,Other,Gigabyte,To be filled by O.E.M.,16,Win7,14
synth_0011976,2673758.0,136069511466.33308,261190435264.05167,Server/WS,Other,Other,8,Win7,2
synth_0012018,417803.0,13774405763.764542,19381021472.040333,Desktop,Gigabyte,H410M H V3,12,Win7,2
synth_0012039,526874.0,11593079344.811405,25167823134.561153,Notebook,Dell,OptiPlex 3070,16,Win10,2
synth_0012053,334954.0,2723918455.0105476,20319271898.888348,Desktop,Lenovo,Lenovo ideapad 110-14IBR,6,Win11,6
synth_0012110,1563753.0,61048603580.27356,71399777375.26369,Notebook,Lenovo,Other,8,Win11,4
synth_0012828,1374072.0,59753054592.268814,94840972231.36163,Server/WS,Fujitsu,LIFEBOOK AH544,24,n/a,2
synth_0012877,1356153.0,83302847010.25412,153883182732.25195,2 in 1,Lenovo,ThinkPad T480s,12,Win10,4
synth_0012993,4555269.0,9655520326.131042,13884588937.51975,2 in 1,Dell,Inspiron 5720,12,Win11,4
synth_0013348,1440250.0,2737957175.679165,20323502269.413692,2 in 1,ECS,H61H2-M17,12,Win Server,2
synth_0013389,608300.0,65797165003.51426,119989196598.34601,2 in 1,Lenovo,ThinkPad Helix 2nd,12,Win8.1,6
synth_0013417,3442366.0,158780005134.5397,364956657095.3916,2 in 1,Asus,X756UWK,12,Win7,6
synth_0013716,1140523.0,406460669739.72485,680291042989.7286,Desktop,Fujitsu,Other,12,Win11,4
synth_0013823,234123.0,7140429122.433468,51384369958.220505,2 in 1,HP,Type1 - ProductConfigId,16,Win10,2
synth_0014259,1365956.0,253510808386.14496,2775686486086.9683,Intel NUC/STK,Intel,NUC8i3BEH,24,Win8,2
synth_0014320,1613716.0,8324398057.385684,151178044773.6931,Server/WS,Fujitsu,Other,8,Win Server,2
synth_0014325,2456602.0,54386758828.76256,66084027084.33114,Server/WS,Other,Other,12,n/a,8
synth_0014560,1691993.0,18629894152.337505,23364298767.787918,Notebook,Acer,Aspire A514-54,8,Win10,4
synth_0014701,3276741.0,76581142090.0256,193310170809.1709,Other,Acer,Aspire A515-52G,8,Win7,8
synth_0014860,938384.0,2527991775.5350847,75798922802.41656,2 in 1,Dell,Inspiron 3420,12,Win8.1,2
synth_0014881,1799418.0,70751736593.90488,182119600257.37067,Notebook,MSI,PE60 2QE,12,Win10,4
synth_0015057,284916.0,9068352693.207132,16058896326.040792,Notebook,HP,HP Elite x2 1012 G1,4,Win Server,2
synth_0015071,291531.0,2325933881.3948965,19506074383.26981,Desktop,Unknown,Other,16,Win10,4
synth_0015246,2074811.0,129144545367.07239,144283183958.53006,Intel NUC/STK,Shinelon Computer,Destroyer-Dx II,12,Win8.1,2
synth_0015262,279007.0,1329177078.087518,23285594103.37786,Intel NUC/STK,Other,To be filled by O.E.M.,8,Win8.1,4
synth_0015447,431465.0,9370367659.641727,57563548809.01231,Desktop,Acer,Predator PH315-53,12,Win Server,2
synth_0015461,866351.0,14922332589.201918,24632333133.694874,Notebook,Asus,VivoBook_ASUS Laptop X509UA,8,Win7,4
synth_0015469,1460124.0,48621937226.61153,136568937362.54411,Desktop,Lenovo,Lenovo YOGA 530-14IKB,6,Win11,2
synth_0015522,207476.0,5014571372.917525,12888134292.07219,Notebook,Fujitsu,LIFEBOOK A532,12,Win11,2
synth_0015590,1355158.0,74204411579.6052,100759574275.45296,Notebook,HP,HP Pavilion m6 Notebook PC,8,Win10,4
synth_0015853,2638272.0,16453341615.084484,269257157504.99362,Notebook,Other,Default string,8,Win10,2
synth_0015961,1573546.0,1954999631.36431,59954994569.6762,Desktop,Intel,NUC8i3BEH,6,Win11,2
synth_0016000,3069273.0,70515347553.49765,108645112047.42279,Desktop,Unknown,Unknown,12,Win10,4
synth_0016405,1421260.0,10377100824.247759,278055363009.22595,Desktop,Microsoft Corporation,Surface Pro 4,8,Win10,4
synth_0016486,3166060.0,64635717839.59084,333801119372.22363,2 in 1,HP,HP EliteBook 840 G1,12,Win10,4
synth_0016652,706390.0,57958447879.39043,1299676541620.5732,Notebook,NEC,Other,6,Win10,2
synth_0016761,3575386.0,53927397474.553375,215466536971.6236,Notebook,HP,HP ProBook 6470b,16,Win10,2
synth_0016832,1837374.0,31325459392.187344,182259733491.70978,Intel NUC/STK,Asus,UX410UAR,6,Win11,4
synth_0017030,488090.0,20091574498.182987,26838443083.270298,2 in 1,Intel,NUC8i5BEK,16,Win10,4
synth_0017035,1810870.0,68694399939.88341,117987485068.44908,Desktop,Gigabyte,Default string,16,Win10,4
synth_0017229,2457397.0,19354798177.371296,284795422652.1177,Notebook,Asus,X541UAK,8,Win8.1,4
synth_0017233,5878049.0,210449044217.71735,697075229034.8644,Notebook,Lenovo,ThinkPad X1 Carbon,12,Win7,4
synth_0017263,673785.0,26256233741.426693,65933551770.91524,Notebook,Acer,Aspire E5-576G,12,Win8,2
synth_0017359,405211.0,57824616871.155914,61026296403.32915,Other,Microsoft Corporation,Surface Pro 3,12,Win7,4
synth_0017360,1808200.0,98084500799.81137,126628536838.79997,Notebook,Lenovo,ThinkPad E470,12,Win10,2
synth_0017445,772142.0,199399989530.37976,552290011924.3562,Notebook,Samsung,900X3C/900X3D/900X3E/900X4C/900X4D,8,Win10,n/a
synth_0017542,421376.0,61154642392.09352,207793376155.37582,Notebook,Unknown,To Be Filled By O.E.M.,16,Win10,2
synth_0017663,2999306.0,22199189209.71853,53133651571.759384,2 in 1,Wortmann_AG,1009664;1400107,8,Win11,6
synth_0017747,113679.0,2476046268.0069585,5701248835.2429,Intel NUC/STK,HP,HP Laptop 17-by3xxx,12,Win8,2
synth_0017914,990995.0,33080116113.060307,1568253148647.0203,Intel NUC/STK,Unknown,Default string,16,Win11,2
synth_0017971,1600987.0,104142243506.21228,401711833062.6251,Notebook,Sony,SVF14N13CXB,16,Win8,2
synth_0018016,677983.0,17293588274.548813,66658122174.13712,2 in 1,NEC,Other,16,Win11,2
synth_0018729,4316555.0,78125647904.62274,482161060983.6,Notebook,Acer,Nitro AN515-52,12,Win10,2
synth_0019022,1257155.0,15560197236.652893,35711106072.711494,Desktop,Gigabyte,Default string,12,Win10,4
synth_0019066,2113305.0,70769556861.80356,80564939352.76666,Tablet,Dell,Latitude 5590,12,Win7,2
synth_0019069,2463032.0,33683767986.844223,516171962828.13306,Intel NUC/STK,Dell,XPS 8500,16,Win10,2
synth_0019292,467674.0,2645275188.3732505,103462672705.71663,Intel NUC/STK,Intel,NUC7i7DNHE,16,Win10,6
synth_0019306,1959803.0,89410993518.42136,385687403272.7088,Intel NUC/STK,HP,Other,12,Win7,2
synth_0019392,1135659.0,17497465155.465313,23420813158.16681,Desktop,Intel,NUC8i7HVK,16,Win10,2
synth_0019435,1527757.0,208485114557.92374,289334015966.67975,Notebook,MSI,MS-7A94,8,Win8,4
synth_0019456,1401479.0,11907243668.291477,40469011076.347626,Notebook,Dell,OptiPlex 3060,8,Win10,2
synth_0019499,2193166.0,175782186472.65112,356789127255.0886,Notebook,Asus,X751LD,8,Win10,2
synth_0019588,3682279.0,204909739498.457,370430440863.8318,Desktop,Dell,Vostro 1014,16,Win10,2
synth_0019595,6122491.0,121862676427.87888,920361878353.5662,2 in 1,Dell,Inspiron 3580,16,Win10,4
synth_0019703,4247565.0,12071229198.915127,768748983083.0043,2 in 1,LG,15U340-LR3DK,12,Win7,2
