app_type,exe_name,average_focal_sec_per_day,rank
Communication,imvuclient.exe,4136.0,1
Communication,wemeetapp.exe,3126.0,2
Communication,zoom.exe,3035.0,3
Communication,notes2.exe,2590.0,4
Communication,g2mui.exe,2535.0,5
Communication,outlook.exe,2352.0,6
Communication,dingtalk.exe,2292.0,7
Communication,teams.exe,1963.0,8
Communication,ringcentralmeetings.exe,1798.0,9
Communication,atmgr.exe,1721.0,10
Developer tools,virtualboxvm.exe,3003.0,1
Developer tools,idea64.exe,2562.0,2
Developer tools,studio64.exe,2264.0,3
Developer tools,dotnet.exe,2154.0,4
Developer tools,netbeans64.exe,2097.0,5
Developer tools,rstudio.exe,2067.0,6
Developer tools,eclipse.exe,1997.0,7
Developer tools,figma.exe,1990.0,8
Developer tools,pycharm64.exe,1947.0,9
Developer tools,devenv.exe,1941.0,10
Entertainment,qyplayer.exe,4038.0,1
Entertainment,kodi.exe,3925.0,2
Entertainment,youkudesktop.exe,3849.0,3
Entertainment,stremio.exe,3752.0,4
Entertainment,sky go.exe,3585.0,5
Entertainment,qqlive.exe,3277.0,6
Entertainment,popcorn-time.exe,2898.0,7
Entertainment,potplayer64.exe,2679.0,8
Entertainment,bsplayer.exe,2670.0,9
Entertainment,gom.exe,2337.0,10
Gaming,fm.exe,9069.0,1
Gaming,wow.exe,8560.0,2
Gaming,ts4_x64.exe,6350.0,3
Gaming,dota2.exe,5999.0,4
Gaming,destiny2.exe,5415.0,5
Gaming,league of legends.exe,5391.0,6
Gaming,worldoftanks.exe,5166.0,7
Gaming,robloxplayerbeta.exe,5103.0,8
Gaming,gta5.exe,5083.0,9
Gaming,terraria.exe,4797.0,10
Gaming auxiliary,stardewmoddingapi.exe,6998.0,1
Gaming auxiliary,rustclient.exe,6993.0,2
Gaming auxiliary,vanguard.exe,5037.0,3
Gaming auxiliary,gameclient.exe,4799.0,4
Gaming auxiliary,simcity.exe,4735.0,5
Gaming auxiliary,tph.exe,4244.0,6
Gaming auxiliary,control_dx12.exe,4217.0,7
Gaming auxiliary,fivem_b2189_gtaprocess.exe,3869.0,8
Gaming auxiliary,exefile.exe,3810.0,9
Gaming auxiliary,pcsx2.exe,3246.0,10
