app_type,exe_name,total_number_of_detections,rank
Communication,outlook.exe,6406082.911558124,1
Communication,notes2.exe,4081091.70704168,2
Communication,imvuclient.exe,3233996.807244203,3
Communication,thunderbird.exe,3072107.3382538585,4
Communication,mailclient.exe,3059421.231047635,5
Communication,mailmaster.exe,2733136.127468873,6
Communication,slack.exe,2588178.426172594,7
Communication,ciscojabber.exe,2581146.532618655,8
Communication,nlnotes.exe,2505453.0073445076,9
Communication,foxmail.exe,1837692.7122013676,10
Developer tools,dreamweaver.exe,1983572.9784285896,1
Developer tools,idea64.exe,1542120.7727620322,2
Developer tools,mobaxterm.exe,1485997.3839289653,3
Developer tools,ttermpro.exe,1469522.0036058547,4
Developer tools,devenv.exe,1383624.588304469,5
Developer tools,ssms.exe,1149940.6473259716,6
Developer tools,code.exe,1051721.4812027186,7
Developer tools,eclipse.exe,1010945.8445873451,8
Developer tools,navicat.exe,664619.244679984,9
Developer tools,studio64.exe,663223.3189556205,10
Entertainment,potplayer64.exe,1216387.0457425634,1
Entertainment,gom.exe,1136269.8020382973,2
Entertainment,mpc-hc64_nvo.exe,1063053.5480878374,3
Entertainment,potplayermini64.exe,1050515.7246307083,4
Entertainment,bitcomet.exe,1001117.2408078649,5
Entertainment,youkudesktop.exe,858672.3809176185,6
Entertainment,mpc-hc64.exe,815621.0199264106,7
Entertainment,bsplayer.exe,704745.1361805348,8
Entertainment,mp3tag.exe,694055.4507426475,9
Entertainment,kmplayer64.exe,601813.2896695975,10
Gaming,nox.exe,6653988.17296511,1
Gaming,wow.exe,5958101.556476091,2
Gaming,leagueclientux.exe,5686615.5651416,3
Gaming,robloxplayerbeta.exe,5538314.544392662,4
Gaming,dnplayer.exe,4362714.958978051,5
Gaming,league of legends.exe,3558499.4254996255,6
Gaming,fm.exe,2755154.6697448697,7
Gaming,worldoftanks.exe,2412973.3718305463,8
Gaming,valorant-win64-shipping.exe,2178665.6334925666,9
Gaming,dota2.exe,1936463.0751366261,10
Gaming auxiliary,exefile.exe,1963007.5215938555,1
Gaming auxiliary,modorganizer.exe,1763820.7964290767,2
Gaming auxiliary,memu.exe,1209498.760134448,3
Gaming auxiliary,wegame.exe,1085270.5584538963,4
Gaming auxiliary,steam.exe,976984.335616278,5
