os_name,os_codename,blocker_name,blocker_type,activity_level,number_of_clients,average_active_time_in_seconds,number_of_occurences
Win10,20H1,Connection Phase,PDC Phase,low,834,16.304629795959322,6279
Win10,20H1,Connection Phase,Activator,moderate,93,17.682623587830463,96
Win10,20H1,No CS Phase,PDC Phase,low,846,6220.712283849634,7713
Win10,20H1,Shell Phase,PDC Phase,high,702,2.2044407879800933e-05,1556
Win10,20H1,WP Location Client,PDC Phase,low,547,90.10079602792531,921
Win10,19H2,BI,Activator,low,665,1497.2425681470306,1170
Win10,19H2,Windows Push Notifications,PDC Phase,low,234,225.19755130320416,265
Win10,19H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Activator,low,388,1005.5586412429647,522
Win10,19H2,Intel(R) UHD Graphics 630 (\_SB.PCI0.GFX0),Activator,low,53,159.94439400310677,53
Win10,19H2,DHCP,PDC Phase,high,211,263.39992399334244,242
Win10,20H1,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Activator,low,121,119.67926450140035,127
Win10,20H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),PDC Phase,low,915,987.4841838847551,1389
Win10,20H2,Connection Phase,PDC Phase,high,1393,16.527042155612914,3135
Win10,20H2,BITS Service,PDC Phase,high,44,330.0450091271899,44
Win10,20H2,No CS Phase,PEP Pre-Veto,low,46,5791.132618075968,46
Win10,20H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Fx Device,low,338,123.23216461545499,383
Win10,20H1,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Fx Device,low,63,201.98231482980896,63
Win10,20H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Activator,low,259,241.46124663525595,301
Win10,20H1,Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) (\_SB.PCI0.CNVW),PDC Phase,low,43,165.11786296620127,45
Win10,20H1,DAM Phase,Fx Device,high,68,32.219567614363754,68
Win10,20H1,Low Power Phase,Processor,high,24,5.343384539801589,26
Win10,20H1,WU,Fx Device,low,341,1800.4726083804705,455
Win10,20H1,Intel(R) PEG10 - 9A01 (\_SB.PC00.PEG1),PDC Phase,low,88,273.68866924305024,92
Win10,20H1,Intel® Smart Sound Technology BUS (\_SB.PC00.HDAS),Activator,low,191,312.00138122113896,217
Win10,22H2,Low Power Phase,Activator,low,679,5.344351173269391,1377
Win10,22H2,DHCP,Fx Device,low,335,246.21923465530364,432
Win10,19H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),Processor,low,20,98.03764069342272,20
Win10,19H2,Standard NVM Express Controller (\_SB.PC00.RP09.PXSX),PDC Phase,low,204,320.17856774107116,230
Win10,RS4,No CS Phase,PDC Phase,low,300,6288.510737906773,2559
Win10,RS4,Image Download Manager,PDC Phase,high,18,442.97714267419985,18
Win10,RS4,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Fx Device,low,133,912.1443526537975,190
Win10,21H1,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Activator,low,329,933.2879947684503,395
Win10,21H1,Low Power Phase,PDC Phase,high,848,5.207455939831849,1440
Win11,21H2,No CS Phase,Fx Device,low,1070,6104.464040309198,4566
Win11,21H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),PDC Phase,low,637,138.5764855776074,971
Win11,21H2,Intel(R) Ethernet Connection (13) I219-LM (\_SB.PC00.GLAN),PDC Phase,low,75,126.55169522803514,79
Win11,21H2,WU,PDC Phase,low,780,1828.2074374218548,1395
Win11,21H2,Standard NVM Express Controller (\_SB.PCI0.RP09.PXSX),PDC Phase,low,424,131.53835083633248,548
Win11,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),PDC Phase,low,814,937.1521438586981,1547
Win10,19H2,PLM Phase,Activator,high,455,3.369421099250129,632
Win10,19H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),PDC Phase,low,366,278.0408676593485,476
Win10,19H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),PDC Phase,high,81,198.505828677738,86
Win11,22H2,Maintenance Phase,Activator,low,779,430.85072305166494,1985
Win11,22H2,BI,PDC Phase,low,845,1461.0768840666153,2873
Win11,22H2,PLM Phase,Fx Device,high,496,3.5512966605308267,750
Win11,22H2,Intel(R) Ethernet Connection (10) I219-V (\_SB.PCI0.GLAN),Activator,low,65,686.3898400482618,67
Win11,22H2,PDC Suspend/Resume and Network-Refresh Activator,PDC Phase,low,536,3.131433246722457,799
Win11,22H2,Low Power Phase,PDC Phase,low,881,5.336008251571842,4011
Win11,22H2,Intel(R) PCI Express Root Port #7 - A0BE (\_SB.PC00.RP07),PDC Phase,high,19,714.5170573396731,22
Win11,22H2,CPU C0 Time.Non-attributed Time,PDC Phase,low,659,761.2524759641177,1248
Win11,22H2,CPU C0 Time.Non-attributed Time,Fx Device,low,400,770.2128436593023,546
Win11,22H2,WP Location Client,Fx Device,low,356,90.57969127111983,460
Win11,22H2,NCSI,Fx Device,low,427,117.68055185768102,610
Win11,22H2,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Fx Device,low,16,794.0688679608656,17
Win11,22H2,Shell Phase,Activator,moderate,73,2.4445581342554384e-05,77
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Activator,high,83,718.7817237529291,90
Win10,22H2,Intel(R) Serial IO UART Host Controller - 34A8 (\_SB.PCI0.UA00),PDC Phase,low,178,36.017007000299216,191
Win10,22H2,Connection Phase,Fx Device,moderate,126,18.191930010577032,149
Win10,22H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),PDC Phase,low,243,316.7930576973766,276
Win10,22H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Activator,low,329,946.4601054452357,410
Win10,22H2,WU,PDC Phase,high,235,1823.3309828407482,274
Win10,19H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),PDC Phase,high,295,956.6343216648589,350
Win10,19H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,low,133,305.5880871273271,144
Win10,19H2,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,high,68,393.18815854564883,70
Win10,19H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),PDC Phase,moderate,48,300.69087356463876,49
Win10,19H2,WP Location Client,Activator,low,304,92.43164248588616,363
Win10,19H2,GP,PDC Phase,low,50,170.02140206606853,52
Win10,21H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Fx Device,high,112,838.9083372148154,120
Win10,21H2,Connection Phase,Fx Device,high,727,16.355492659060918,1097
Win10,21H2,No CS Phase,PDC Phase,low,1288,6082.673437515568,11630
Win10,21H2,Standard NVM Express Controller (\_SB.PC00.PEG0.PEGP),PDC Phase,low,151,361.2573068702766,161
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Activator,low,502,1014.7685849963633,612
Win10,21H2,Low Power Phase,Activator,low,1004,5.320403865035703,1888
Win10,22H2,WNS,PDC Phase,moderate,79,170.6891597943819,82
Win10,22H2,Update Orchestrator Client,Activator,high,66,1072.161522755577,74
Win10,22H2,Intel(R) PCI Express Root Port #9 - A0B0 (\_SB.PC00.RP09),Fx Device,low,174,256.41892755114037,189
Win10,22H2,Intel(R) Wireless-AC 9462 (\_SB.PC00.CNVW),PDC Phase,high,25,93.27070422274855,25
Win10,RS3,No CS Phase,Fx Device,high,38,7167.547891544146,55
Win10,RS3,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),Activator,low,8,342.2328670387858,8
Win10,RS3,TCPIP,Processor,low,4,150.2455474258488,4
Win10,RS3,Low Power Phase,Activator,low,48,5.021770843070122,95
Win10,RS3,Update Orchestrator Client,PDC Phase,low,34,942.8934545993078,52
Win10,RS3,Connection Phase,PDC Phase,high,46,16.221861733269883,111
Win10,RS3,Intel(R) UHD Graphics (\_SB.PC00.GFX0),PDC Phase,low,13,71.16062120028093,14
Win10,RS3,Intel(R) PCI Express Root Port #9 - 02B0 (\_SB.PCI0.RP09),PDC Phase,low,5,473.199316879092,5
Win10,RS3,No CS Phase,PDC Phase,high,51,6442.653733980344,141
Win10,22H2,Intel(R) PCIe Controller (x16) - 1901 (\_SB.PCI0.PEG0),PDC Phase,low,185,466.03026534238984,203
Win10,19H2,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Processor,low,30,822.0725433530049,31
Win10,19H2,Intel(R) Wireless-AC 9462 (\_SB.PC00.CNVW),PDC Phase,high,30,125.0988012193465,30
Win10,20H2,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),PDC Phase,low,929,136.00943780279533,1391
Win10,20H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),Processor,low,12,182.28854200002556,12
Win10,20H2,Connection Phase,Activator,high,727,15.981623890257266,980
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),PDC Phase,moderate,55,117.23338978232171,58
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,moderate,22,753.4091743495636,23
Win11,22H2,TCPIP,Processor,low,21,97.03524035594562,21
Win11,22H2,NCSI,PDC Phase,high,292,118.78320777283636,342
Win10,19H1,BI,Activator,low,384,1480.2468102668024,643
Win10,19H1,Maintenance Phase,Fx Device,low,556,426.6036365928004,1794
Win10,19H1,Low Power Phase,Fx Device,low,520,5.552967596988499,1247
Win10,19H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),PDC Phase,low,444,158.76641285016234,825
Win10,19H1,PDC Suspend/Resume and Network-Refresh Activator,PDC Phase,low,361,3.1677597108326,558
Win10,19H1,DHCP,PDC Phase,low,359,259.09721461191697,563
Win10,19H1,Intel(R) Ethernet Connection (13) I219-V (\_SB.PC00.GLAN),Fx Device,moderate,1,58.36576324571768,1
Win10,19H2,Standard NVM Express Controller (\_SB.PC00.RP09.PXSX),Fx Device,low,92,359.83395493788555,95
Win10,19H2,No CS Phase,Processor,moderate,10,5403.131899321239,10
Win11,21H2,PLM Phase,Fx Device,high,640,3.34265484922931,995
Win11,21H2,Intel(R) Wireless-AC 9560 160MHz (\_SB.PCI0.CNVW),PDC Phase,high,89,192.90645225677167,94
Win11,21H2,PLM Phase,Processor,low,239,3.4095668133580594,267
Win11,21H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,low,485,156.5064780711392,674
Win11,22H2,WP Location Client,Activator,low,284,92.55927750125814,346
Win11,22H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Fx Device,high,122,162.16505665580056,135
Win11,22H2,Lock Screen,PDC Phase,low,210,10.608122598366327,238
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Fx Device,low,116,2291.2285998905854,122
Win10,21H2,Intel(R) Wireless-AC 9461 (\_SB.PC00.CNVW),Fx Device,low,29,107.39774150531552,29
Win10,21H2,WP Location Client,Activator,low,412,87.63167634707912,483
Win10,20H2,Intel(R) UHD Graphics (\_SB.PC00.GFX0),PDC Phase,low,296,83.07798145986338,331
Win10,20H2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),PDC Phase,moderate,100,775.0821582967712,100
Win10,20H2,Intel RST VMD Controller 9A0B (\_SB.PC00.VMD0),Activator,low,119,642.1253618732691,123
Win10,21H2,USB4(TM) Host Router (Microsoft) (\_SB.PC00.TDM0),Activator,low,27,553.4290887692202,27
Win10,19H1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),Activator,low,209,155.5075237186245,264
Win10,19H1,DAM Phase,PDC Phase,moderate,19,38.2987311508437,20
Win10,19H1,CPU C0 Time.Non-attributed Time,Activator,low,224,782.5433896071509,266
Win10,19H1,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),PDC Phase,high,109,155.0315695361076,120
Win10,19H1,WP Location Client,Activator,high,52,81.08234162388715,55
Win10,19H1,Intel(R) UHD Graphics (\_SB.PCI0.GFX0),PDC Phase,low,261,162.50093394199223,350
Win10,21H2,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Activator,low,59,222.27064045432064,61
Win10,21H2,TCPIP,Processor,low,30,179.0412745082445,31
Win10,RS4,Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) (\_SB.PC00.CNVW),PDC Phase,low,9,139.81525974780143,9
Win10,RS4,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Activator,low,73,873.8307603276803,90
Win10,RS4,DAM Phase,PDC Phase,low,170,28.722419703104407,236
Win10,RS5,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),Activator,low,94,807.1170770760921,109
Win10,RS5,Maintenance Phase,Activator,low,331,422.10113959171713,843
Win10,RS5,WP Location Client,PDC Phase,low,255,97.21259281873522,419
Win10,RS5,CPU C0 Time.Non-attributed Time,PDC Phase,low,266,789.5758229459469,486
Win10,RS5,Intel(R) UHD Graphics 620 (\_SB.PCI0.GFX0),PDC Phase,high,32,144.623010473017,35
Win10,RS5,PLM Phase,PDC Phase,low,374,3.4558201817049916,2879
Win10,RS5,Shell Phase,Fx Device,low,355,2.383709827104772e-05,1262
Win10,RS5,Connection Phase,PDC Phase,high,318,15.370842023081698,760
Win10,21H2,Contrôleur audio de la technologie Intel(R) Smart Sound (\_SB.PCI0.HDAS),PDC Phase,low,105,787.3357430415084,109
Win10,20H1,Intel(R) Ethernet Connection (10) I219-LM (\_SB.PCI0.GLAN),Processor,low,3,1126.6418618526372,3
Win10,21H1,Intel(R) PCI Express Root Port #12 - A0B3 (\_SB.PC00.RP12),Processor,low,2,366.22101803325455,2
Win10,TH1,PDC Suspend/Resume and Network-Refresh Activator,Activator,low,6,3.571151572511876,9
Win10,TH1,Maintenance Phase,Activator,high,5,423.1978421752129,7
Win10,TH1,NCSI,Fx Device,low,5,143.23716070320688,5
Win10,TH1,Intel(R) Iris(R) Xe Graphics (\_SB.PC00.GFX0),PDC Phase,moderate,1,120.6463191687913,1
Win10,TH1,インテル(R) スマート・サウンド・テクノロジー ・オーディオ・コントローラー (\_SB.PCI0.HDAS),Activator,high,1,79.71416176884918,1
Win10,TH1,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PC00.CNVW),PDC Phase,low,6,121.19510117242694,11
Win10,TH1,DAM Phase,PDC Phase,high,3,30.10598534902181,4
Win10,RS2,Intel(R) Wireless-AC 9462 (\_SB.PCI0.CNVW),PDC Phase,high,1,182.68128442821447,1
Win10,RS2,Shell Phase,PDC Phase,high,9,1.7554396089851956e-05,21
Win10,RS2,Thunderbolt(TM) Controller - 9A1D (\_SB.PC00.TDM1),PDC Phase,low,1,137.1720921744668,2
Win10,RS2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Processor,low,1,475.9738317419819,1
Win10,RS2,Low Power Phase,Fx Device,low,9,5.147044713612352,30
Win10,RS2,Connection Phase,Activator,high,7,23.97674921061751,9
Win10,RS2,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),Fx Device,low,7,1365.6309397914647,12
Win10,RS2,PLM Phase,Processor,moderate,1,0.7639658045867141,1
Win10,RS2,DHCP,Fx Device,low,2,83.8418426629949,2
Win10,RS2,BI,Fx Device,low,7,1720.5148143906072,16
Win10,RS1,No CS Phase,PDC Phase,high,24,6321.6390206668675,75
Win10,RS1,Connection Phase,PDC Phase,low,27,17.4229724725059,200
Win10,RS1,Maintenance Phase,PDC Phase,low,28,449.11525629778737,164
Win10,RS1,Intel(R) Serial IO UART Host Controller - 34A8 (\_SB.PCI0.UA00),Activator,low,2,51.1855269236795,3
Win10,RS1,Connection Phase,Activator,high,10,17.913761969376587,14
Win10,RS1,No CS Phase,Fx Device,high,15,5115.020882666213,23
Win10,RS1,Maintenance Phase,Activator,high,11,455.20482946021275,11
Win10,RS1,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),PDC Phase,high,1,468.8582411346108,1
Win10,RS1,WP Location Client,Activator,low,4,71.99497249767576,5
Win10,RS1,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),Activator,low,4,2421.497427094678,4
Win10,20H2,Intel RST VMD Controller 467F (\_SB.PC00.VMD0),PDC Phase,moderate,3,297.8965322281903,3
Win10,20H2,DAM Phase,Activator,low,369,29.156750689245307,413
Win10,20H2,Intel(R) Wi-Fi 6 AX201 160MHz (\_SB.PCI0.CNVW),Fx Device,high,175,234.7891669811675,185
Win10,21H1,PCI Express Root Port (\_SB.PC00.PEG0),PDC Phase,moderate,9,432.5722124910671,9
Win10,21H1,Thunderbolt(TM) Controller - 9A1B (\_SB.PC00.TDM0),Fx Device,high,90,322.74630248006224,93
Win10,21H1,Intel(R) Wireless-AC 9462 (\_SB.PC00.CNVW),Activator,high,7,101.13373530436084,7
Win10,21H1,Maintenance Phase,Processor,high,68,385.7483065212801,69
Win10,19H2,Intel(R) Ethernet Connection (6) I219-LM (\_SB.PCI0.GLAN),Activator,low,18,260.40796890972456,19
Win10,21H2,Lock Screen,PDC Phase,low,302,11.448201220775855,352
Win10,21H2,Intel(R) Ethernet Connection (13) I219-V (\_SB.PC00.GLAN),PDC Phase,low,154,136.1270933937487,164
Win10,19H1,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),PDC Phase,low,339,874.0676188551881,517
Win10,19H1,Intel(R) Ethernet Connection (13) I219-V (\_SB.PC00.GLAN),Processor,high,2,102.12739878744782,2
Win10,19H1,DAM Phase,Activator,low,150,30.355582133888912,167
Win10,19H1,Surface Serial Hub Driver (\_SB.SSH),Activator,low,37,33.337166422487925,37
Win11,21H2,PLM Phase,Activator,moderate,127,3.52202197014188,134
Win10,21H1,USB xHCI Compliant Host Controller (\_SB.PC00.XHCI),PDC Phase,low,934,922.291120834909,1740
Win10,21H1,WP Location Client,Activator,high,122,76.82815964471459,132
Win11,21H2,Intel(R) PCI Express Root Port #5 - A0BC (\_SB.PC00.RP05),Fx Device,high,37,311.66388142047197,41
Win11,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),Activator,low,416,924.498028820028,533
Win11,21H2,DAM Phase,Fx Device,low,324,28.576873208219077,404
Win10,RS4,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),PDC Phase,low,153,1000.1191408123848,235
Win10,RS4,Low Power Phase,Activator,high,96,5.236066251752946,110
Win10,20H2,Device not registered,Processor,high,2,5083.724145939828,2
Win10,20H2,Intel(R) Iris(R) Plus Graphics (\_SB.PCI0.GFX0),Activator,high,26,193.68158220019933,26
Win10,20H2,Windows Error Reporting,PDC Phase,high,15,194.3519101462592,15
Win10,19H2,PDC Suspend/Resume and Network-Refresh Activator,PDC Phase,high,197,3.1121380892181008,228
Win10,21H1,CPU C0 Time.Non-attributed Time,PDC Phase,moderate,63,1048.389324526246,63
Win10,21H1,Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller (\_SB.PCI0.HDAS),PDC Phase,high,204,1030.393819779822,219
Win10,21H1,Intel(R) Wireless-AC 9461 (\_SB.PC00.CNVW),PDC Phase,low,73,122.77650701270078,77
Win10,21H1,USB xHCI Compliant Host Controller (\_SB.PCI0.TXHC),PDC Phase,high,20,2058.1182007130164,20
Win11,22H2,Contrôleur audio de la technologie Intel(R) Smart Sound (\_SB.PCI0.HDAS),PDC Phase,low,65,737.3354321807034,68
Win11,22H2,USB xHCI Compliant Host Controller (\_SB.PC00.TXHC),PDC Phase,high,56,1950.4387094918197,56
Win10,21H2,USB xHCI Compliant Host Controller (\_SB.PCI0.XHC),PDC Phase,moderate,75,944.4592606550871,82
Win10,21H2,Intel(R) PCI Express Root Port #4 - A0BB (\_SB.PC00.RP04),PDC Phase,low,87,678.6233507711606,89
Win10,21H2,PLM Phase,Activator,moderate,147,3.375322070134662,161
Win10,20H2,Image Download Manager,Activator,low,135,301.9211200282526,142
Win10,20H1,TCPIP,Fx Device,low,287,188.3974808944379,345
Win10,20H1,Low Power Phase,Activator,moderate,58,5.371985583913168,58
Win10,20H1,Intel(R) UHD Graphics 620 (\_SB.PCI0.GFX0),PDC Phase,low,280,139.1962880721011,348
Win10,20H1,Audio Service,PDC Phase,low,58,3464.0744822117204,59
Win10,22H2,Universal Telemetry Client,Fx Device,low,134,98.32797361824895,145
Win10,20H1,Intel(R) Ethernet Connection (13) I219-V (\_SB.PC00.GLAN),PDC Phase,moderate,3,178.57502519832826,3
Win10,20H1,Intel(R) PCI Express Root Port #9 - 02B0 (\_SB.PCI0.RP09),PDC Phase,low,82,1417.8858447620578,90
Win10,20H1,WP Sync Client,Fx Device,high,10,321.2676922359004,10
Win10,22H2,Intel(R) PCI Express Root Port #5 - 02BC (\_SB.PCI0.RP05),PDC Phase,high,23,1378.0488825212856,23
Win10,21H1,PDC Suspend/Resume and Network-Refresh Activator,Fx Device,moderate,22,3.16384109805616,22
