event_name,acdc,proc_name,total_duration_sec_per_instance,rank
APPSTARTING,AC,NA,10257.55,1
APPSTARTING,AC,rundll32.exe,40.27,2
APPSTARTING,AC,mspaint.exe,34.66,3
APPSTARTING,AC,McUICnt.exe,31.05,4
APPSTARTING,AC,AVGUI.exe,28.29,5
APPSTARTING,AC,googledrivesync.exe,27.45,6
APPSTARTING,AC,nvcplui.exe,24.58,7
APPSTARTING,AC,TeamViewer.exe,23.36,8
APPSTARTING,AC,SynTPEnh.exe,22.58,9
APPSTARTING,AC,wmplayer.exe,22.5,10
WAIT,AC,NA,10465.34,1
WAIT,AC,rundll32.exe,41.04,2
WAIT,AC,mspaint.exe,31.27,3
WAIT,AC,AVGUI.exe,30.17,4
WAIT,AC,McUICnt.exe,29.48,5
WAIT,AC,RtkNGUI64.exe,26.98,6
WAIT,AC,nvcplui.exe,25.25,7
WAIT,AC,TeamViewer.exe,24.5,8
WAIT,AC,wmplayer.exe,23.98,9
WAIT,AC,googledrivesync.exe,22.83,10
APPSTARTING,DC,NA,9991.18,1
APPSTARTING,DC,AVGUI.exe,42.65,2
APPSTARTING,DC,rundll32.exe,36.64,3
APPSTARTING,DC,mspaint.exe,36.54,4
APPSTARTING,DC,googledrivesync.exe,31.93,5
APPSTARTING,DC,McUICnt.exe,30.31,6
APPSTARTING,DC,nvcplui.exe,25.48,7
APPSTARTING,DC,TeamViewer.exe,25.35,8
APPSTARTING,DC,SynTPEnh.exe,21.93,9
APPSTARTING,DC,RiotClientUx.exe,21.54,10
WAIT,DC,NA,10171.65,1
WAIT,DC,rundll32.exe,39.15,2
WAIT,DC,McUICnt.exe,38.41,3
WAIT,DC,AVGUI.exe,33.17,4
WAIT,DC,mspaint.exe,31.79,5
WAIT,DC,googledrivesync.exe,31.23,6
WAIT,DC,mshta.exe,30.95,7
WAIT,DC,nvcplui.exe,26.11,8
WAIT,DC,egui.exe,25.55,9
WAIT,DC,TeamViewer.exe,25.39,10
APPSTARTING,NA,NA,9714.12,1
APPSTARTING,NA,McUICnt.exe,36.21,2
APPSTARTING,NA,googledrivesync.exe,34.53,3
APPSTARTING,NA,mspaint.exe,33.98,4
APPSTARTING,NA,rundll32.exe,33.88,5
APPSTARTING,NA,WFS.exe,32.21,6
APPSTARTING,NA,AVGUI.exe,30.21,7
APPSTARTING,NA,nvcplui.exe,27.86,8
APPSTARTING,NA,TeamViewer.exe,24.05,9
APPSTARTING,NA,SynTPEnh.exe,20.94,10
WAIT,NA,NA,11888.73,1
WAIT,NA,googledrivesync.exe,56.14,2
WAIT,NA,mspaint.exe,47.54,3
WAIT,NA,AVGUI.exe,46.42,4
WAIT,NA,qbittorrent.exe,39.17,5
WAIT,NA,rundll32.exe,37.18,6
WAIT,NA,McUICnt.exe,34.3,7
WAIT,NA,Launch.exe,31.28,8
WAIT,NA,powershell.exe,28.95,9
WAIT,NA,nvcplui.exe,25.29,10
APPSTARTING,UN,NA,9981.58,1
APPSTARTING,UN,rundll32.exe,37.92,2
APPSTARTING,UN,googledrivesync.exe,35.84,3
APPSTARTING,UN,mspaint.exe,34.32,4
APPSTARTING,UN,McUICnt.exe,31.39,5
APPSTARTING,UN,AVGUI.exe,27.19,6
APPSTARTING,UN,TeamViewer.exe,25.35,7
APPSTARTING,UN,nvcplui.exe,24.06,8
APPSTARTING,UN,RtkNGUI64.exe,22.99,9
APPSTARTING,UN,wmplayer.exe,22.72,10
WAIT,UN,NA,10301.13,1
WAIT,UN,rundll32.exe,36.59,2
WAIT,UN,mspaint.exe,35.64,3
WAIT,UN,McUICnt.exe,33.17,4
WAIT,UN,TeamViewer.exe,26.21,5
WAIT,UN,wmplayer.exe,24.41,6
WAIT,UN,AVGUI.exe,23.3,7
WAIT,UN,nvcplui.exe,22.93,8
WAIT,UN,googledrivesync.exe,22.37,9
WAIT,UN,Thunder.exe,21.77,10
