proc_name,ac_duration,dc_duration,unknown_duration
mshta.exe,21.26,20.68,19.2
AVGUI.exe,28.15,37.43,26.25
NA,10265.19,10007.3,10102.2
Intel-Driver-and-Support-Assistant-Installer.exe,16.6,15.59,16.36
TeamViewer.exe,23.61,24.94,25.81
McUICnt.exe,30.48,32.67,32.24
AvastUI.exe,17.14,15.94,17.96
wmplayer.exe,22.84,21.42,23.16
mbamtray.exe,15.68,14.77,16.62
SynTPEnh.exe,22.18,21.93,20.94
googledrivesync.exe,26.09,31.75,31.12
nvcplui.exe,24.62,25.94,23.64
RiotClientUx.exe,19.63,20.96,20.24
rundll32.exe,40.4,37.51,37.43
RtkNGUI64.exe,20.7,16.98,20.26
wordpad.exe,19.08,18.9,19.3
qbittorrent.exe,20.87,18.49,17.9
mspaint.exe,33.51,34.92,34.71
LogiOverlay.exe,15.29,13.97,16.74
LockApp.exe,18.3,18.89,19.0
