processor_class,os,number_of_systems,avg_bytes_received,avg_bytes_sent
Server Class,Win10,7031,1.212021369533085,0.6933793888836021
Server Class,n/a,77,1.3465791694674787,0.7357320452907256
Server Class,Win8,65,1.221444120659278,0.6797199974839504
Non-Server Class,Win7,13678,0.8857541116709459,0.6161949199800204
Server Class,Win Server,140,1.4369106579705009,0.5079400746301482
Server Class,Win11,587,1.478047205200276,0.828553684358842
Server Class,Win8.1,164,1.2740491871699327,0.7147125983724325
Non-Server Class,Win10,581923,0.8329271786422511,0.6509972274643804
Non-Server Class,Win8,5030,0.929923776092807,0.7232934361862092
Non-Server Class,Win Server,6396,0.9901609750953408,0.6842462961391196
Server Class,Win7,268,1.2566928905510923,0.7680056997357239
Non-Server Class,n/a,5407,0.9483488660412271,0.7185742631273335
Non-Server Class,Win11,68876,1.1553075850946588,0.7726362308633384
Non-Server Class,Win8.1,12875,0.8574727489611875,0.6795891482083313
