country,number_of_systems,avg_number_of_dc_powerons,avg_duration
United States of America,94385,0.08197238327548503,0.0985111483642997
China,45043,0.078860483272126,0.10943082151218254
Australia,8845,0.0783179047285347,0.12182271747759625
United Kingdom of Great Britain and Northern Ireland,22870,0.07472106447602485,0.12367600119009446
Viet Nam,7805,0.07405087095153674,0.12180561909844842
Israel,3764,0.07400347291646843,0.10680410357870238
Denmark,3748,0.07383134080122265,0.11669241084530446
Canada,13957,0.07370783249394042,0.12284704914166318
Spain,9500,0.0728179672117699,0.114001505998912
Netherlands,8546,0.07249812725935173,0.10655999372015565
Singapore,2909,0.07233388371160707,0.12202573281475126
Greece,3608,0.07206430937249488,0.11381302057356768
Turkey,22267,0.07188067726980425,0.11586717047193064
Switzerland,3826,0.07183517442868913,0.11786576802993315
Saudi Arabia,3602,0.07168278705782315,0.12412952039239336
Ecuador,3425,0.07167192679269276,0.1216837778597319
Belgium,4162,0.07157566125479801,0.10722357216191972
Poland,10984,0.071162653532754,0.10863102386121441
France,17860,0.07083587713364915,0.10134013983202965
Thailand,7860,0.07075417054400014,0.11761807672843995
Chile,5457,0.07068165077827274,0.11507736585916749
Colombia,6535,0.07036018226844697,0.11594132831130424
Malaysia,4629,0.07018020387657498,0.11134137574040297
"Taiwan, Province of China",11373,0.07001948543323754,0.10404212025853368
India,34201,0.06996620182355806,0.10159604348979427
Ukraine,7486,0.06968078947029241,0.10523078244349068
Egypt,4574,0.06962147132160233,0.11835488034517658
Austria,3386,0.06953425083343995,0.1178576033473589
Germany,29224,0.06939129674495091,0.10688222299043842
Mexico,10355,0.06934747571808698,0.11815612310246884
South Africa,3479,0.0691030310923694,0.1186323892452236
Portugal,4915,0.06906696290252817,0.11641142493732917
Norway,3452,0.06895745352454821,0.11229129962167364
Philippines,6164,0.06891799462438272,0.1086675028030095
Sweden,3963,0.06880199143777743,0.11180443044767788
Czech Republic,3875,0.06877297714468718,0.10480722923183085
Italy,13665,0.06875515237807729,0.11921179115967825
Hong Kong,3368,0.06857803517481542,0.1132776034451407
Romania,6045,0.06835977440864159,0.10235784883615286
Indonesia,9347,0.068082882095445,0.11761390733144698
Peru,5210,0.06806802467621861,0.10572646999304344
Hungary,4118,0.06738327154426148,0.10757386471518376
Pakistan,4042,0.06664411950242267,0.12048787111468662
Argentina,6751,0.0664882266154382,0.09564290669710845
Russian Federation,25028,0.06633396462141597,0.11766392700374949
Bangladesh,3155,0.0661246680480193,0.10153821191633129
"Korea, Republic of",24117,0.06506078881125245,0.10458238785895856
Other,81901,0.064977238459324,0.08910448313764571
Brazil,38718,0.06487886376488462,0.11642490750034161
Japan,18914,0.06303966809332612,0.09775904491461794
