country,browser
Argentina,chrome
Australia,edge
Austria,chrome
Bangladesh,chrome
Belgium,chrome
Brazil,chrome
Canada,edge
Chile,chrome
China,chrome
Colombia,chrome
Czech Republic,chrome
Denmark,edge
Ecuador,chrome
Egypt,edge
France,chrome
Germany,chrome
Greece,chrome
Hong Kong,edge
Hungary,chrome
India,chrome
Indonesia,chrome
Israel,chrome
Italy,chrome
Japan,chrome
"Korea, Republic of",chrome
Malaysia,chrome
Mexico,chrome
Netherlands,chrome
Norway,chrome
Other,chrome
Pakistan,chrome
Peru,chrome
Philippines,chrome
Poland,chrome
Portugal,chrome
Romania,chrome
Russian Federation,chrome
Saudi Arabia,chrome
Singapore,chrome
South Africa,chrome
Spain,chrome
Sweden,chrome
Switzerland,chrome
"Taiwan, Province of China",chrome
Thailand,chrome
Turkey,chrome
Ukraine,chrome
United Kingdom of Great Britain and Northern Ireland,edge
United States of America,edge
Viet Nam,chrome
