persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Unknown,226615,226615.0,2.0,1.073,1.645,3.706,1.067,4.207,7.808,4.292,3.791,1.852,3.159,2.532,12.466,5.897,0.382,4.03,1.763,3.039,1.068,1.797,2.732,1.506,4.936,8.077,3.554,4.564,4.558,2.496
Gamer,96806,96806.0,2.166,1.125,1.889,3.613,1.095,3.56,8.589,4.54,3.951,2.141,2.608,2.734,12.611,6.515,0.267,5.16,1.659,3.459,0.825,1.48,2.261,1.472,4.214,6.999,3.611,4.913,3.943,2.6
Casual Gamer,75214,75214.0,2.295,0.879,1.438,3.941,1.094,3.628,9.623,3.939,4.401,1.79,2.706,3.193,9.966,6.056,0.257,5.614,1.699,3.516,0.828,1.536,2.366,1.745,5.063,6.552,4.815,5.095,3.335,2.63
Casual User,125018,125018.0,1.62,0.871,1.29,4.369,1.641,3.422,8.886,4.243,4.605,1.908,2.802,2.549,11.347,5.014,0.475,5.425,1.711,3.198,0.93,2.097,2.882,1.671,4.841,7.782,4.435,4.465,3.024,2.496
Win Store App User,28845,28845.0,1.755,0.77,1.855,3.627,1.218,3.978,9.887,4.447,4.34,1.813,2.953,3.353,9.61,5.414,0.362,5.699,1.411,2.959,1.252,1.681,2.522,2.08,4.964,8.197,3.68,4.745,3.574,1.856
Content Creator/IT,45464,45464.0,2.141,0.787,1.688,4.219,1.331,3.658,9.402,3.962,4.301,2.022,2.926,3.242,9.595,5.277,0.406,5.752,1.452,3.025,1.072,1.851,2.727,2.042,4.792,6.912,4.599,5.2,3.305,2.315
File & Network Sharer,17073,17073.0,1.699,0.781,1.717,3.88,1.339,3.952,9.55,4.437,3.79,1.65,3.208,2.975,10.555,5.059,0.342,5.435,1.492,3.03,1.014,1.722,2.559,2.031,4.884,8.406,3.696,4.77,3.797,2.229
Web User,249023,249023.0,2.138,0.637,2.171,4.101,0.939,3.99,8.92,3.676,4.247,1.32,3.471,3.423,7.685,5.335,0.216,6.108,1.274,2.566,1.043,1.806,2.242,2.393,4.985,9.737,4.166,5.002,4.535,1.876
Office/Productivity,63436,63436.0,1.836,0.741,1.94,3.429,1.472,3.972,10.653,4.342,4.02,1.76,3.219,3.265,10.539,4.435,0.429,5.845,1.679,2.995,1.027,2.041,2.764,1.605,5.312,7.198,3.991,4.124,3.181,2.186
Entertainment,30475,30475.0,2.108,0.8,1.539,4.695,1.241,3.635,8.818,3.463,4.112,2.218,2.737,2.878,10.331,5.097,0.442,5.788,1.482,3.099,0.989,1.939,2.709,1.837,5.376,7.899,4.176,5.014,3.431,2.15
Communication,42031,42031.0,1.557,0.745,2.487,2.972,1.374,4.345,9.666,4.762,4.334,1.347,3.047,3.517,9.816,5.265,0.292,5.47,1.279,2.663,0.897,1.802,2.338,1.912,5.147,8.511,4.022,3.814,4.338,2.28
