countryname_normalized,number_of_systems,avg_pkg_power_consumed
India,26643,0.0035644100020770443
"Taiwan, Province of China",9309,0.003438475102449798
Viet Nam,5448,0.002958714983151135
Ukraine,6644,0.0029196626482047255
Indonesia,8366,0.002873553243871561
France,13560,0.0028689506222901082
Netherlands,6092,0.0028551000183895223
China,30471,0.00282925659609701
Italy,10256,0.0028193343213770965
Germany,21184,0.0028124181383188448
Portugal,3709,0.0028074825573784997
Spain,6230,0.002749094709861534
Colombia,5378,0.0027398904129184343
Pakistan,3166,0.0026793220617508107
Thailand,6146,0.00267101331484794
Malaysia,3549,0.002668102163476783
Mexico,8123,0.0026605372573084477
Czech Republic,3365,0.002645507635408036
Switzerland,2765,0.002614801741409831
Poland,8585,0.0026134168624483258
Philippines,5494,0.0026036921998597454
Peru,4118,0.0025989908547112512
United Kingdom of Great Britain and Northern Ireland,15878,0.002589381872443228
Turkey,17065,0.002587853790561196
Hungary,3362,0.002566420997662628
Austria,2769,0.0025376398040842314
Egypt,3124,0.0025309484205480195
Greece,2876,0.002491499768470243
Canada,9606,0.0024886456573492673
Belgium,3125,0.0024884539707079197
Ecuador,2830,0.0024763714293642427
Japan,17354,0.002474585319919647
Other,62224,0.0024704009554359606
Chile,4534,0.0024418037669795304
Saudi Arabia,2706,0.002436636211869865
Romania,5028,0.002436233075287205
South Africa,2992,0.002435004438122861
Denmark,2975,0.002433098379252158
Norway,2817,0.0024220906317329828
Singapore,2366,0.0024033425840145144
Argentina,6020,0.002379827643185055
Sweden,3090,0.002352273835438988
Russian Federation,22422,0.0023429750045151805
Bangladesh,2718,0.002299340797360008
Hong Kong,2795,0.002283502474622948
Brazil,36248,0.0022684819963515635
Australia,5824,0.00219992226731256
"Korea, Republic of",24736,0.002157120377419527
Israel,2766,0.0021524505975519695
United States of America,64438,0.0019716848824322614
