event_name,acdc,proc_name,total_duration_sec_per_instance,rank
WAIT,,chrome.exe,5.81,1
APPSTARTING,AC,2 Reminder(s),35171.77,1
APPSTARTING,AC,Stark Meter Reader.exe,12277.24,2
APPSTARTING,AC,setup_ruined_king_a_league_of_legends_storytm_v.58287_(51680).tmp,5560.3,3
APPSTARTING,AC,AVDm.exe,4966.29,4
APPSTARTING,AC,connex.exe,4317.6,5
APPSTARTING,AC,pop5B87.tmp,3903.59,6
APPSTARTING,AC,Roam Research.exe,3760.87,7
APPSTARTING,AC,OutlookConverter.exe,3380.06,8
APPSTARTING,AC,AnyMP4 Screen Recorder.exe,2740.13,9
APPSTARTING,AC,ddm.exe,2163.19,10
WAIT,AC,SBUp_d.exe,11727.22,1
WAIT,AC,HaozipMiniPage.exe,9486.37,2
WAIT,AC,anydesk-5-5-3.exe,5910.78,3
WAIT,AC,Dishonored2_x64ShippingRetail.exe,4719.1,4
WAIT,AC,TiltWheel.exe,4255.81,5
WAIT,AC,3dyd64.exe,2963.04,6
WAIT,AC,HoracesHoarseHorseWhores.exe,2530.91,7
WAIT,AC,E_YARNJ5E.EXE,2499.82,8
WAIT,AC,LCT.exe,2166.58,9
WAIT,AC,fceux.exe,1871.69,10
APPSTARTING,DC,WarningDialog.exe,25435.67,1
APPSTARTING,DC,fjava.exe,18813.4,2
APPSTARTING,DC,Jigsaw.exe,9562.18,3
APPSTARTING,DC,Application.exe,6187.36,4
APPSTARTING,DC,PC_SIMU.exe,5732.49,5
APPSTARTING,DC,ServiceSetupManager.exe,4376.27,6
APPSTARTING,DC,snk.exe,3733.54,7
APPSTARTING,DC,RpcDND_Console.exe,3562.63,8
APPSTARTING,DC,PfuSshMain.exe,3136.25,9
APPSTARTING,DC,start_wow.exe,3056.16,10
WAIT,DC,id_tray.exe,2818.44,1
WAIT,DC,ClashOfHeroes.exe,2785.12,2
WAIT,DC,ataraxiaclient.exe,2708.51,3
WAIT,DC,HaozipMiniPage.exe,2200.24,4
WAIT,DC,ImageMate.exe,2186.58,5
WAIT,DC,Injustice.exe,2171.2,6
WAIT,DC,TestEngine.exe,2139.59,7
WAIT,DC,ddv.exe,1733.5,8
WAIT,DC,pcsx2x64.exe,1514.47,9
WAIT,DC,gh3.exe,1353.29,10
APPSTARTING,UN,WinStart.exe,49108.61,1
APPSTARTING,UN,SSEXP.EXE,19616.57,2
APPSTARTING,UN,Dell.SecurityManager.SystrayApp.exe,16695.57,3
APPSTARTING,UN,PTUpdater.exe,14373.72,4
APPSTARTING,UN,LimeChat2.exe,11865.84,5
APPSTARTING,UN,Miracle Thunder_Cracked _loder_2.93.exe,11144.86,6
APPSTARTING,UN,BrawlBox.exe,9105.42,7
APPSTARTING,UN,Glückwunsch_Druckerei_15.exe,4370.41,8
APPSTARTING,UN,ACMS XP.exe,2459.15,9
APPSTARTING,UN,WIIScrubber.exe,2410.71,10
WAIT,UN,FFX&X-2_LAUNCHER.exe,162203.2,1
WAIT,UN,GNAUTH.EXE,19381.66,2
WAIT,UN,BingPopup.exe,11546.97,3
WAIT,UN,IntuiFacePlayerApp.exe,10226.87,4
WAIT,UN,Hello Indigo.exe,8839.63,5
WAIT,UN,SavUI.exe,8430.74,6
WAIT,UN,MySQLInstallerConsole.exe,8065.61,7
WAIT,UN,Dishonored2_x64ShippingRetail.exe,4646.7,8
WAIT,UN,DownKyi.exe,4615.61,9
WAIT,UN,SDRuno.exe,4375.74,10
