app_type,exe_name,number_of_systems,rank
0,shellexperiencehost.exe,6820,1
0,chrome.exe,6210,2
0,explorer.exe,6199,3
0,msedge.exe,5524,4
0,applicationframehost.exe,4874,5
0,searchapp.exe,4771,6
0,startmenuexperiencehost.exe,4254,7
0,winword.exe,4080,8
0,notepad.exe,3822,9
0,rundll32.exe,3450,10
1,shellexperiencehost.exe,3947,1
1,chrome.exe,3612,2
1,explorer.exe,3582,3
1,msedge.exe,3222,4
1,applicationframehost.exe,2882,5
1,searchapp.exe,2702,6
1,winword.exe,2548,7
1,startmenuexperiencehost.exe,2372,8
1,notepad.exe,2281,9
1,excel.exe,2153,10
