app_type,exe_name,total_number_of_detections,rank
0,chrome.exe,3110814824.0,1
0,msedge.exe,586948069.0,2
0,firefox.exe,449550111.0,3
0,outlook.exe,357321321.0,4
0,applicationframehost.exe,278245774.0,5
0,explorer.exe,261827127.0,6
0,excel.exe,184327441.0,7
0,winword.exe,161571975.0,8
0,opera.exe,155984872.0,9
0,mstsc.exe,145351042.0,10
1,chrome.exe,1441033637.0,1
1,msedge.exe,253910479.0,2
1,outlook.exe,194966883.0,3
1,firefox.exe,172813024.0,4
1,applicationframehost.exe,160021740.0,5
1,explorer.exe,97922849.0,6
1,excel.exe,83340644.0,7
1,opera.exe,75738171.0,8
1,discord.exe,72708930.0,9
1,winword.exe,72501728.0,10
